situationId,sitTerm,findingId,finTerm,Nsit
298295006,Gowers sign absent (situation),85905009,Gowers sign (finding),1
733827009,Euphoria absent (situation),85949006,Euphoria (finding),1
314641006,No testicular lump present (situation),87860000,Mass of testicle (finding),1
82120007,Bacterial growth absent (situation),88458008,Bacterial growth present (finding),1
301131000,Heart murmur absent (situation),88610006,Heart murmur (finding),1
162161004,No breast lump (situation),89164003,Breast lump (finding),1
860636001,No seizure seen (situation),91175000,Seizure (finding),1
846753004,No nodule of skin present (situation),95319004,Skin nodule (finding),1
846727007,No fissure in skin (situation),95321009,Fissure in skin (disorder),1
846732008,No lesion of skin (situation),95324001,Skin lesion (disorder),1
846729005,No pain in liver (situation),102626001,Liver pain (finding),1
300334008,Liver non-tender (situation),102627005,Liver tender (finding),1
860944004,No trophic change of skin (situation),106076001,Skin finding (finding),1
309580001,Immunology finding absent (situation),106182000,Immune system finding (finding),1
309582009,Cytology finding absent (situation),107674006,Cytologic finding (finding),1
298252007,Joint non-tender (situation),110288007,Tenderness of joint (finding),1
298296007,Trousseau sign negative (situation),112099006,Trousseau sign (finding),1
860717004,No abnormality of joint (situation),118952005,Joint finding (finding),1
860716008,No abnormality of bone (situation),118953000,Bone finding (finding),1
425426005,Absence of open wound (situation),125643001,Open wound (disorder),1
473140000,Contusion absent (situation),125667009,Contusion (disorder),1
874908001,No evidence of disorder of kidney due to diabetes mellitus (situation),127013003,Disorder of kidney due to diabetes mellitus (disorder),1
707312001,No varicose veins (situation),128060009,Venous varices (disorder),1
395172009,No evidence of left ventricular systolic dysfunction (situation),134401001,Left ventricular systolic dysfunction (disorder),1
161881004,No stiff neck (situation),161882006,Stiff neck (finding),1
161890006,No backache (situation),161891005,Backache (finding),1
313185002,No recurrence of problem (situation),161917009,Recurrence of problem (finding),1
161962008,No respiratory symptoms (situation),161920001,Respiratory symptom (finding),1
162019007,No problem chewing (situation),162020001,Difficulty chewing (finding),1
162075008,No excessive upper gastrointestinal gas (situation),162076009,Excessive upper gastrointestinal gas (finding),1
162139009,No genitourinary pain (situation),162138001,Genitourinary pain (finding),1
162275003,No visual symptom (situation),162274004,Visual symptoms (finding),1
162387007,No sore throat (situation),162397003,Pain in throat (finding),1
167056009,Carcinoembryonic antigen absent (situation),167057000,Carcinoembryonic antigen present (finding),1
473384006,Not trying to conceive (situation),169449001,Trying to conceive (finding),1
170640003,No peak flow meter at home (situation),170639000,Peak flow meter at home (finding),1
161869003,Not tired (situation),224960004,Tired (finding),1
13117000,Absence of stress (situation),224974006,Feeling stressed (finding),1
290117005,Nipple non-tender (situation),225574009,Nipple tenderness (finding),1
300289009,No gastric reflux (situation),225587003,Gastric reflux (finding),1
225874001,No thoughts about dying (situation),225875000,Thoughts about dying (finding),1
228392004,Does not inject drugs (situation),226034001,Injecting drug user (finding),1
228333007,No undue priority given to drink-related activities (situation),228334001,Undue priority given to drink-related activities (finding),1
228396001,Does not share drug injection equipment (situation),228395002,Shares drug injecting equipment (finding),1
228409000,Does not use needle and syringe exchange scheme (situation),228410005,Uses needle and syringe exchange scheme (finding),1
228416004,No undue priority given to drug-related activities (situation),228417008,Undue priority given to drug-related activities (finding),1
228426006,Has no routine of drug-related activities (situation),228427002,Has a routine of drug-related activities (finding),1
228431008,Does not follow drug-related rituals (situation),228430009,Follows drug-related rituals (finding),1
228439005,No craving for drugs (situation),228438002,Craves for drugs (finding),1
846757003,No callus of foot (situation),229811005,Foot callus (disorder),1
698752003,Absence of wound discharge (situation),239164002,Wound discharge (finding),1
426893008,Absence of spontaneous respiration (situation),241700002,Spontaneous respiration (finding),1
301909009,No eye discharge (situation),246679005,Discharge from eye (finding),1
860719001,No scar of retina following laser photocoagulation (situation),247193008,Photocoagulation scars (finding),1
300190006,Middle ear fistula sign negative (situation),247280008,Fistula sign in middle ear cleft (finding),1
89777000,Tenderness absent (situation),247348008,Tenderness (finding),1
846750001,No comedone present (situation),247467008,Comedone (disorder),1
846730000,No wheal on skin (situation),247472004,Wheal (finding),1
860718009,No abnormality of soft tissue (situation),248402002,General finding of soft tissue (finding),1
289446001,Fetal heart sounds absent (situation),249045009,Fetal heart sounds present (finding),1
249080008,No fontanelles presenting (situation),249079005,Fontanelles presenting (finding),1
289672003,Absent fluid thrill in uterus (situation),249130004,Fluid thrill in uterus (finding),1
289225008,No desire to push in labor (situation),249162001,Desire to push in labor (finding),1
162379006,No nasal symptoms (situation),249307003,Nasal symptom (finding),1
162372002,Does not have nosebleeds (situation),249366005,Bleeding from nose (finding),1
301212004,No bleeding from larynx (situation),249467000,Bleeding from larynx (finding),1
300420009,No abdominal guarding on palpation (situation),249545003,Abdominal guarding (finding),1
300436006,Puddle sign negative (situation),249557007,Puddle sign (finding),1
271738005,Spleen not palpable (situation),249572006,Spleen palpable (finding),1
299054006,Prayer sign negative (situation),249772008,Prayer sign (finding),1
278036006,Lupus antibody absent (situation),250371001,Lupus antibody present (finding),1
251705002,No lacrimal regurgitation (situation),251701006,Lacrimal regurgitation (finding),1
707317007,No hyperkeratosis (situation),254666005,Keratosis (disorder),1
161915001,No general symptom (situation),267022002,General symptom (finding),1
161938003,No breathlessness (situation),267036007,Dyspnea (finding),1
162001003,No cardiovascular symptom (situation),267037003,Cardiovascular symptoms (finding),1
161980004,No edema present (situation),267038008,Edema (finding),1
162111008,No gastrointestinal symptom (situation),267045008,Gastrointestinal symptom (finding),1
162085009,No tenesmus (situation),267053000,Tenesmus (finding),1
162185007,No genitourinary symptom (situation),267062003,Genitourinary symptoms (finding),1
274541004,Involuntary movements absent (situation),267078001,Involuntary movement (finding),1
162235006,No motor symptom (situation),267082004,Motor symptoms (finding),1
162293002,No speech problem (situation),267095009,Speech problem (finding),1
162406001,"No ear, nose or throat symptom (situation)",267098006,Ear/nose/throat symptom (finding),1
161851007,No temperature symptom (situation),271399003,Temperature symptoms (finding),1
860643007,No postural drop in blood pressure (situation),271648003,Postural drop in blood pressure (finding),1
274808009,Cardiac thrill absent (situation),271656000,Cardiac thrill (finding),1
860641009,No intra-abdominal movement (situation),271678007,Intra-abdominal movement (finding),1
271682009,Gallbladder not palpable (situation),271683004,Gallbladder palpable (finding),1
846735005,No swelling of scrotum (situation),271687003,Swelling of scrotum (finding),1
846756007,No raised intracranial pressure (situation),271719001,Raised intracranial pressure (finding),1
860635002,No anemia present (situation),271737000,Anemia (disorder),1
846734009,No pustule of skin (situation),271760008,Pustule (disorder),1
846752009,No scaly skin present (situation),271761007,Scaly skin (finding),1
846722001,No burrows in skin (situation),271762000,Burrows in skin (disorder),1
846720009,No crust on skin (situation),271765003,Crust on skin (finding),1
846751002,No sinus of skin present (situation),271766002,Skin sinus (disorder),1
274827003,Joint not swollen (situation),271771009,Joint swelling (finding),1
290000000,Rash absent (situation),271807003,Eruption of skin (disorder),1
860713000,No mass of abdomen (situation),271860004,Abdominal mass (finding),1
162157005,Vaginal discharge absent (situation),271939006,Vaginal discharge (finding),1
302062002,No generalized lymphadenopathy (situation),274741002,Generalized enlarged lymph nodes (disorder),1
302063007,No localized lymphadenopathy (situation),274744005,Localized enlarged lymph nodes (disorder),1
846721008,No plaque of skin (situation),276322001,Skin plaque (finding),1
704240001,Hydrops fetalis not present (situation),276508000,Hydrops fetalis (disorder),1
300134000,No tenderness in ear canal (situation),277167007,Tenderness in ear canal (finding),1
866214001,Mastoid non-tender (situation),277210007,Tender mastoid (finding),1
301214003,Larynx non-tender (situation),277247007,Tender larynx (finding),1
297973003,Skin non-tender (situation),278999000,Skin tenderness (finding),1
162258009,No incoordination (situation),281016006,Incoordination (finding),1
224963002,No bony injury (situation),284003005,Bone injury (disorder),1
846741003,No cyst of skin (situation),285302001,Cyst of skin (disorder),1
289424009,No fontanelles palpable vaginally (situation),289410005,Fontanelle palpable vaginally (finding),1
289432001,Fetal movements absent (situation),289431008,Fetal movements present (finding),1
289490006,Absent discharge at vulva (situation),289489002,Finding of discharge of vulva (finding),1
289493008,Vulva non-tender (situation),289492003,Vulva tender (finding),1
289542001,No vaginal blood loss (situation),289530006,Bleeding from vagina (finding),1
789554009,Passing no clots vaginally (situation),289532003,Passing clots vaginally (finding),1
289595003,Vagina non-tender (situation),289594004,Vaginal tenderness (finding),1
289658007,No uterocervical descent (situation),289649000,Uterocervical descent (finding),1
289668002,Body of uterus non-tender (situation),289667007,Tender body of uterus (finding),1
866215000,Scar of gravid uterus non-tender (situation),289695007,Tender scar of gravid uterus (finding),1
289801009,No cervical bleeding (situation),289799006,Bleeding cervix (finding),1
289816007,Cervix non-tender (situation),289815006,Cervix tender (finding),1
289843002,Ovary non-tender (situation),289842007,Ovary tender (finding),1
290082005,No generalized tenderness of breast (situation),290079000,Generalized tenderness of breast (finding),1
290083000,No localized tenderness of breast (situation),290080002,Localized tenderness of breast (finding),1
290105008,No nipple bleeding (situation),290103001,Nipple bleeding (finding),1
290106009,No bleeding from surface of nipple (situation),290104007,Bleeding of surface of nipple (finding),1
297124008,Adnexal tenderness absent (situation),297123002,Adnexal tenderness (finding),1
298730002,Sternum non-tender (situation),298729007,Sternum tender (finding),1
298741000,Rib non-tender (situation),298740004,Rib tender (finding),1
299951001,Barber's chair sign negative (situation),299950000,Barber's chair sign (finding),1
300106007,Pinna non-tender (situation),300103004,Pinna tender (finding),1
162363005,No ear discharge (situation),300132001,Ear discharge (finding),1
162005007,No tooth problem (situation),300237004,Tooth problem (finding),1
162010006,No mouth problem (situation),300255008,Oral cavity problem (finding),1
271679004,Liver not palpable (situation),300323005,Liver palpable (finding),1
300349000,Gallbladder non-tender (situation),300348008,Gallbladder tender (finding),1
300447004,Kidney non-tender (situation),300446008,Kidney tender (finding),1
300460005,Bladder non-tender (situation),300459000,Bladder tender (finding),1
866213007,Testes non-tender (situation),300489007,Tender testes (finding),1
300502003,Epididymis non-tender (situation),300501005,Epididymis tender (finding),1
300508004,Vas deferens non-tender (situation),300507009,Vas deferens tender (finding),1
300536009,Prostate non-tender (situation),300535008,Prostate tender (finding),1
300540000,Sperm absent (situation),300539002,Sperm present (finding),1
300567006,Spleen non-tender (situation),300566002,Spleen tender (finding),1
300870000,No mass present (situation),300848003,Mass of body structure (finding),1
301196008,Nose non-tender (situation),301195007,Nose tender (finding),1
228367002,Does not misuse drugs (situation),361055000,Misuses drugs (finding),1
414861001,No evidence of recurrence of cancer (situation),363346000,Malignant neoplastic disease (disorder),2
395100000,No evidence of cancer found (situation),363346000,Malignant neoplastic disease (disorder),2
165928001,Lupus erythematosus cells absent (situation),365602000,Finding of Lupus Erythematosus cell level (finding),1
165768008,Rhesus antibody absent (situation),365647004,Finding of RhD antibody titer (finding),1
300426003,Shifting abdominal dullness absent (situation),366463006,Shifting abdominal dullness (finding),1
372284002,Pathology examination findings absent (situation),372286000,Pathology examination findings present (finding),1
298311000,Romberg's sign negative (situation),373676004,Romberg sign (finding),1
86699002,Apyrexial (situation),386661006,Fever (finding),1
860638000,No ascites (situation),389026000,Ascites (disorder),1
281007007,No fluorescein staining of cornea (situation),392612009,Fluorescein staining of cornea (finding),1
162395006,No throat symptom (situation),395496008,Throat symptom (finding),1
413164001,No evidence of left ventricular diastolic dysfunction (situation),395704004,Left ventricular diastolic dysfunction (disorder),1
162023004,No problem swallowing (situation),399122003,Swallowing problem (finding),1
401018007,Not wearing seat belt (situation),401116008,Wearing seat belt (finding),1
401228008,No thoughts of deliberate self harm (situation),401229000,Thoughts of deliberate self harm (finding),1
473139002,Acanthosis nigricans absent (situation),402599005,Acanthosis nigricans (disorder),1
373572006,Clinical finding absent (situation),404684003,Clinical finding (finding),9
397589008,Absence of signs and symptoms of injury caused by extraneous objects (situation),404684003,Clinical finding (finding),9
397606006,Absence of signs and symptoms of radiation injury (situation),404684003,Clinical finding (finding),9
397712006,Absence of signs and symptoms of electrical injury (situation),404684003,Clinical finding (finding),9
397719002,Absence of signs and symptoms of physical injury (situation),404684003,Clinical finding (finding),9
397601001,Absence of signs and symptoms of positioning injury (situation),404684003,Clinical finding (finding),9
397687004,Absence of signs and symptoms of laser injury (situation),404684003,Clinical finding (finding),9
397612001,Absence of signs and symptoms of transfer/transport injury (situation),404684003,Clinical finding (finding),9
397658000,Absence of signs and symptoms of chemical injury (situation),404684003,Clinical finding (finding),9
707315004,No lipodermatosclerosis (situation),410016009,Lipodermatosclerosis (disorder),1
412716005,Cervical smear transformation zone cells absent (situation),412715009,Cervical smear transformation zone cells present (finding),1
699196002,Coronary artery disease absent (situation),414024009,Disorder of coronary artery (disorder),1
414862008,No evidence of right ventricular systolic dysfunction (situation),416158002,Right ventricular systolic dysfunction (disorder),1
401187007,No itch (situation),418290006,Itching (finding),1
300406002,No abdominal movement (situation),418532000,Abdominal wall movement (finding),1
162467007,Free of symptoms (situation),418799008,Finding reported by subject or history provider (finding),2
397680002,Absence of signs and symptoms of infection (situation),418799008,Finding reported by subject or history provider (finding),2
700427002,Femoral bruit absent (situation),418869005,Femoral bruit (finding),1
428913001,No loss of consciousness (situation),419045004,Loss of consciousness (finding),1
700426006,Renal bruit absent (situation),419230002,Renal bruit (finding),1
700428007,Carotid bruit absent (situation),419642000,Carotid bruit (finding),1
162062008,No vomiting (situation),422400008,Vomiting (disorder),1
162056003,No nausea (situation),422587007,Nausea (finding),1
161886009,Does not bruise easily (situation),424131007,Easy bruising (finding),1
424825007,Cerebrospinal fluid flow absent (situation),424595005,Free flow of cerebrospinal fluid (finding),1
473134007,Symptomatic diabetic peripheral neuropathy absent (situation),424736006,Peripheral neuropathy due to diabetes mellitus (disorder),1
431526005,Transformation zone of uterine cervix not visible (situation),432043003,Transformation zone of uterine cervix visible (finding),1
274829000,Meningism absent (situation),437986008,Meningism (finding),1
373140001,No thrombus (situation),439127006,Thrombosis (disorder),1
441467001,Destot sign absent (situation),441461000,Destot sign (finding),1
441977006,No cardiac pacemaker in situ (situation),441509002,Cardiac pacemaker in situ (finding),1
441983009,No radioactive implant in situ (situation),442061005,Radioactive implant in situ (finding),1
707289003,No abnormality detected by assessment of physical health (situation),442618008,Abnormal finding on evaluation procedure (finding),2
707290007,No abnormality detected by mental health assessment (situation),442618008,Abnormal finding on evaluation procedure (finding),2
443494009,Stemmer sign negative (situation),443515009,Stemmer sign (finding),1
707319005,No lymphorrhea (situation),443903000,Extravasation of lymph onto skin (disorder),1
707316003,No ankle flare (situation),443904006,Corona phlebectatica (disorder),1
708021007,No blanching of skin of foot on elevation of foot (situation),444228009,Blanching of skin of foot on elevation (finding),1
699093007,Unaware of prognosis (situation),444332001,Aware of prognosis (finding),1
707321000,No hemosiderin pigmentation (situation),445072006,Hemosiderin pigmentation of skin (finding),1
846733003,No papule of skin (situation),445328000,Papule of skin (finding),1
707322007,No cutaneous lymphangioma (situation),445492005,Lymphangioma of skin (disorder),1
698751005,Absence of wound odor (situation),445916002,Wound odor (finding),1
473361004,Not tolerating normal diet (situation),449894006,Tolerating normal diet (finding),1
473385007,Not tolerating oral fluid (situation),473358000,Tolerating oral fluid (finding),1
705106004,No abnormality of fetal heart detected (situation),473383000,Abnormality of fetal heart (disorder),1
702562003,No evidence of child sexual abuse (situation),700229002,Victim of child sexual abuse (finding),1
860642002,No neurodevelopmental disorder present (situation),700364009,Neurodevelopmental disorder (disorder),1
707313006,No skin inflammation (situation),703938007,Inflammatory dermatosis (disorder),1
722811001,No prosthesis in situ (situation),722810000,Prosthesis in situ (finding),1
860710002,No disorder of macula of right eye due to diabetes mellitus (situation),769244003,Disorder of right macula due to diabetes mellitus (disorder),1
860709007,No disorder of macula of left eye due to diabetes mellitus (situation),769245002,Disorder of left macula due to diabetes mellitus (disorder),1
846738007,No cataract of left eye (situation),816119002,Cataract of left eye (disorder),1
846739004,No cataract of right eye (situation),816120008,Cataract of right eye (disorder),1
860945003,No blister of skin (situation),823996003,Blister of skin (disorder),1
846740002,No vesicle of skin (situation),827008005,Vesicle of skin (finding),1
860639008,No reactive accommodation reflex (situation),827088007,Reactive accommodation reflex (finding),1
846714008,No macule of skin (situation),829994007,Macule of skin (finding),1
846736006,No ulcer of left foot (situation),830071006,Ulcer of left foot (disorder),1
846737002,No ulcer of right foot (situation),830072004,Ulcer of right foot (disorder),1
860640005,No pain in abdominal region on palpation (situation),838411007,Pain in abdominal region on palpation (finding),1
688232241000119100,Disease caused by Severe acute respiratory syndrome coronavirus 2 absent (situation),840539006,Disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),1
860714006,No deformity of left foot (situation),840676004,Deformity of left foot (finding),1
860715007,No deformity of right foot (situation),840677008,Deformity of right foot (finding),1
860711003,No disorder of macula of bilateral eyes due to diabetes mellitus (situation),860721006,Disorder of macula of bilateral eyes due to diabetes mellitus (disorder),1
890316000,No erectile dysfunction (situation),860914002,Erectile dysfunction (disorder),1
865996004,No pain on tooth percussion (situation),865971002,Pain on tooth percussion (finding),1
1010194003,No safeguarding concern identified (situation),1010196001,Safeguarding concern (finding),1
736734006,No lesion of endometrium (situation),92461000119101,Lesion of endometrium (disorder),1
