readcode,medcode,term,symptom_code
Eu93000,18032,[X]Separation anxiety disorder of childhood,Anxiety_depression
R2y2.00,2509,[D]Nervousness,Anxiety_depression
R2y2.11,17853,[D]Nerves,Anxiety_depression
R2y2.12,10723,[D]Nervous tension,Anxiety_depression
Z4I7.00,22159,Acknowledging anxiety,Anxiety_depression
Z4I7100,62935,Recognising anxiety,Anxiety_depression
Z4I7200,28381,Alleviating anxiety,Anxiety_depression
Z4I7211,26295,Reducing anxiety,Anxiety_depression
Z4L1.00,7999,Anxiety counselling,Anxiety_depression
1B2..00,36027,Involuntary movement symptom,Apraxia
1B2Z.00,31658,Involuntary movemt.symptom NOS,Apraxia
1B5..00,20963,Incoordination symptom,Apraxia
1B5Z.00,37186,Incoordination symptom NOS,Apraxia
2972.00,16179,O/E - choreiform movement,Apraxia
2B53.00,30349,O/E - apraxia,Apraxia
2B53.11,33272,O/E - dyspraxia,Apraxia
2B54.00,37594,O/E - agraphia,Apraxia
E2F4.00,9595,Coordination disorder (dyspraxia),Apraxia
E2F4.11,8718,Clumsiness syndrome,Apraxia
E2F4.12,6347,Dyspraxia syndrome,Apraxia
Eu82.00,7299,[X]Specific developmental disorder of motor function,Apraxia
Eu82.11,20518,[X]Clumsy child syndrome,Apraxia
Eu82.12,37763,[X]Developmental co - ordination disorder,Apraxia
Eu82.13,21062,[X]Developmental dyspraxia,Apraxia
F135.00,6889,Other choreas,Apraxia
F135000,4108,Hemiballismus,Apraxia
F483500,34751,Oculomotor apraxia,Apraxia
F483511,54274,Oculomotor apraxia - Cogan type,Apraxia
F483512,68515,Oculomotor dyspraxia,Apraxia
Fyu2600,94540,[X]Other chorea,Apraxia
R010.00,5412,[D]Abnormal involuntary movements,Apraxia
R010000,18925,[D]Head movements abnormal,Apraxia
R010400,20323,"[D]Athetosis, acquired, NOS",Apraxia
R010z00,15845,[D]Abnormal involuntary movement NOS,Apraxia
R013.00,21024,[D]Lack of coordination,Apraxia
R013.11,2003,[D]Dyskinesia,Apraxia
R013100,37069,[D]Muscular incoordination,Apraxia
R013200,33916,[D]Dysgraphia,Apraxia
R013z00,15455,[D]Incoordination NOS,Apraxia
R046700,20214,[D]Apraxia,Apraxia
R046800,101745,[D]Verbal apraxia,Apraxia
R046900,93809,[D]Oral apraxia,Apraxia
R046911,34446,[D]Oral dyspraxia,Apraxia
Ryu3000,67936,[X]Other and unspecified abnormal involuntary movements,Apraxia
Ryu3300,94162,[X]Other and unspecified lack of coordination,Apraxia
SJ7x000,25824,Neurapraxia,Apraxia
Z7E2.00,37992,Incoordination,Apraxia
Z7E2100,47172,Muscular incoordination,Apraxia
Z7E5100,36667,Apraxia,Apraxia
Z7E5111,11421,Dyspraxia,Apraxia
Z7E5200,72636,Gestural apraxia,Apraxia
Z7E8.00,10806,Coordination problem,Apraxia
ZR1S.00,1017229,Apraxia battery for adults,Apraxia
ZS5..00,43892,Speech and language dyspraxias,Apraxia
ZS51.00,47008,Apraxia of speech,Apraxia
ZS52.00,48273,Oral dyspraxia,Apraxia
ZS52.11,98834,Oral apraxia,Apraxia
ZS53.00,32326,Verbal dyspraxia,Apraxia
ZS53.11,104383,Verbal apraxia,Apraxia
ZS54.00,65462,Oral-verbal dyspraxia,Apraxia
ZS55.00,54303,Articulatory dyspraxia,Apraxia
ZS55.11,1017518,Articulatory apraxia,Apraxia
ZS57.00,50159,Dyspraxia of velopharynx,Apraxia
ZS58.00,1017520,Velar dyspraxia,Apraxia
ZS59.00,63181,Tongue tip dyspraxia,Apraxia
Zw05900,52356,[Q] Neuropraxia,Apraxia
1B5..13,5820,Unsteady symptom,Balance_difficulty
1B52.00,1512,Unsteadiness present,Balance_difficulty
1B52.11,7417,Feels off balance,Balance_difficulty
29L8.00,2042,O/E - generally unsteady,Balance_difficulty
29L8.11,2555,O/E - generally off balance,Balance_difficulty
29LB.00,18963,Unable to balance,Balance_difficulty
29LD.00,93421,Disorder of gait and/or balance present,Balance_difficulty
29LF.00,103567,Worsening balance,Balance_difficulty
29LG.00,111287,"",Balance_difficulty
38A2.00,58144,Berg balance test,Balance_difficulty
