conceptId,term
1506001,Blood group antigen Ch1 (substance)
1506001,Blood group antigen Ch1 (substance)
1506001,Blood group antigen Ch1 (substance)
1506001,Blood group antigen Ch1 (substance)
1506001,Blood group antigen Ch1 (substance)
1506001,Blood group antigen Ch1 (substance)
1517000,Human leukocyte antigen B21 (substance)
1517000,Human leukocyte antigen B21 (substance)
1517000,Human leukocyte antigen B21 (substance)
1517000,Human leukocyte antigen B21 (substance)
1517000,Human leukocyte antigen B21 (substance)
1530004,6-carboxyhexanoate-coenzyme A ligase (substance)
1530004,6-carboxyhexanoate-coenzyme A ligase (substance)
1530004,6-carboxyhexanoate-coenzyme A ligase (substance)
1535009,Nitrogen fluoride (substance)
1535009,Nitrogen fluoride (substance)
1536005,Pargyline hydrochloride (substance)
1540001,Tellurium radioisotope (substance)
1545006,Uridine phosphorylase (substance)
1545006,Uridine phosphorylase (substance)
1557002,Talc (substance)
1557002,Talc (substance)
1557002,Talc (substance)
1557002,Talc (substance)
1557002,Talc (substance)
1565004,Blood group antibody Buckalew (substance)
1575001,Maltose tetrapalmitate (substance)
1575001,Maltose tetrapalmitate (substance)
1603001,Cobalt isotope (substance)
1607000,Homoserine kinase (substance)
1609002,N-octyl isosafrole sulfoxide (substance)
1634002,Blood group antigen Ven (substance)
1649005,Blood group antigen Sul (substance)
1649005,Blood group antigen Sul (substance)
1656004,Hemoglobin Shaare Zedek (substance)
1656004,Hemoglobin Shaare Zedek (substance)
1656004,Hemoglobin Shaare Zedek (substance)
1660001,Plant seeds (substance)
1668008,Ceforanide (substance)
1672007,Substance with ligase mechanism of action (substance)
1672007,Substance with ligase mechanism of action (substance)
1673002,Xylenol (substance)
1675009,Rubidium-86 (substance)
1675009,Rubidium-86 (substance)
1675009,Rubidium-86 (substance)
1676005,Blood group antibody LW^ab^ (substance)
1676005,Blood group antibody LW^ab^ (substance)
1676005,Blood group antibody LW^ab^ (substance)
1676005,Blood group antibody LW^ab^ (substance)
1681001,Blood group antibody BLe^b^ (substance)
1696002,12-hydroperoxy eicosatetraenoic acid (substance)
1696002,12-hydroperoxy eicosatetraenoic acid (substance)
1701009,Gold-191 (substance)
1701009,Gold-191 (substance)
1701009,Gold-191 (substance)
1710001,Uric acid (substance)
1710001,Uric acid (substance)
1726000,Diamond (substance)
1727009,Deoxylimonate A-ring-lactonase (substance)
1740004,Deoxy cytidine triphosphate (substance)
1740004,Deoxy cytidine triphosphate (substance)
1764003,"Saccharopine dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^,L-glutamate-forming) (substance)"
1764003,"Saccharopine dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^,L-glutamate-forming) (substance)"
1768000,Sucrose phosphorylase (substance)
1768000,Sucrose phosphorylase (substance)
1786002,Leucine-transfer ribonucleic acid ligase (substance)
1786002,Leucine-transfer ribonucleic acid ligase (substance)
1786002,Leucine-transfer ribonucleic acid ligase (substance)
1793003,Sodium trichloroacetate (substance)
1795005,Glyodin (substance)
1798007,Hemoglobin Hammersmith (substance)
1798007,Hemoglobin Hammersmith (substance)
1798007,Hemoglobin Hammersmith (substance)
1798007,Hemoglobin Hammersmith (substance)
1799004,L-Lysine oxidase (substance)
1823002,Hemoglobin Tochigi (substance)
1823002,Hemoglobin Tochigi (substance)
1827001,Ribonuclease T>1< (substance)
1827001,Ribonuclease T>1< (substance)
1827001,Ribonuclease T>1< (substance)
1827001,Ribonuclease T>1< (substance)
1886008,Verdohemoglobin (substance)
1886008,Verdohemoglobin (substance)
1886008,Verdohemoglobin (substance)
1886008,Verdohemoglobin (substance)
1904005,Galactoside 3-fucosyltransferase (substance)
1904005,Galactoside 3-fucosyltransferase (substance)
1914001,von Willebrand factor antibody (substance)
1914001,von Willebrand factor antibody (substance)
1914001,von Willebrand factor antibody (substance)
1916004,Boroglycerin (substance)
1940007,"Immunoglobulin, GM>21< allotype (substance)"
1944003,Coagulation factor X Patient variant (substance)
1956002,Buclizine hydrochloride (substance)
1971003,Loxapine hydrochloride (substance)
1975007,Blood group antibody Niemetz (substance)
1975007,Blood group antibody Niemetz (substance)
1978009,Site-specific methyltransferase (cytosine-specific) (substance)
1978009,Site-specific methyltransferase (cytosine-specific) (substance)
1985008,Vomitus (substance)
1985008,Vomitus (substance)
1991005,Lignins (substance)
1991005,Lignins (substance)
2000001,Nitrogen-15 (substance)
2000001,Nitrogen-15 (substance)
2006007,Inosine diphosphate (substance)
2008008,Gallium-67 (substance)
2008008,Gallium-67 (substance)
2008008,Gallium-67 (substance)
2009000,Cobalt carbonyl (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2017008,Deoxyribonucleic acid topoisomerase (substance)
2027002,Alternaria serine proteinase (substance)
2029004,Fibrinogen Oslo II (substance)
2038002,Blood group antibody Bg^b^ (substance)
2038002,Blood group antibody Bg^b^ (substance)
2039005,sym-Norspermidine synthase (substance)
2050008,Choloylglycine hydrolase (substance)
2050008,Choloylglycine hydrolase (substance)
2050008,Choloylglycine hydrolase (substance)
2064008,L-Xylulokinase (substance)
2082006,Lymphocyte antigen CD51 (substance)
2082006,Lymphocyte antigen CD51 (substance)
2082006,Lymphocyte antigen CD51 (substance)
2082006,Lymphocyte antigen CD51 (substance)
2085008,Oncogene protein TCL (substance)
2085008,Oncogene protein TCL (substance)
2085008,Oncogene protein TCL (substance)
2088005,Page blue G-90 stain (substance)
2088005,Page blue G-90 stain (substance)
2088005,Page blue G-90 stain (substance)
2088005,Page blue G-90 stain (substance)
2096000,Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase (substance)
2096000,Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase (substance)
2096000,Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase (substance)
2096000,Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase (substance)
2096000,Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase (substance)
2096000,Nicotinamide adenine dinucleotide ^+^ adenosine diphosphate-ribosyltransferase (substance)
2100004,Sulfonethylmethane (substance)
2101000,Yeast proteinase B (substance)
2101000,Yeast proteinase B (substance)
2101000,Yeast proteinase B (substance)
2125008,Betazole (substance)
2125008,Betazole (substance)
2130007,"Cyclohexane-1,2-diol dehydrogenase (substance)"
2141009,Hydrogen (substance)
2141009,Hydrogen (substance)
2147008,Blood group antigen Paular (substance)
2147008,Blood group antigen Paular (substance)
2151005,Pyridoxamine-pyruvate aminotransferase (substance)
2154002,Tagaturonate reductase (substance)
2159007,Azorubin S stain (substance)
2159007,Azorubin S stain (substance)
2159007,Azorubin S stain (substance)
2159007,Azorubin S stain (substance)
2159007,Azorubin S stain (substance)
2163000,Dicofol (substance)
2163000,Dicofol (substance)
2163000,Dicofol (substance)
2163000,Dicofol (substance)
2168009,Bisphosphoglycerate mutase (substance)
2168009,Bisphosphoglycerate mutase (substance)
2168009,Bisphosphoglycerate mutase (substance)
2168009,Bisphosphoglycerate mutase (substance)
2179004,Malonate-semialdehyde dehydratase (substance)
2189000,Hemoglobin F-Dammam (substance)
2189000,Hemoglobin F-Dammam (substance)
2189000,Hemoglobin F-Dammam (substance)
2194000,Rhodium-101 (substance)
2194000,Rhodium-101 (substance)
2194000,Rhodium-101 (substance)
2195004,Tocainide hydrochloride (substance)
2201007,Bacteriopurpurin (substance)
2208001,Phenylserine aldolase (substance)
2212007,Fibrinogen Bethesda II (substance)
2215009,Azuresin (substance)
2240002,Guanidinobutyrase (substance)
2249001,Gentamicin sulfate (substance)
2254005,Orotic acid (substance)
2260005,Human leukocyte antigen DRw18 (substance)
2260005,Human leukocyte antigen DRw18 (substance)
2260005,Human leukocyte antigen DRw18 (substance)
2262002,Cellulose polysulfatase (substance)
2262002,Cellulose polysulfatase (substance)
2264001,Selenium isotope (substance)
2309006,Gold (substance)
2309006,Gold (substance)
2311002,Prostacyclin synthase (substance)
2329007,Blood group antibody Vel (substance)
2331003,Carbohydrate (substance)
2331003,Carbohydrate (substance)
2338009,Plant roots (substance)
2338009,Plant roots (substance)
2343002,Guthion (substance)
2346005,Vascormone (substance)
2354007,3'-nucleotidase (substance)
2358005,"Glass fragment, device (substance)"
2358005,"Glass fragment, device (substance)"
2369008,Indole-3-acetate beta-glucosyltransferase (substance)
2370009,Uridine diphosphate-N-acetylmuramate-alanine ligase (substance)
2370009,Uridine diphosphate-N-acetylmuramate-alanine ligase (substance)
2370009,Uridine diphosphate-N-acetylmuramate-alanine ligase (substance)
2376003,Mercury compound (substance)
2384004,Uranium-230 (substance)
2384004,Uranium-230 (substance)
2384004,Uranium-230 (substance)
2404002,Blood group antibody St^a^ (substance)
2404002,Blood group antibody St^a^ (substance)
2405001,Propiolactone (substance)
2405001,Propiolactone (substance)
2405001,Propiolactone (substance)
2405001,Propiolactone (substance)
2414006,Prolactin receptor (substance)
2430003,Silicon radioisotope (substance)
2431004,Blood group antibody Friedberg (substance)
2441001,Mercury radioisotope (substance)
2444009,Human leukocyte antigen Dw25 (substance)
2444009,Human leukocyte antigen Dw25 (substance)
2444009,Human leukocyte antigen Dw25 (substance)
2450004,Mannosamine (substance)
2462000,Glucose dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^) (substance)
2462000,Glucose dehydrogenase (nicotinamide adenine dinucleotide phosphate ^+^) (substance)
2466002,Chloride peroxidase (substance)
2500009,Lymphocyte antigen CDw41b (substance)
2509005,D-glutamate oxidase (substance)
2509005,D-glutamate oxidase (substance)
2522002,Extravascular blood (substance)
2529006,Hemoglobin Wood (substance)
2529006,Hemoglobin Wood (substance)
2529006,Hemoglobin Wood (substance)
2537003,Antituberculosis agent (substance)
2568004,Blood group antigen McAuley (substance)
2573005,"Immunoglobulin, GM>13< allotype (substance)"
2575003,Zinc alpha>2< glycoprotein (substance)
2575003,Zinc alpha>2< glycoprotein (substance)
2595009,Tellurium-119m (substance)
2595009,Tellurium-119m (substance)
2595009,Tellurium-119m (substance)
2597001,Alpha 1 globulin (substance)
2597001,Alpha 1 globulin (substance)
2611008,Blood group antibody La Fave (substance)
2637006,Indium isotope (substance)
2648004,Bile vomitus (substance)
2649007,Azo dye (substance)
2649007,Azo dye (substance)
2660003,Sodium dehydrocholate (substance)
2671002,3-methyl-2-oxobutanoate hydroxy-methyltransferase (substance)
2671002,3-methyl-2-oxobutanoate hydroxy-methyltransferase (substance)
2671002,3-methyl-2-oxobutanoate hydroxy-methyltransferase (substance)
2674005,Cesium-128 (substance)
2674005,Cesium-128 (substance)
2674005,Cesium-128 (substance)
2676007,C3(H20) (substance)
2678008,Hemoglobin New Mexico (substance)
2678008,Hemoglobin New Mexico (substance)
2678008,Hemoglobin New Mexico (substance)
2680002,Factor XIII antibody (substance)
2680002,Factor XIII antibody (substance)
2680002,Factor XIII antibody (substance)
2680002,Factor XIII antibody (substance)
2698003,Natural gas (substance)
2705002,Arsenic-72 (substance)
2705002,Arsenic-72 (substance)
2705002,Arsenic-72 (substance)
2706001,Blood group antigen Vennera (substance)
2719002,Tartrate dehydratase (substance)
2721007,Blood group antigen McC^f^ (substance)
2728001,Antigen in Lewis (Le) blood group system (substance)
2728001,Antigen in Lewis (Le) blood group system (substance)
2728001,Antigen in Lewis (Le) blood group system (substance)
2753003,Blood group antibody M>1< (substance)
2754009,Hemoglobin F-Kennestone (substance)
2754009,Hemoglobin F-Kennestone (substance)
2754009,Hemoglobin F-Kennestone (substance)
2765004,Blood group antigen Sc3 (substance)
2765004,Blood group antigen Sc3 (substance)
2778004,Pleural fluid (substance)
2796008,Methantheline (substance)
2796008,Methantheline (substance)
2799001,Methylbenzethonium chloride (substance)
2799001,Methylbenzethonium chloride (substance)
2823004,Hemoglobin Bristol (substance)
2823004,Hemoglobin Bristol (substance)
2823004,Hemoglobin Bristol (substance)
2832002,Molybdenum compound (substance)
2846002,Hemoglobin Saitama (substance)
2846002,Hemoglobin Saitama (substance)
2846002,Hemoglobin Saitama (substance)
2869004,Acetic acid (substance)
2869004,Acetic acid (substance)
2878005,Pethidine hydrochloride (substance)
2878005,Pethidine hydrochloride (substance)
2878005,Pethidine hydrochloride (substance)
2880004,Calcium sulfate (substance)
2880004,Calcium sulfate (substance)
2883002,Exopolygalacturonate lyase (substance)
2913009,"Immunoglobulin E, H chain (substance)"
2913009,"Immunoglobulin E, H chain (substance)"
2913009,"Immunoglobulin E, H chain (substance)"
2916001,Neon-22 (substance)
2916001,Neon-22 (substance)
2916001,Neon-22 (substance)
2925007,Fluorometholone (substance)
2927004,Rescinnamine (substance)
2938004,Pyrazole (substance)
2938004,Pyrazole (substance)
2942001,Carbon (14-C) xylose (substance)
2942001,Carbon (14-C) xylose (substance)
2942001,Carbon (14-C) xylose (substance)
2950005,Hemoglobin L-Persian Gulf (substance)
2950005,Hemoglobin L-Persian Gulf (substance)
2950005,Hemoglobin L-Persian Gulf (substance)
2958003,Zinc caprylate (substance)
2964005,Dimethoxyamphetamine (substance)
2964005,Dimethoxyamphetamine (substance)
2974008,Trichophyton schoenleinii collagenase (substance)
2988007,Human leukocyte antigen Aw (substance)
2988007,Human leukocyte antigen Aw (substance)
2988007,Human leukocyte antigen Aw (substance)
2991007,Mecamylamine hydrochloride (substance)
2995003,Arecoline (substance)
3027009,Barium-133 (substance)
3027009,Barium-133 (substance)
3027009,Barium-133 (substance)
3031003,Dihydroxyaluminum sodium carbonate (substance)
3031003,Dihydroxyaluminum sodium carbonate (substance)
3040004,Technetium (99m-Tc) disofenin (substance)
3040004,Technetium (99m-Tc) disofenin (substance)
3045009,Nitrochlorobenzene (substance)
3052006,Ornithine-oxo-acid aminotransferase (substance)
3052006,Ornithine-oxo-acid aminotransferase (substance)
3066001,Triiodothyroacetic acid (substance)
3066001,Triiodothyroacetic acid (substance)
3066001,Triiodothyroacetic acid (substance)
3070009,Aspartate-ammonia ligase (substance)
3070009,Aspartate-ammonia ligase (substance)
3087006,Oil of male fern (substance)
3107005,Hemoglobin Shuangfeng (substance)
3107005,Hemoglobin Shuangfeng (substance)
3107005,Hemoglobin Shuangfeng (substance)
3108000,Aspergillus deoxyribonuclease K>1< (substance)
3108000,Aspergillus deoxyribonuclease K>1< (substance)
3131000,Blood group antigen Middel (substance)
3131000,Blood group antigen Middel (substance)
3136005,Cefoperazone sodium (substance)
3142009,Azacyclonol (substance)
3142009,Azacyclonol (substance)
3145006,Penicillic acid (substance)
3150000,Sialate O-acetylesterase (substance)
3151001,Left upper lobe mucus (substance)
3155005,3-phosphoglyceroyl-phosphate-polyphosphate phosphotransferase (substance)
3161008,3-methyl histidine (substance)
3161008,3-methyl histidine (substance)
3167007,Hard coal (substance)
3167007,Hard coal (substance)
3187008,Blood group antigen Nielsen (substance)
3193000,"Alpha-1,4-glucan-protein synthase (uridine diphosphate-forming) (substance)"
3193000,"Alpha-1,4-glucan-protein synthase (uridine diphosphate-forming) (substance)"
3197004,Inosine monophosphate (substance)
3209002,Pancuronium sodium (substance)
3212004,Manganese sulfate (substance)
3212004,Manganese sulfate (substance)
3225007,Fibrinogen Seattle I (substance)
3232003,O-benzyl-parachlorophenol (substance)
3232003,O-benzyl-parachlorophenol (substance)
3271000,Hemoglobin Southampton (substance)
3271000,Hemoglobin Southampton (substance)
3271000,Hemoglobin Southampton (substance)
3271000,Hemoglobin Southampton (substance)
3273002,Tyrosine-ester sulfotransferase (substance)
3273002,Tyrosine-ester sulfotransferase (substance)
3300001,Euphorbain (substance)
3318003,Vaginal secretion (substance)
3325005,Lipopolysaccharide (substance)
3339005,(R)-20-Hydroxysteroid dehydrogenase (substance)
3339005,(R)-20-Hydroxysteroid dehydrogenase (substance)
3340007,Alpha-amylase (substance)
3342004,Copper isotope (substance)
3346001,Hemoglobin Brest (substance)
3346001,Hemoglobin Brest (substance)
3346001,Hemoglobin Brest (substance)
3378009,Imipramine hydrochloride (substance)
3379001,Thimerosal (substance)
3379001,Thimerosal (substance)
3379001,Thimerosal (substance)
3392003,Aldehyde dehydrogenase (acceptor) (substance)
3405005,2-hydroxy-3-oxoadipate synthase (substance)
3405005,2-hydroxy-3-oxoadipate synthase (substance)
3411008,bis-(Dimethylthiocarbamyl) disulfide (substance)
3437006,Hydroxymethylglutaryl-coenzyme A hydrolase (substance)
3437006,Hydroxymethylglutaryl-coenzyme A hydrolase (substance)
3440006,Biotin carboxylase (substance)
3455002,Discontinued pesticide (substance)
3463001,L-amino-acid dehydrogenase (substance)
