cui,name,ontologies,name_status
37471005,bagpipe lung,SNO,A
37796009,migraine,SNO,P
38343000,pain in vagina,SNO,P
38343000,vaginal pain,SNO,A
38403006,vertigo of central origin,SNO,P
39384006,muscular incoordination,SNO,P
39384006,dyssynergia,SNO,A
39402007,congestion-fibrosis syndrome,SNO,P
39402007,pelvic congestion syndrome,SNO,A
39402007,pps - pelvic pain syndrome,SNO,A
39402007,pelvic pain syndrome,SNO,A
39402007,taylor's syndrome,SNO,A
39402007,pelvic congestion,SNO,A
39429002,chronic follicular conjunctivitis,SNO,P
39479004,telogen effluvium,SNO,P
39579001,generalized anaphylaxis,SNO,P
39579001,generalised anaphylaxis,SNO,A
39579001,anaphylactic reaction,SNO,A
39579001,systemic anaphylaxis,SNO,A
39579001,anaphylaxis,SNO,A
39672001,olfactory hallucinations,SNO,P
39931000,postpill amenorrhoea,SNO,P
39931000,postpill amenorrhea,SNO,A
39963006,infantile diarrhoea,SNO,P
39963006,infantile diarrhea,SNO,A
39963006,toddler diarrhoea,SNO,A
39963006,toddler diarrhea,SNO,A
40175007,allergic dermatitis caused by bite of ctenocephalides felis,SNO,P
40175007,allergic dermatitis due to bite of ctenocephalides felis,SNO,A
40178009,allergic urticaria,SNO,P
40370006,immunologic urticaria,SNO,P
40568001,recurrent brief depressive disorder,SNO,P
40712008,allergic contact dermatitis caused by arnica,SNO,P
40739000,dysphagia,SNO,P
40835002,vomiting blood - coffee ground,SNO,P
40835002,coffee ground vomiting,SNO,A
40835002,coffee ground emesis,SNO,A
40835002,vomiting old blood,SNO,A
41021005,psychologic painful sexual act of female,SNO,P
41021005,psychologic dyspareunia,SNO,A
41021005,psychogenic dyspareunia,SNO,A
41156006,tuberculosis papulonecrotica,SNO,P
41156006,papulonecrotic tuberculide,SNO,A
41156006,papulonecrotic tuberculid,SNO,A
41174002,acute lymphadenitis,SNO,P
41174002,acute adenitis,SNO,A
41270004,hypersensitivity reaction without blocking antibody,SNO,P
41291007,angioneurotic oedema,SNO,P
41291007,angioneurotic edema,SNO,A
41291007,quincke's disease,SNO,A
41291007,quincke's oedema,SNO,A
41291007,quincke's edema,SNO,A
41291007,angio-oedema,SNO,A
41291007,angioedema,SNO,A
41308008,acute follicular conjunctivitis,SNO,P
41308008,conjunctival folliculosis,SNO,A
41413006,temporal headache,SNO,P
41652007,pain in eye,SNO,P
41652007,ocular pain,SNO,A
41652007,eye pain,SNO,A
41975002,insomnia with sleep apnoea,SNO,P
41975002,insomnia with sleep apnea,SNO,A
42265009,idiopathic urticaria,SNO,P
42513006,superficial punctate keratitis,SNO,P
42513006,punctate epithelial keratitis,SNO,A
42513006,pk - punctate keratitis,SNO,A
42513006,punctate keratitis,SNO,A
42541005,irritant gastritis,SNO,P
42570001,pruritus senilis,SNO,P
42570001,senile pruritus,SNO,A
42984000,night sweats,SNO,P
43240000,diarrhoea of presumed infectious origin,SNO,P
43240000,diarrhea of presumed infectious origin,SNO,A
43363007,posterior uveitis,SNO,P
43364001,abdominal discomfort,SNO,P
43516009,expectoration of foul smelling sputum,SNO,P
43516009,sputum: fetid/offensive,SNO,A
43516009,foul smelling sputum,SNO,A
43516009,putrid sputum,SNO,A
43516009,fetid sputum,SNO,A
43548008,intermenstrual pain,SNO,P
43548008,ovulation pain,SNO,A
43548008,mid-cycle pain,SNO,A
43548008,mittelschmerz,SNO,A
43724002,shivering,SNO,P
43724002,chill,SNO,A
43763009,glossopharyngeal neuralgia,SNO,P
44001008,premature orgasm - male,SNO,P
44001008,premature ejaculation,SNO,A
44001008,ejaculates too soon,SNO,A
44001008,ejaculatio praecox,SNO,A
44057004,chl - conductive hearing loss,SNO,P
44057004,cd - conductive deafness,SNO,A
44057004,conductive hearing loss,SNO,A
44057004,conductive deafness,SNO,A
44077006,deadness - numbness,SNO,P
44077006,loss of sensation,SNO,A
44077006,numbness,SNO,A
44087005,transverse groove in nails,SNO,P
44087005,transverse nail groove,SNO,A
44087005,transverse furrows,SNO,A
44087005,beau's lines,SNO,A
44087005,beaus lines,SNO,A
44087005,beau lines,SNO,A
44169009,anosmia (loss of sense of smell),SNO,P
44169009,loss of the sense of smell,SNO,A
44169009,loss of sense of smell,SNO,A
44169009,sense of smell absent,SNO,A
44169009,sense of smell lost,SNO,A
44169009,no sense of smell,SNO,A
44169009,absent smell,SNO,A
44169009,anosmia,SNO,A
44186003,sleep disturbance,SNO,P
44186003,sleep problem,SNO,A
44186003,dyssomnia,SNO,A
44564008,does not produce voice,SNO,P
44564008,does not vocalise,SNO,A
44564008,does not vocalize,SNO,A
44564008,absence of voice,SNO,A
44564008,does not phonate,SNO,A
44564008,loss of voice,SNO,A
44635007,faeces - impacted,SNO,P
44635007,faecal impaction,SNO,A
44635007,feces - impacted,SNO,A
44635007,impacted faeces,SNO,A
44635007,fecal impaction,SNO,A
44635007,impacted feces,SNO,A
44780000,hypnagogic hallucinations,SNO,P
44913001,athetosis,SNO,P
45150006,auditory hallucinations,SNO,P
45326000,shoulder region pain,SNO,P
45326000,shoulder pain,SNO,A
45352006,spasm,SNO,P
46152009,tear film insufficiency,SNO,P
46152009,dry eye syndrome,SNO,A
46244001,recurrent major depression in complete remission,SNO,P
46244001,recurrent major depression in full remission,SNO,A
46799006,dysenteric diarrhoea,SNO,P
46799006,dysenteric diarrhea,SNO,A
46799006,dysentery,SNO,A
47372000,adjustment disorder with anxious mood,SNO,P
47372000,adjustment reaction with anxious mood,SNO,A
47372000,adjustment disorder with anxiety,SNO,A
47505003,ptsd - post-traumatic stress disorder,SNO,P
47505003,post-traumatic stress syndrome,SNO,A
47505003,post-traumatic stress disorder,SNO,A
47505003,posttraumatic stress disorder,SNO,A
47505003,traumatic neurosis,SNO,A
47812002,functional diarrhoea,SNO,P
47812002,functional diarrhea,SNO,A
47841006,chronic nasopharyngitis,SNO,P
47933007,foot pain,SNO,P
48167000,memory loss - amnesia,SNO,P
48167000,lom - loss of memory,SNO,A
48167000,loss of memory,SNO,A
48167000,memory loss,SNO,A
48167000,memory gone,SNO,A
48167000,amnesia,SNO,A
48269007,allergic parotitis,SNO,P
48347002,humidifier and/or air conditioning pneumonitis,SNO,P
48347002,air-conditioner and humidifier lung,SNO,A
48347002,ventilation pneumonitis,SNO,A
48347002,air conditioner lung,SNO,A
48347002,sauna takers lung,SNO,A
48347002,humidifier lung,SNO,A
48409008,respiratory crepitations,SNO,P
48409008,respiratory crackles,SNO,A
48409008,rales,SNO,A
48436005,articulatory impairment due to conductive hearing loss,SNO,P
48436005,articulatory defect due to conductive hearing loss,SNO,A
48436005,articulatory defect secondary to hearing loss,SNO,A
48694002,anxiety reaction,SNO,P
48694002,feeling anxious,SNO,A
48694002,anxiousness,SNO,A
48694002,anxiety,SNO,A
48694002,anxious,SNO,A
49206006,habit vomiting,SNO,P
49218002,arthralgia of hip,SNO,P
49218002,hip joint pain,SNO,A
49218002,hip pain,SNO,A
