,text,cui,name,start,end,substance_category,allergy_type,severity
29,adverse reaction to cenegermin (intolerance) - mild tummy ache.,34813411000001105,cenegermin,20,30,adverse reaction,intolerance,mild
30,adverse reaction to eucalyptus oil (intolerance) - mild tummy ache.,427403004,eucalyptus oil,20,34,adverse reaction,intolerance,mild
31,adverse reaction to dried yeast (intolerance) - mild tummy ache.,10569311000001100,dried yeast,20,31,adverse reaction,intolerance,mild
32,adverse reaction to pine mistletoe (intolerance) - mild tummy ache.,11466811000001104,pine mistletoe,20,34,adverse reaction,intolerance,mild
33,adverse reaction to neratinib (intolerance) - mild tummy ache.,37873311000001102,neratinib,20,29,adverse reaction,intolerance,mild
34,adverse reaction to lactoperoxidase (intol) - mild tummy ache.,13644411000001108,lactoperoxidase,20,35,adverse reaction,intolerance,mild
35,adverse reaction to zinc hyaluronate (intol) - mild tummy ache.,34247111000001106,zinc hyaluronate,20,36,adverse reaction,intolerance,mild
36,adverse reaction to risedronate sodium (intol) - mild tummy ache.,36411811000001108,risedronate sodium,20,38,adverse reaction,intolerance,mild
37,adverse reaction to hydrocortisone powder (intolerance) - mild tummy ache.,4317011000001107,hydrocortisone powder,20,41,adverse reaction,intolerance,mild
38,adverse reaction to emulsifying ointment (intolerance) - mild tummy ache.,14608311000001101,emulsifying ointment,20,40,adverse reaction,intolerance,mild
39,adverse reaction to avelumab (intol) - mild tummy ache.,34881111000001104,avelumab,20,28,adverse reaction,intolerance,mild
40,adverse reaction to lusutrombopag (intolerance) - mild tummy ache.,37930811000001108,lusutrombopag,20,33,adverse reaction,intolerance,mild
41,adverse reaction to diphencyprone (intol) - mild tummy ache.,14935411000001109,diphencyprone,20,33,adverse reaction,intolerance,mild
42,adverse reaction to herbal cream (intolerance) - mild tummy ache.,7991911000001103,herbal cream,20,32,adverse reaction,intolerance,mild
43,intolerant of larotrectinib (moderate diarrhoea).,37751311000001103,larotrectinib,14,27,adverse reaction,intolerance,moderate
44,intolerant of nalmefene (moderate diarrhoea).,22404211000001106,nalmefene,14,23,adverse reaction,intolerance,moderate
45,intolerant of sodium valproate (moderate diarrhoea).,10049011000001109,sodium valproate,14,30,adverse reaction,intolerance,moderate
46,intolerant of solriamfetol (moderate diarrhoea).,38925811000001107,solriamfetol,14,26,adverse reaction,intolerance,moderate
47,intolerant of idarucizumab (moderate diarrhoea).,31140111000001101,idarucizumab,14,26,adverse reaction,intolerance,moderate
48,intolerant of apalutamide (moderate diarrhoea).,36792611000001105,apalutamide,14,25,adverse reaction,intolerance,moderate
49,intolerant of raspberry syrup (moderate diarrhoea).,5212011000001106,raspberry syrup,14,29,adverse reaction,intolerance,moderate
50,intolerant of formaldehyde solution (moderate diarrhoea).,5174211000001102,formaldehyde solution,14,35,adverse reaction,intolerance,moderate
51,intolerant of didecyldimethylammonium chloride (moderate diarrhoea).,19447211000001102,didecyldimethylammonium chloride,14,46,adverse reaction,intolerance,moderate
52,intolerant of catridecacog (moderate diarrhoea).,38078511000001109,catridecacog,14,26,adverse reaction,intolerance,moderate
53,intolerant of typhoid vaccine (moderate diarrhoea).,9895511000001109,typhoid vaccine,14,29,adverse reaction,intolerance,moderate
54,intolerant of sodium phenylbutyrate (moderate diarrhoea).,230391000001105,sodium phenylbutyrate,14,35,adverse reaction,intolerance,moderate
55,intolerant of mycophenolate mofetil (moderate diarrhoea).,230381000001108,mycophenolate mofetil,14,35,adverse reaction,intolerance,moderate
56,intolerant of axicabtagene ciloleucel (moderate diarrhoea).,36461111000001102,axicabtagene ciloleucel,14,37,adverse reaction,intolerance,moderate
57,intolerant of pneumococcal vaccine (moderate diarrhoea).,9894911000001101,pneumococcal vaccine,14,34,adverse reaction,intolerance,moderate
58,intolerant of wheat dextrin (moderate diarrhoea).,11788811000001107,wheat dextrin,14,27,adverse reaction,intolerance,moderate
59,intolerant of fremanezumab (moderate diarrhoea).,37223811000001103,fremanezumab,14,26,adverse reaction,intolerance,moderate
60,intolerant of garlic capsules (moderate diarrhoea).,7567211000001107,garlic capsules,14,29,adverse reaction,intolerance,moderate
61,intolerant of hexaminolevulinate (moderate diarrhoea).,11390111000001102,hexaminolevulinate,14,32,adverse reaction,intolerance,moderate
62,intolerant of colestilan (moderate diarrhoea).,23557511000001107,colestilan,14,24,adverse reaction,intolerance,moderate
63,allergies: benzalkonium chloride (anaphylaxis),64686009,benzalkonium chloride,11,32,adverse reaction,allergy,severe
64,allergies: copper compound (anaphylaxis),43268001,copper compound,11,26,adverse reaction,allergy,severe
65,allergies: 4-hydroxybenzoate nonaprenyltransferase (anaphylaxis),130402001,4-hydroxybenzoate nonaprenyltransferase,11,50,adverse reaction,allergy,severe
66,allergies: fuel oil (anaphylaxis),224763009,fuel oil,11,19,adverse reaction,allergy,severe
67,allergies: captodiamine (anaphylaxis),4025009,captodiamine,11,23,adverse reaction,allergy,severe
68,allergies: porcine heparin (anaphylaxis),412201008,porcine heparin,11,26,adverse reaction,allergy,severe
69,allergies: aminosalicylate sodium (anaphylaxis),20231007,aminosalicylate sodium,11,33,adverse reaction,allergy,severe
70,allergies: malt (anaphylaxis),710180001,malt,11,15,adverse reaction,allergy,severe
71,allergies: inseparable antibody (anaphylaxis),65479000,inseparable antibody,11,31,adverse reaction,allergy,severe
72,allergies: bentoquatam (anaphylaxis),412057007,bentoquatam,11,22,adverse reaction,allergy,severe
73,allergies: calcium radioisotope (anaphylaxis),33137005,calcium radioisotope,11,31,adverse reaction,allergy,severe
74,allergies: betanidine (anaphylaxis),418981008,betanidine,11,21,adverse reaction,allergy,severe
75,allergies: maxatase (anaphylaxis),711141000,maxatase,11,19,adverse reaction,allergy,severe
76,allergies: n-acetyl-beta-glucosaminidase (anaphylaxis),75982004,n-acetyl-beta-glucosaminidase,11,40,adverse reaction,allergy,severe
77,allergies: titanium fumes (anaphylaxis),255745000,titanium fumes,11,25,adverse reaction,allergy,severe
78,allergies: hemoglobin suan-dok (anaphylaxis),12465003,hemoglobin suan-dok,11,30,adverse reaction,allergy,severe
79,allergies: gadoxetate disodium (anaphylaxis),440223009,gadoxetate disodium,11,30,adverse reaction,allergy,severe
80,allergies: pamidronate monosodium (anaphylaxis),765348007,pamidronate monosodium,11,33,adverse reaction,allergy,severe
81,allergies: fosphenytoin sodium (anaphylaxis),386843000,fosphenytoin sodium,11,30,adverse reaction,allergy,severe
82,allergies: phytochrome (anaphylaxis),50068000,phytochrome,11,22,adverse reaction,allergy,severe
83,intolerant of pridinol which gave them indigestion.,39045411000001102,pridinol,14,22,adverse reaction,intolerance,unspecified
84,intolerant of corticotropin which gave him indigestion.,36412111000001106,corticotropin,14,27,adverse reaction,intolerance,unspecified
85,intolerant of lithium chloride which gave them indigestion.,24662111000001101,lithium chloride,14,30,adverse reaction,intolerance,unspecified
86,intolerant of histamine which gave him indigestion.,17234811000001104,histamine,14,23,adverse reaction,intolerance,unspecified
87,intolerant of sotrovimab which gave him indigestion.,40384311000001103,sotrovimab,14,24,adverse reaction,intolerance,unspecified
88,intolerant of l-arginine powder which caused him indigestion.,328570003,l-arginine powder,14,31,adverse reaction,intolerance,unspecified
89,intolerant of ceftobiprole which gave them indigestion.,31009711000001109,ceftobiprole,14,26,adverse reaction,intolerance,unspecified
90,intolerant of larotrectinib which caused her indigestion.,37751311000001103,larotrectinib,14,27,adverse reaction,intolerance,unspecified
91,intolerant of homeopathic graphites which gave her indigestion.,9877111000001101,homeopathic graphites,14,35,adverse reaction,intolerance,unspecified
92,intolerant of selumetinib which gave him indigestion.,40125911000001101,selumetinib,14,25,adverse reaction,intolerance,unspecified
93,intolerant of glucose liquid which gave him indigestion.,39495011000001105,glucose liquid,14,28,adverse reaction,intolerance,unspecified
94,intolerant of thymol crystals which gave them indigestion.,5241911000001109,thymol crystals,14,29,adverse reaction,intolerance,unspecified
95,intolerant of tildrakizumab which caused him indigestion.,36440811000001106,tildrakizumab,14,27,adverse reaction,intolerance,unspecified
96,intolerant of methylnaltrexone bromide which caused him indigestion.,13807711000001105,methylnaltrexone bromide,14,38,adverse reaction,intolerance,unspecified
97,intolerant of alectinib which gave him indigestion.,34215011000001109,alectinib,14,23,adverse reaction,intolerance,unspecified
98,intolerant of typhoid vaccine which gave them indigestion.,9895511000001109,typhoid vaccine,14,29,adverse reaction,intolerance,unspecified
99,intolerant of co-beneldopa which caused them indigestion.,18036811000001106,co-beneldopa,14,26,adverse reaction,intolerance,unspecified
100,intolerant of citronella oil which gave him indigestion.,10640811000001101,citronella oil,14,28,adverse reaction,intolerance,unspecified
101,intolerant of hamamelis water which caused him indigestion.,5279411000001101,hamamelis water,14,29,adverse reaction,intolerance,unspecified
102,intolerant of creatine which gave him indigestion.,27945611000001103,creatine,14,22,adverse reaction,intolerance,unspecified
103,intolerant of larvae sterile (severe nausea and vomiting).,9003511000001109,larvae sterile,14,28,adverse reaction,intolerance,severe
104,intolerant of catridecacog (severe nausea and vomiting).,38078511000001109,catridecacog,14,26,adverse reaction,intolerance,severe
105,intolerant of fremanezumab (severe nausea and vomiting).,37223811000001103,fremanezumab,14,26,adverse reaction,intolerance,severe
106,intolerant of belladonna tincture (severe nausea and vomiting).,5146011000001101,belladonna tincture,14,33,adverse reaction,intolerance,severe
107,intolerant of amifampridine (severe nausea and vomiting).,72181000001101,amifampridine,14,27,adverse reaction,intolerance,severe
108,intolerant of bezlotoxumab (severe nausea and vomiting).,34543511000001101,bezlotoxumab,14,26,adverse reaction,intolerance,severe
109,intolerant of homeopathic graphites (severe nausea and vomiting).,9877111000001101,homeopathic graphites,14,35,adverse reaction,intolerance,severe
110,intolerant of cranberry (severe nausea and vomiting).,13295601000001104,cranberry,14,23,adverse reaction,intolerance,severe
111,intolerant of flutrimazole (severe nausea and vomiting).,18041211000001103,flutrimazole,14,26,adverse reaction,intolerance,severe
112,intolerant of diphencyprone (severe nausea and vomiting).,14935411000001109,diphencyprone,14,27,adverse reaction,intolerance,severe
113,intolerant of tetanus vaccine (severe nausea and vomiting).,9895311000001103,tetanus vaccine,14,29,adverse reaction,intolerance,severe
114,intolerant of frovatriptan (severe nausea and vomiting).,36408211000001100,frovatriptan,14,26,adverse reaction,intolerance,severe
115,intolerant of dl-methionine (severe nausea and vomiting).,23965611000001103,dl-methionine,14,27,adverse reaction,intolerance,severe
116,intolerant of varicella vaccine (severe nausea and vomiting).,9895611000001108,varicella vaccine,14,31,adverse reaction,intolerance,severe
117,intolerant of magnesium lactate (severe nausea and vomiting).,22122611000001109,magnesium lactate,14,31,adverse reaction,intolerance,severe
118,intolerant of eluxadoline (severe nausea and vomiting).,34576311000001104,eluxadoline,14,25,adverse reaction,intolerance,severe
119,intolerant of thymol crystals (severe nausea and vomiting).,5241911000001109,thymol crystals,14,29,adverse reaction,intolerance,severe
120,intolerant of fructose powder (severe nausea and vomiting).,39713511000001106,fructose powder,14,29,adverse reaction,intolerance,severe
121,intolerant of dabigatran etexilate (severe nausea and vomiting).,13568411000001103,dabigatran etexilate,14,34,adverse reaction,intolerance,severe
122,intolerant of apple mistletoe (severe nausea and vomiting).,11466011000001105,apple mistletoe,14,29,adverse reaction,intolerance,severe
123,allergic crufomate,1148829005,crufomate,9,18,adverse reaction,allergy,unspecified
124,allerg : cholecystokinin receptor,26012000,cholecystokinin receptor,9,33,adverse reaction,allergy,unspecified
125,allergic to- resistin,415292004,resistin,13,21,adverse reaction,allergy,unspecified
126,allergy to:- nitroaniline,20296004,nitroaniline,13,25,adverse reaction,allergy,unspecified
127,allergy to: turkey feathers,260166004,turkey feathers,12,27,adverse reaction,allergy,unspecified
128,allergic to phosphoramidate-hexose phosphotransferase,47619009,phosphoramidate-hexose phosphotransferase,12,53,adverse reaction,allergy,unspecified
129,"allerg : 1,2-epoxybutane",259183002,"1,2-epoxybutane",9,24,adverse reaction,allergy,unspecified
130,allergic - 11-oxycorticosteroid,103036003,11-oxycorticosteroid,11,31,adverse reaction,allergy,unspecified
131,allerg to: noxious fumes,69526002,noxious fumes,11,24,adverse reaction,allergy,unspecified
132,allerg : benzalkonium chloride,64686009,benzalkonium chloride,9,30,adverse reaction,allergy,unspecified
133,allergy to: crotin,29461009,crotin,12,18,adverse reaction,allergy,unspecified
134,allergic cortivazol,715389007,cortivazol,9,19,adverse reaction,allergy,unspecified
135,allerg : endorphin receptor,44924004,endorphin receptor,9,27,adverse reaction,allergy,unspecified
136,allerg to: potassium,88480006,potassium,11,20,adverse reaction,allergy,unspecified
137,allerg : promethazine hydrochloride,9723911000001106,promethazine hydrochloride,9,35,adverse reaction,allergy,unspecified
138,allerg : difructose-anhydride synthase,130558007,difructose-anhydride synthase,9,38,adverse reaction,allergy,unspecified
139,allerg : sodium-n-methyl dithiocarbamate,16927001,sodium-n-methyl dithiocarbamate,9,40,adverse reaction,allergy,unspecified
140,allergy to- reserpine,387447004,reserpine,12,21,adverse reaction,allergy,unspecified
141,allergy :- dexmethylphenidate hydrochloride,385555005,dexmethylphenidate hydrochloride,11,43,adverse reaction,allergy,unspecified
142,allergies pemphigus antibody,259901002,pemphigus antibody,10,28,adverse reaction,allergy,unspecified
143,they are allergic to aminoacyl-histidine dipeptidase,16480006,aminoacyl-histidine dipeptidase,21,52,adverse reaction,allergy,unspecified
144,pat are allergic to pomfret,735052005,pomfret,20,27,adverse reaction,allergy,unspecified
145,he has allergy to hemoglobin f-lodz,112181001,hemoglobin f-lodz,18,35,adverse reaction,allergy,unspecified
146,she is allergic to 3-hydroxyglutarate,115362009,3-hydroxyglutarate,19,37,adverse reaction,allergy,unspecified
147,pat are allergic to eosinophil myeloperoxidase,259875006,eosinophil myeloperoxidase,20,46,adverse reaction,allergy,unspecified
148,pat has allergy to sucroferric oxyhydroxide,28453911000001100,sucroferric oxyhydroxide,19,43,adverse reaction,allergy,unspecified
149,they is allergic to quercetin-3-sulfate 4'-sulfotransferase,130472000,quercetin-3-sulfate 4'-sulfotransferase,20,59,adverse reaction,allergy,unspecified
150,pat has allergy to natural gas,2698003,natural gas,19,30,adverse reaction,allergy,unspecified
151,pt are allergic to artemether,420578008,artemether,19,29,adverse reaction,allergy,unspecified
152,pt has allergy to extracellular material,43314008,extracellular material,18,40,adverse reaction,allergy,unspecified
153,they are allergic to purine nucleotide,304081006,purine nucleotide,21,38,adverse reaction,allergy,unspecified
154,they has allergy to insect protein,710942001,insect protein,20,34,adverse reaction,allergy,unspecified
155,they is allergic to arsenic compound,23217006,arsenic compound,20,36,adverse reaction,allergy,unspecified
156,he is allergic to catechin,423247009,catechin,18,26,adverse reaction,allergy,unspecified
157,he are allergic to dimethyl carbamate,33780005,dimethyl carbamate,19,37,adverse reaction,allergy,unspecified
158,patient are allergic to ardeparin sodium,108990006,ardeparin sodium,24,40,adverse reaction,allergy,unspecified
159,they are allergic to phosphorus compound,63793008,phosphorus compound,21,40,adverse reaction,allergy,unspecified
160,she is allergic to colloid sulfur,25818006,colloid sulfur,19,33,adverse reaction,allergy,unspecified
161,they are allergic to phenindamine tartrate,720960000,phenindamine tartrate,21,42,adverse reaction,allergy,unspecified
162,pt is allergic to hirudin,414407009,hirudin,18,25,adverse reaction,allergy,unspecified
163,they are intolerant of oxolamine,703553006,oxolamine,23,32,adverse reaction,intolerance,unspecified
164,patient is intolerant of atrolysin e,130722003,atrolysin e,25,36,adverse reaction,intolerance,unspecified
165,pt are intolerant of transformiminase,130071001,transformiminase,21,37,adverse reaction,intolerance,unspecified
166,pat has intolerance to d-tryptophan n-acetyltransferase,112025009,d-tryptophan n-acetyltransferase,23,55,adverse reaction,intolerance,unspecified
167,he has intolerance of isoetarine,66004009,isoetarine,22,32,adverse reaction,intolerance,unspecified
168,pat is intolerant to hemoglobin f-texas-i,63707003,hemoglobin f-texas-i,21,41,adverse reaction,intolerance,unspecified
169,patient are intolerant to hemoglobin beograd,79098003,hemoglobin beograd,26,44,adverse reaction,intolerance,unspecified
170,she is intolerant to tungsten-181,54804009,tungsten-181,21,33,adverse reaction,intolerance,unspecified
171,pat has intolerance of fucosidase,304269004,fucosidase,23,33,adverse reaction,intolerance,unspecified
172,patient are intolerant to boiled potato,227279001,boiled potato,26,39,adverse reaction,intolerance,unspecified
173,pat are intolerant of bee pollen,412583005,bee pollen,22,32,adverse reaction,intolerance,unspecified
174,she has intolerance of 11-beta-hydroxysteroid dehydrogenase,46445002,11-beta-hydroxysteroid dehydrogenase,23,59,adverse reaction,intolerance,unspecified
175,pt are intolerant to myocutaneous flap,261138003,myocutaneous flap,21,38,adverse reaction,intolerance,unspecified
176,she is intolerant of hydroxylamine reductase,67910000,hydroxylamine reductase,21,44,adverse reaction,intolerance,unspecified
177,he is intolerant to mouse epithelium,256419000,mouse epithelium,20,36,adverse reaction,intolerance,unspecified
178,he has intolerance of 15-hydroxyicosatetraenoate dehydrogenase,129950006,15-hydroxyicosatetraenoate dehydrogenase,22,62,adverse reaction,intolerance,unspecified
179,pt is intolerant of mercaptobenzothiazole zinc,96040004,mercaptobenzothiazole zinc,20,46,adverse reaction,intolerance,unspecified
180,pt are intolerant to zirconium-93,1373009,zirconium-93,21,33,adverse reaction,intolerance,unspecified
181,pat are intolerant of punjabi puri,229909002,punjabi puri,22,34,adverse reaction,intolerance,unspecified
182,they is intolerant to triiodobenzoic acid,76003004,triiodobenzoic acid,22,41,adverse reaction,intolerance,unspecified
183,he had a reaction to free radical,39265005,free radical,21,33,adverse reaction,unspecified,unspecified
184,he had reaction to lithocholic acid,54245005,lithocholic acid,19,35,adverse reaction,unspecified,unspecified
185,they had a reaction to arginine glutamate,14139007,arginine glutamate,23,41,adverse reaction,unspecified,unspecified
186,she had reaction with mannose isomerase,18328009,mannose isomerase,22,39,adverse reaction,unspecified,unspecified
187,pt had a reaction to sulfaethoxypyridazine,96095005,sulfaethoxypyridazine,21,42,adverse reaction,unspecified,unspecified
188,she had reaction to 1-pyrroline-5-carboxylate dehydrogenase,68803005,1-pyrroline-5-carboxylate dehydrogenase,20,59,adverse reaction,unspecified,unspecified
189,he had reaction with krait venom,303307006,krait venom,21,32,adverse reaction,unspecified,unspecified
190,patient reacted with folate-rich foods,229973002,folate-rich foods,21,38,adverse reaction,unspecified,unspecified
191,they reacted to fibular flap,256845002,fibular flap,16,28,adverse reaction,unspecified,unspecified
192,pt had reaction to banana,256307007,banana,19,25,adverse reaction,unspecified,unspecified
193,"she had reaction with 1,2-epoxybutane",259183002,"1,2-epoxybutane",22,37,adverse reaction,unspecified,unspecified
194,pt had a reaction to pan-leukocyte antibody,28298004,pan-leukocyte antibody,21,43,adverse reaction,unspecified,unspecified
195,pt reacted with iodinated hydrocarbon,300053007,iodinated hydrocarbon,16,37,adverse reaction,unspecified,unspecified
196,they had reaction with crotin,29461009,crotin,23,29,adverse reaction,unspecified,unspecified
197,he had a reaction with lochia flava,79249000,lochia flava,23,35,adverse reaction,unspecified,unspecified
198,pt reacted with salmon,735009005,salmon,16,22,adverse reaction,unspecified,unspecified
199,pat had a reaction to flecainide acetate,8886003,flecainide acetate,22,40,adverse reaction,unspecified,unspecified
200,they had reaction with 6-pyruvoyltetrahydropterin 2'-reductase,129938000,6-pyruvoyltetrahydropterin 2'-reductase,23,62,adverse reaction,unspecified,unspecified
201,he had a reaction with 3-hydroxyglutarate,115362009,3-hydroxyglutarate,23,41,adverse reaction,unspecified,unspecified
202,he had a reaction to sulindac sulfide,725621002,sulindac sulfide,21,37,adverse reaction,unspecified,unspecified
203,pt have trimebutine allergy,698184001,trimebutine,8,19,adverse reaction,allergy,unspecified
204,patient has a knickerbocker glory allergy,227715001,knickerbocker glory,14,33,adverse reaction,allergy,unspecified
205,she have a oregano allergy,227407000,oregano,11,18,adverse reaction,allergy,unspecified
206,she have a aquaporin-2 allergy,421359002,aquaporin-2,11,22,adverse reaction,allergy,unspecified
207,he has asian pastry allergy,226676008,asian pastry,7,19,adverse reaction,allergy,unspecified
208,he has cob(i)alamin adenosyltransferase allergy,17603007,cobalamin adenosyltransferase,7,39,adverse reaction,allergy,unspecified
209,pat have a arylamine glucosyltransferase allergy,70535004,arylamine glucosyltransferase,11,40,adverse reaction,allergy,unspecified
210,they have a l-threonine 3-dehydrogenase allergy,43365000,l-threonine 3-dehydrogenase,12,39,adverse reaction,allergy,unspecified
211,pt has a 1-acylglycerophosphocholine acyltransferase allergy,35342009,1-acylglycerophosphocholine acyltransferase,9,52,adverse reaction,allergy,unspecified
212,he have anthranilate 3-monooxygenase allergy,74979000,anthranilate 3-monooxygenase,8,36,adverse reaction,allergy,unspecified
213,pt has 3-hydroxypropionate dehydrogenase allergy,35499002,3-hydroxypropionate dehydrogenase,7,40,adverse reaction,allergy,unspecified
214,he has adenosylcobalamin allergy,259509008,adenosylcobalamin,7,24,adverse reaction,allergy,unspecified
215,pt have a central myelin allergy,68326005,central myelin,10,24,adverse reaction,allergy,unspecified
216,pt has a potassium isotope allergy,14146003,potassium isotope,9,26,adverse reaction,allergy,unspecified
217,pat has l-lysine 6-aminotransferase allergy,26134001,l-lysine 6-aminotransferase,8,35,adverse reaction,allergy,unspecified
218,patient has lumpy food allergy,228056005,lumpy food,12,22,adverse reaction,allergy,unspecified
219,"they have beta-1,3-galactosyl-o-glycosyl-glycoprotein beta-1,6-n-acetylglucosaminyltransferase allergy",10373001,"beta-1,3-galactosyl-o-glycosyl-glycoprotein beta-1,6-n-acetylglucosaminyltransferase",10,94,adverse reaction,allergy,unspecified
220,she have a n-acetylglucosaminyldiphosphodolichol n-acetylglucosaminyltransferase allergy,87924006,n-acetylglucosaminyldiphosphodolichol n-acetylglucosaminyltransferase,11,80,adverse reaction,allergy,unspecified
221,pt have lipid allergy,70106000,lipid,8,13,adverse reaction,allergy,unspecified
222,pat have thymostimulin allergy,717104005,thymostimulin,9,22,adverse reaction,allergy,unspecified
223,mild limbus-based flap allergy,261911009,limbus-based flap,5,22,adverse reaction,allergy,mild
224,mild alpha-aminoadipic acid allergy,95984008,alpha-aminoadipic acid,5,27,adverse reaction,allergy,mild
225,mild alphaprodine hydrochloride allergy,412079002,alphaprodine hydrochloride,5,31,adverse reaction,allergy,mild
226,mild amyl nitrate allergy,41153003,amyl nitrate,5,17,adverse reaction,allergy,mild
227,mild sulfurated potash allergy,20469411000001101,sulfurated potash,5,22,adverse reaction,allergy,mild
228,mild alpha actinin allergy,69662009,alpha actinin,5,18,adverse reaction,allergy,mild
229,mild a*6802 allergy,256964009,a*6802,5,11,adverse reaction,allergy,mild
230,mild ethacrynate sodium allergy,75341007,ethacrynate sodium,5,23,adverse reaction,allergy,mild
231,mild diiodotyrosine allergy,80393001,diiodotyrosine,5,19,adverse reaction,allergy,mild
232,"mild (2,3-dihydroxybenzoyl)adenylate synthase allergy",130453000,adenylate synthase,5,45,adverse reaction,allergy,mild
233,mild zirconium-93 allergy,1373009,zirconium-93,5,17,adverse reaction,allergy,mild
234,mild beta-2 transferrin allergy,115469004,beta-2 transferrin,5,23,adverse reaction,allergy,mild
235,mild crufomate allergy,1148829005,crufomate,5,14,adverse reaction,allergy,mild
236,mild tryptophan 2-monooxygenase allergy,65283003,tryptophan 2-monooxygenase,5,31,adverse reaction,allergy,mild
237,mild mouse epithelium allergy,256419000,mouse epithelium,5,21,adverse reaction,allergy,mild
238,"mild 3,7-dimethylquercetin 4'-o-methyltransferase allergy",130254008,"3,7-dimethylquercetin 4'-o-methyltransferase",5,49,adverse reaction,allergy,mild
239,mild 2-deoxytetronate allergy,708843003,2-deoxytetronate,5,21,adverse reaction,allergy,mild
240,mild detomidine allergy,782159009,detomidine,5,15,adverse reaction,allergy,mild
241,mild o-desmethyltramadol allergy,725713003,o-desmethyltramadol,5,24,adverse reaction,allergy,mild
242,mild creatine kinase allergy,75828004,creatine kinase,5,20,adverse reaction,allergy,mild
243,moderate dinitro-o-amyl phenol allergy,20994009,dinitro-o-amyl phenol,9,30,adverse reaction,allergy,moderate
244,mod colloid sulfur allergy,25818006,colloid sulfur,4,18,adverse reaction,allergy,moderate
245,mod pyridoxine 4-dehydrogenase allergy,963005,pyridoxine 4-dehydrogenase,4,30,adverse reaction,allergy,moderate
246,moderate muscle material allergy,256668009,muscle material,9,24,adverse reaction,allergy,moderate
247,moderate antinuclear antibody allergy,45530001,antinuclear antibody,9,29,adverse reaction,allergy,moderate
248,moderate glucomannan 4-beta-mannosyltransferase allergy,37264002,glucomannan 4-beta-mannosyltransferase,9,47,adverse reaction,allergy,moderate
