text,cui,name,start,end,relevance,presence,laterality (generic)
abuse of synthetic cathinone few years back,762504005,abuse of synthetic cathinone,0,28,historic,confirmed,none
injury of rectum some time back,125635006,injury of rectum,0,16,historic,confirmed,none
no past hx of disorder of orbit proper,371436007,disorder of orbit proper,14,38,historic,negated,none
not had hematoma of trachea,282456003,hematoma of trachea,8,27,historic,negated,none
3 previous cushing ulcer of esophagus,738792004,cushing ulcer of esophagus,11,37,historic,confirmed,none
3 previous acute widespread myocardial infarction,233835003,acute widespread myocardial infarction,11,49,historic,confirmed,none
personal hist cricoarytenoid joint arthritis,307500008,cricoarytenoid joint arthritis,14,44,historic,confirmed,none
no pers hx hypophosphatemia,4996001,hypophosphatemia,11,27,historic,negated,none
4 previous fulminant amebic colitis,235748008,fulminant amebic colitis,11,35,historic,confirmed,none
peptic ulcer with obstruction previously,786068005,peptic ulcer with obstruction,0,29,historic,confirmed,none
acute lymphadenitis prev,41174002,acute lymphadenitis,0,19,historic,confirmed,none
psychogenic urticaria in the past,63990000,psychogenic urticaria,0,21,historic,confirmed,none
no pers hist intentional primaquine overdose,296563001,intentional primaquine overdose,13,44,historic,negated,none
transitory deafness recovered,878795009,transitory deafness,0,19,historic,confirmed,none
previous hx furuncle of left hand,10627591000119102,furuncle of left hand,12,33,historic,confirmed,left
wood splinter under fingernail last 9 mths,283295005,wood splinter under fingernail,0,30,historic,confirmed,none
previous penetrating wound of lung,282726006,penetrating wound of lung,9,34,historic,confirmed,none
pregnancy-related factor viii deficiency prev,307517001,pregnancy-related factor viii deficiency,0,40,historic,confirmed,none
holiday heart syndrome some time ago,959281000000105,holiday heart syndrome,0,22,historic,confirmed,none
no prev hx intentional oxyphenbutazone poisoning,290290002,intentional oxyphenbutazone poisoning,11,48,historic,negated,none
no hist of postpartum psychosis in remission,60401000119104,postpartum psychosis in remission,11,44,historic,negated,none
never had necrobiotic xanthogranuloma,404164003,necrobiotic xanthogranuloma,10,37,historic,negated,none
keratitis caused by infection last 8 mths,733312003,keratitis caused by infection,0,29,historic,confirmed,none
previously acute postoperative renal failure,438783006,acute postoperative renal failure,11,44,historic,confirmed,none
past medical hist of furuncle of hand,10453005,furuncle of hand,21,37,historic,confirmed,none
prev hist maccallum's patch,83014000,maccallum's patch,10,27,historic,confirmed,none
1 previous acute contact otitis externa,18953001,acute contact otitis externa,11,39,historic,confirmed,none
congenital hypoplasia of fibula last 1 months,93256009,congenital hypoplasia of fibula,0,31,historic,confirmed,none
no pmh of tetrasomy 21,764690001,tetrasomy 21,10,22,historic,negated,none
disease caused by orthoreovirus while 32 yrs of age,414016004,disease caused by orthoreovirus,0,31,historic,confirmed,none
no past hx gossypium species poisoning,39248001,gossypium species poisoning,11,38,historic,negated,none
pallidonigrospinal degeneration few years ago,89576007,pallidonigrospinal degeneration,0,31,historic,confirmed,none
prev hx congenital hypoplasia of lung,80825009,congenital hypoplasia of lung,8,37,historic,confirmed,none
retromammary breast abscess at aged 16,198107000,retromammary breast abscess,0,27,historic,confirmed,none
previously acute lymphangitis of head,128281003,acute lymphangitis of head,11,37,historic,confirmed,none
previously acute diastolic heart failure,443343001,acute diastolic heart failure,11,40,historic,confirmed,none
previous hx abscess of left eyelid,347691000119102,abscess of left eyelid,12,34,historic,confirmed,left
cervical myelocystocele while 10 yr old,203996001,cervical myelocystocele,0,23,historic,confirmed,none
oculocutaneous albinism type 6 some time ago,722058005,oculocutaneous albinism type 6,0,30,historic,confirmed,none
duodenal hematoma few years back,262843005,duodenal hematoma,0,17,historic,confirmed,none
localized cutaneous erysipeloid recovered,240395005,localized cutaneous erysipeloid,0,31,historic,confirmed,none
longitudinal melanonychia a few years previously,707196007,longitudinal melanonychia,0,25,historic,confirmed,none
deep laceration of ankle when aged 38,446360001,deep laceration of ankle,0,24,historic,confirmed,none
not had foramen of magendie atresia,204061006,foramen of magendie atresia,8,35,historic,negated,none
no pmh of drug-induced tic,230334008,drug-induced tic,10,26,historic,negated,none
1 prev acute suppurative thyroiditis,25476006,acute suppurative thyroiditis,7,36,historic,confirmed,none
atrophic senile gingivitis prev,91949000,atrophic senile gingivitis,0,26,historic,confirmed,none
oligomeganephronic hypoplasia of kidney from aged 9,18417009,oligomeganephronic hypoplasia of kidney,0,39,historic,confirmed,none
neoplasm of vulva previously,126922007,neoplasm of vulva,0,17,historic,confirmed,none
pers hx acute sciatica,307176005,acute sciatica,8,22,historic,confirmed,none
ventricular hypertrophy last 4 months,266249003,ventricular hypertrophy,0,23,historic,confirmed,none
previous acute lymphangitis of umbilicus,3038009,acute lymphangitis of umbilicus,9,40,historic,confirmed,none
no history post-surgical hypoinsulinemia,190437000,post-surgical hypoinsulinemia,11,40,historic,negated,none
past medical hist injury of uterine vein,64042000,injury of uterine vein,18,40,historic,confirmed,none
wound of toenail some time previously,275461003,wound of toenail,0,16,historic,confirmed,none
not had thogoto virus disease,51638003,thogoto virus disease,8,29,historic,negated,none
personal hx of closed subluxation atlantoaxial joint,209137004,closed subluxation atlantoaxial joint,15,52,historic,confirmed,none
2 prev acute posterior myocardial infarction,233838001,acute posterior myocardial infarction,7,44,historic,confirmed,none
cutaneous pseudolymphoma last 8 mths,128862000,cutaneous pseudolymphoma,0,24,historic,confirmed,none
no past hist human immunodeficiency virus encephalitis,398329009,human immunodeficiency virus encephalitis,13,54,historic,negated,none
wood splinter in elbow last 9 mth,283286002,wood splinter in elbow,0,22,historic,confirmed,none
4 previous acute osteomyelitis of metatarsal,203177001,acute osteomyelitis of metatarsal,11,44,historic,confirmed,none
tendinitis of right forearm recovered,12241231000119104,tendinitis of right forearm,0,27,historic,confirmed,right
xiphoid cartilage sprain at 53 y of age,209808000,xiphoid cartilage sprain,0,24,historic,confirmed,none
"abrasion, shoulder area while age 66",211189001,"abrasion, shoulder area",0,23,historic,confirmed,none
no past history mucopolysaccharidosis type i,75610003,mucopolysaccharidosis type i,16,44,historic,negated,none
acute amebiasis recovered,39224005,acute amebiasis,0,15,historic,confirmed,none
pers history of distal monosomy 10p,719686003,distal monosomy 10p,16,35,historic,confirmed,none
not had cholelithiasis with obstruction,77528005,cholelithiasis with obstruction,8,39,historic,negated,none
no previous history congenital stricture of artery,60091004,congenital stricture of artery,20,50,historic,negated,none
3 prev acute viral bronchitis,233601004,acute viral bronchitis,7,29,historic,confirmed,none
blind right eye prev,274572000,blind right eye,0,15,historic,confirmed,none
partial frontal lobe epilepsy previously,14401000119109,partial frontal lobe epilepsy,0,29,historic,confirmed,none
diazepam dependence prev,231474005,diazepam dependence,0,19,historic,confirmed,none
several acute ulcerative rectosigmoiditis,453720571000119100,acute ulcerative rectosigmoiditis,8,41,historic,confirmed,none
nipple discharge present until aged 63,162166009,nipple discharge present,0,24,historic,confirmed,none
no ph of infection caused by strigea,80277008,infection caused by strigea,9,36,historic,negated,none
accidental carbenoxolone overdose previously,295381009,accidental carbenoxolone overdose,0,33,historic,confirmed,none
4 previous acute appendicitis,85189001,acute appendicitis,11,29,historic,confirmed,none
no past hx loculation syndrome,24956004,loculation syndrome,11,30,historic,negated,none
arbovirus hemorrhagic fever recovered,16766000,arbovirus hemorrhagic fever,0,27,historic,confirmed,none
no ph of procarbazine adverse reaction,292240009,procarbazine adverse reaction,9,38,historic,negated,none
no ph of indian zoonotic cutaneous leishmaniasis,240643008,indian zoonotic cutaneous leishmaniasis,9,48,historic,negated,none
lupus erythematosus chronicus at 26 yr o,200937007,lupus erythematosus chronicus,0,29,historic,confirmed,none
no pmh of glutathionemia,47906008,glutathionemia,10,24,historic,negated,none
myotonia acquisita upto aged 10,85034001,myotonia acquisita,0,18,historic,confirmed,none
had localized slight acute periodontitis,715843008,localized slight acute periodontitis,4,40,historic,confirmed,none
choroidal effusion when age 47,232000008,choroidal effusion,0,18,historic,confirmed,none
no history cellulitis of left knee,10633271000119108,cellulitis of left knee,11,34,historic,negated,left
tendinitis recovered,34840004,tendinitis,0,10,historic,confirmed,none
prev sweet's disease following infection,403216007,sweet's disease following infection,5,40,historic,confirmed,none
no prev hx bell's palsy,193093009,bell's palsy,11,23,historic,negated,none
past medical hist fracture of maxillary tuberosity,263160009,fracture of maxillary tuberosity,18,50,historic,confirmed,none
4 previous stokes-adams attack,271547004,stokes-adams attack,11,30,historic,confirmed,none
pruritus of pregnancy at aged 31,239102001,pruritus of pregnancy,0,21,historic,confirmed,none
esophageal bleeding upto 39 y o,15238002,esophageal bleeding,0,19,historic,confirmed,none
candidal otitis externa from age 33,16681000,candidal otitis externa,0,23,historic,confirmed,none
no pmh of laceration of left forearm,10960321000119104,laceration of left forearm,10,36,historic,negated,left
past medical history abscess of appendix,62224002,abscess of appendix,21,40,historic,confirmed,none
acute lymphangitis of thigh recovered,3059002,acute lymphangitis of thigh,0,27,historic,confirmed,none
injury of submandibular ganglion upto age 35,282801005,injury of submandibular ganglion,0,32,historic,confirmed,none
prev hx finger wrinkling,238532005,finger wrinkling,8,24,historic,confirmed,none
no personal hist parkinsonism following infection,722558002,parkinsonism following infection,17,49,historic,negated,none
sporadic porphyria cutanea tarda last 10 mth,402479002,sporadic porphyria cutanea tarda,0,32,historic,confirmed,none
pers hx of mucocele of maxillary sinus,14110001000004108,mucocele of maxillary sinus,11,38,historic,confirmed,none
no past hx mastitis of mumps,237443002,mastitis of mumps,11,28,historic,negated,none
acute viral tonsillitis recovered,195676005,acute viral tonsillitis,0,23,historic,confirmed,none
pers hist of gas gangrene of neck,186414001,gas gangrene of neck,13,33,historic,confirmed,none
2 prev acute serositis,702691009,acute serositis,7,22,historic,confirmed,none
dog bite of elbow some time ago,283751003,dog bite of elbow,0,17,historic,confirmed,none
no past hx hypocupremia,19577007,hypocupremia,11,23,historic,negated,none
1 prev tendinitis of bilateral feet,15675401000119105,tendinitis of bilateral feet,7,35,historic,confirmed,bilateral
pulmonary capillary hemangiomatosis last 9 mths,233949008,pulmonary capillary hemangiomatosis,0,35,historic,confirmed,none
"ventricular tachycardia, monomorphic at age 70",251158004,"ventricular tachycardia, monomorphic",0,36,historic,confirmed,none
inula graveolens poisoning when 9 years old,39652006,inula graveolens poisoning,0,26,historic,confirmed,none
trace effusion in knee at age 44,250120006,trace effusion in knee,0,22,historic,confirmed,none
acute myocarditis recovered,46701001,acute myocarditis,0,17,historic,confirmed,none
past history of duodenal ulcer with perforation,88968005,duodenal ulcer with perforation,16,47,historic,confirmed,none
no previous hx lymecycline adverse reaction,293050008,lymecycline adverse reaction,15,43,historic,negated,none
no personal hist cricoarytenoid joint fixation,307499004,cricoarytenoid joint fixation,17,46,historic,negated,none
no pmh hematoma of right orbit,10860991000119107,hematoma of right orbit,7,30,historic,negated,right
2 prev acute laryngitis,6655004,acute laryngitis,7,23,historic,confirmed,none
prev hx retinal flecking,247138002,retinal flecking,8,24,historic,confirmed,none
no pmh choroiditis of bilateral eyes,346871000119101,choroiditis of bilateral eyes,7,36,historic,negated,bilateral
basilar artery embolism last 3 months,111296006,basilar artery embolism,0,23,historic,confirmed,none
no ph of accidental vitamin a poisoning,291922003,accidental vitamin a poisoning,9,39,historic,negated,none
astragalus species poisoning a few years ago,90143008,astragalus species poisoning,0,28,historic,confirmed,none
frequent transient somatotropin deficiency,22306000,transient somatotropin deficiency,9,42,historic,confirmed,none
pers history diagnostic agent overdose,295313001,diagnostic agent overdose,13,38,historic,confirmed,none
accidental overdose by codeine last 11 mth,295171003,accidental overdose by codeine,0,30,historic,confirmed,none
no pmh of paroxysmal tachycardia,12026006,paroxysmal tachycardia,10,32,historic,negated,none
recurrent timorian filarial fever,240832002,timorian filarial fever,10,33,historic,confirmed,none
acute gonococcal cervicitis recovered,20943002,acute gonococcal cervicitis,0,27,historic,confirmed,none
enteritis caused by astrovirus previously,1082731000119103,enteritis caused by astrovirus,0,30,historic,confirmed,none
color vision deficiency last 3 mths,367469000,color vision deficiency,0,23,historic,confirmed,none
no pers hist of ring dermoid of cornea,723499000,ring dermoid of cornea,16,38,historic,negated,none
ingrowing fingernail (excluding thumb) prev,201112007,ingrowing fingernail,0,38,historic,confirmed,none
cholecystoduodenal fistula last 12 mth,39170005,cholecystoduodenal fistula,0,26,historic,confirmed,none
previously acute transmural myocardial infarction,1089471000000109,acute transmural myocardial infarction,11,49,historic,confirmed,none
angiokeratoma circumscriptum from age 24,21848000,angiokeratoma circumscriptum,0,28,historic,confirmed,none
intentional tolmetin overdose while 31 yrs o,295309008,intentional tolmetin overdose,0,29,historic,confirmed,none
prev acute disease of orbit,128483002,acute disease of orbit,5,27,historic,confirmed,none
no pmh of intentional diethyl ether overdose,1149412008,intentional diethyl ether overdose,10,44,historic,negated,none
infection caused by spirometra a few years prev,721827005,infection caused by spirometra,0,30,historic,confirmed,none
2 prev supraspinatus tendinitis,202841003,supraspinatus tendinitis,7,31,historic,confirmed,none
no prev hist genetically determined myasthenia,230669004,genetically determined myasthenia,13,46,historic,negated,none
prev idiopathic paroxysmal cold hemoglobinuria,62871001,idiopathic paroxysmal cold hemoglobinuria,5,46,historic,confirmed,none
recurrent rapidly progressive glomerulonephritis,236392004,rapidly progressive glomerulonephritis,10,48,historic,confirmed,none
ulcerated angiomatous nevus while 45 yrs of age,403958000,ulcerated angiomatous nevus,0,27,historic,confirmed,none
myxoid leiomyosarcoma of skin a few years previously,404046008,myxoid leiomyosarcoma of skin,0,29,historic,confirmed,none
laceration of right buttock last 3 month,10904511000119107,laceration of right buttock,0,27,historic,confirmed,right
recurrent acute recurrent cystitis,274109003,acute recurrent cystitis,10,34,historic,confirmed,none
subacute arthropathy when 68 years o,66822008,subacute arthropathy,0,20,historic,confirmed,none
frequent maternal transfer neutropenia,80255009,maternal transfer neutropenia,9,38,historic,confirmed,none
burn of wrist last 1 months,3480002,burn of wrist,0,13,historic,confirmed,none
neonatal infective mastitis in the past,3468005,neonatal infective mastitis,0,27,historic,confirmed,none
chronic pulpitis prev,75037000,chronic pulpitis,0,16,historic,confirmed,none
no ph of liquid paraffin adverse reaction,292786007,liquid paraffin adverse reaction,9,41,historic,negated,none
past medical hist cocaine dependence in remission,191833002,cocaine dependence in remission,18,49,historic,confirmed,none
no ph of disorder of transplanted heart,429257001,disorder of transplanted heart,9,39,historic,negated,none
congenital iris ectropion upto age 20,400965007,congenital iris ectropion,0,25,historic,confirmed,none
acute on chronic sialoadenitis recovered,702714007,acute on chronic sialoadenitis,0,30,historic,confirmed,none
no hx eyelid nystagmus,733335000,eyelid nystagmus,6,22,historic,negated,none
nonfatal submersion until age 7,87970004,nonfatal submersion,0,19,historic,confirmed,none
transient neonatal hypertyrosinemia recovered,75387001,transient neonatal hypertyrosinemia,0,35,historic,confirmed,none
acquired complex renal cyst last 6 mths,98371000119102,acquired complex renal cyst,0,27,historic,confirmed,none
had acute radiation proctitis,235761008,acute radiation proctitis,4,29,historic,confirmed,none
1 prev acute zinc deficiency,16917007,acute zinc deficiency,7,28,historic,confirmed,none
eggshell nail when age 66,201117001,eggshell nail,0,13,historic,confirmed,none
never had respiratory alkalosis,111378004,respiratory alkalosis,10,31,historic,negated,none
hematoma of skin upto aged 55,279420009,hematoma of skin,0,16,historic,confirmed,none
no previous hx single umbilical artery,204470001,single umbilical artery,15,38,historic,negated,none
no ph of factor v adverse reaction,770705004,factor v adverse reaction,9,34,historic,negated,none
no history lipid keratopathy,231908001,lipid keratopathy,11,28,historic,negated,none
lipoprotein glomerulopathy last 5 mth,446923008,lipoprotein glomerulopathy,0,26,historic,confirmed,none
no pmh of glossodynia,30731004,glossodynia,10,21,historic,negated,none
no prev hx thyroglobulin synthesis defect,63127008,thyroglobulin synthesis defect,11,41,historic,negated,none
keratoconjunctivitis of left eye at aged 57,340191000119106,keratoconjunctivitis of left eye,0,32,historic,confirmed,left
never had retroflexed uterus,41121007,retroflexed uterus,10,28,historic,negated,none
"abrasion, interscapular previously",211038003,"abrasion, interscapular",0,23,historic,confirmed,none
secondary diastolic hypertension previously,74451002,secondary diastolic hypertension,0,32,historic,confirmed,none
no prev hist of drug-induced coagulation inhibitor disorder,16773005,drug-induced coagulation inhibitor disorder,16,59,historic,negated,none
contusion of esophagus last 11 mth,262791003,contusion of esophagus,0,22,historic,confirmed,none
3 previous acute postoperative renal failure,438783006,acute postoperative renal failure,11,44,historic,confirmed,none
phenothiazine adverse reaction until 55 yr o,292386009,phenothiazine adverse reaction,0,30,historic,confirmed,none
4 previous acute mediastinitis,233734006,acute mediastinitis,11,30,historic,confirmed,none
2 previous impending infarction,25106000,impending infarction,11,31,historic,confirmed,none
infantile cortical hyperostosis while 23 years old,24752008,infantile cortical hyperostosis,0,31,historic,confirmed,none
postaxial polydactyly of toe in the past,205133005,postaxial polydactyly of toe,0,28,historic,confirmed,none
recurrent acute drug-induced tubulointerstitial nephritis,32093003,acute drug-induced tubulointerstitial nephritis,10,57,historic,confirmed,none
benign neoplasm of glottis few yr prev,92123007,benign neoplasm of glottis,0,26,historic,confirmed,none
methotrexate poisoning prev,290680001,methotrexate poisoning,0,22,historic,confirmed,none
avulsion of mandible last 8 month,110082000,avulsion of mandible,0,20,historic,confirmed,none
4 prev acute viral encephalitis,230161000,acute viral encephalitis,7,31,historic,confirmed,none
superficial injury of heel few yrs ago,283047007,superficial injury of heel,0,26,historic,confirmed,none
chronic ulcerative proctitis from 60 y old,52231000,chronic ulcerative proctitis,0,28,historic,confirmed,none
disorder of glycoprotein metabolism in the past,238045003,disorder of glycoprotein metabolism,0,35,historic,confirmed,none
no prev hx of foreign body in nasopharynx,2245007,foreign body in nasopharynx,14,41,historic,negated,none
charcot-marie-tooth disease type 4h last 9 mth,715802008,charcot-marie-tooth disease type 4h,0,35,historic,confirmed,none
past hx boric acid adverse reaction,292894008,boric acid adverse reaction,8,35,historic,confirmed,none
cystic acne few years back,13277001,cystic acne,0,11,historic,confirmed,none
prev history liquorice adverse reaction,292104003,liquorice adverse reaction,13,39,historic,confirmed,none
no pmh cyproterone adverse reaction,293232008,cyproterone adverse reaction,7,35,historic,negated,none
menkes kinky-hair syndrome last 4 mths,59178007,menkes kinky-hair syndrome,0,26,historic,confirmed,none
pers hx gingival polyp,45676007,gingival polyp,8,22,historic,confirmed,none
scarring alopecia previously,400088006,scarring alopecia,0,17,historic,confirmed,none
lipoma of eyelid at aged 56,188983004,lipoma of eyelid,0,16,historic,confirmed,none
previous acute tonsillitis,17741008,acute tonsillitis,9,26,historic,confirmed,none
2 prev nephrotoxic acute renal failure,236428007,nephrotoxic acute renal failure,7,38,historic,confirmed,none
4 previous acute suppurative arthritis,372940009,acute suppurative arthritis,11,38,historic,confirmed,none
several acute ventricular septal rupture,371817007,acute ventricular septal rupture,8,40,historic,confirmed,none
injury due to explosion when 36 years of age,397996002,injury due to explosion,0,23,historic,confirmed,none
no pmh of fracture of pubic tubercle,13960001000004106,fracture of pubic tubercle,10,36,historic,negated,none
cricopharyngeal bar few years prev,235633005,cricopharyngeal bar,0,19,historic,confirmed,none
dicentra spectabilis poisoning from age 29,44173007,dicentra spectabilis poisoning,0,30,historic,confirmed,none
photoallergic dermatitis from 11 y o,111209006,photoallergic dermatitis,0,24,historic,confirmed,none
ulcerative colitis last 4 month,64766004,ulcerative colitis,0,18,historic,confirmed,none
no history nonunion of spinal fusion,307211004,nonunion of spinal fusion,11,36,historic,negated,none
secondary cold-type hemolytic anemia last 12 mths,191212002,secondary cold-type hemolytic anemia,0,36,historic,confirmed,none
neurologic voice disorder previously,71941009,neurologic voice disorder,0,25,historic,confirmed,none
toxic effect of cyanide last 2 month,66207005,toxic effect of cyanide,0,23,historic,confirmed,none
disorder of vagina last 11 mths,25658005,disorder of vagina,0,18,historic,confirmed,none
benign neoplasm of epiglottis in the past,92089006,benign neoplasm of epiglottis,0,29,historic,confirmed,none
x-linked hyper-immunoglobulin m syndrome few years previously,403835002,x-linked hyper-immunoglobulin m syndrome,0,40,historic,confirmed,none
"abrasion of vulva, infected a few years ago",211066006,"abrasion of vulva, infected",0,27,historic,confirmed,none
antacid adverse reaction at 37 y old,292122000,antacid adverse reaction,0,24,historic,confirmed,none
personal hx of flucytosine overdose,296531007,flucytosine overdose,15,35,historic,confirmed,none
no pmh oxybuprocaine adverse reaction,292184001,oxybuprocaine adverse reaction,7,37,historic,negated,none
past medical hx of transitory neonatal hypokalemia,206492004,transitory neonatal hypokalemia,19,50,historic,confirmed,none
retained dental root while 50 years old,66569006,retained dental root,0,20,historic,confirmed,none
no past hist of intentional ifosfamide overdose,295630005,intentional ifosfamide overdose,16,47,historic,negated,none
1 previous acute lymphangitis of hand,48503007,acute lymphangitis of hand,11,37,historic,confirmed,none
acute infectious lymphocytosis recovered,48516007,acute infectious lymphocytosis,0,30,historic,confirmed,none
postmyocardial infarction syndrome when age 36,66189004,postmyocardial infarction syndrome,0,34,historic,confirmed,none
post-renal renal failure recovered,301814009,post-renal renal failure,0,24,historic,confirmed,none
argentinian hemorrhagic fever recovered,58868000,argentinian hemorrhagic fever,0,29,historic,confirmed,none
deficiency of ketohexokinase prev,124299001,deficiency of ketohexokinase,0,28,historic,confirmed,none
pers hist deep hematoma,262559001,deep hematoma,10,23,historic,confirmed,none
nortriptyline adverse reaction from aged 15,292284009,nortriptyline adverse reaction,0,30,historic,confirmed,none
famotidine adverse reaction few years back,292108000,famotidine adverse reaction,0,27,historic,confirmed,none
2 prev acute respiratory failure,65710008,acute respiratory failure,7,32,historic,confirmed,none
seropositive rheumatoid arthritis upto age 34,239791005,seropositive rheumatoid arthritis,0,33,historic,confirmed,none
cholinergic dermographism while aged 36,402412003,cholinergic dermographism,0,25,historic,confirmed,none
several acute cerebral ischemia,16218291000119100,acute cerebral ischemia,8,31,historic,confirmed,none
several acute myometritis,76151005,acute myometritis,8,25,historic,confirmed,none
tendinitis of left elbow recovered,12241111000119104,tendinitis of left elbow,0,24,historic,confirmed,left
4 prev acute meningococcal pericarditis,194906004,acute meningococcal pericarditis,7,39,historic,confirmed,none
no prev hx benign neoplasm of neck,92246000,benign neoplasm of neck,11,34,historic,negated,none
no pmh macular vitelliform deposits,247155003,macular vitelliform deposits,7,35,historic,negated,none
several acute pneumococcal pericarditis,194916007,acute pneumococcal pericarditis,8,39,historic,confirmed,none
previous hx eiken syndrome,720863002,eiken syndrome,12,26,historic,confirmed,none
