text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
disorder of ciliary body {p leukocoria of left eye} popliteal entrapment syndrome,339981000119100 | Leukocoria of left eye (disorder),Positive,Confirmed,Left
oral dystonia {p neonatal marfan syndrome} hemothorax due to trauma,763839005 | Neonatal Marfan syndrome (disorder),Positive,Confirmed,No laterality
non-progressive kozhevnikow syndrome {p injury whilst rock climbing} lateral temporal epilepsy,1067961000000100 | Injury whilst rock climbing (disorder),Positive,Confirmed,No laterality
endometriosis of cervix {p solid rudimentary uterus} necrotic rhinitis,253829008 | Solid rudimentary uterus (disorder),Positive,Confirmed,No laterality
intentional oxypertine overdose {p postprocedural pancreatic steatorrhea} laceration of eyelid,235733002 | Postprocedural pancreatic steatorrhea (disorder),Positive,Confirmed,No laterality
valvular cardiomyopathy {p non-erythrodermic lamellar ichthyosis} trochanteric tendinitis,254163001 | Non-erythrodermic lamellar ichthyosis (disorder),Positive,Confirmed,No laterality
fractured nasal bones {p heparin overdose} gastritis cystica profunda,296926001 | Heparin overdose (disorder),Positive,Confirmed,No laterality
intentional urokinase overdose {p open subluxation c5/c6} dermatosis caused by flea,209158005 | Open subluxation C5/C6 (disorder),Positive,Confirmed,No laterality
pharyngeal dysphagia {p accidental aclarubicin poisoning} diaphanospondylodysostosis,290652003 | Accidental aclarubicin poisoning (disorder),Positive,Confirmed,No laterality
vesicular eczema {p hereditary gastrogenic lactose intolerance} synovial osteochondromatosis,25744000 | Hereditary gastrogenic lactose intolerance (disorder),Positive,Confirmed,No laterality
harara {p idiopathic hypogonadotropic hypogonadism} skeletal fluorosis,123953004 | Idiopathic hypogonadotropic hypogonadism (disorder),Positive,Confirmed,No laterality
digital arterial thrombosis {p anorectal abscess} acquired keratosis pilaris,75236001 | Anorectal abscess (disorder),Positive,Confirmed,No laterality
feminization-adrenogenital syndrome {p temporomandibular joint effusion} accidental formestane overdose,298150009 | Temporomandibular joint effusion (disorder),Positive,Confirmed,No laterality
impression {p accessory gonad},91845007 | Accessory gonad (disorder),Positive,Confirmed,No laterality
macular syphilide {p tinea imbricata} ventricular septal aneurysm,240699006 | Tinea imbricata (disorder),Positive,Confirmed,No laterality
female puberty disorder {p sciatic hernia with gangrene} moon's molar teeth,196942009 | Sciatic hernia with gangrene (disorder),Positive,Confirmed,No laterality
liver calculus {p melanodermatitis toxica lichenoides} acquired acantholytic dermatosis,15488007 | Melanodermatitis toxica lichenoides (disorder),Positive,Confirmed,No laterality
diagnosis {p lipoma of jejunum},447952002 | Lipoma of jejunum (disorder),Positive,Confirmed,No laterality
congenital pes cavus {p cholesteatoma of middle ear} disorder of endocrine ovary,87688009 | Cholesteatoma of middle ear (disorder),Positive,Confirmed,No laterality
problem list {p intraocular leiomyoma},419498005 | Intraocular leiomyoma (disorder),Positive,Confirmed,No laterality
toxic urticated erythema {p intentional carbimazole overdose} intentional ibuprofen poisoning,296834008 | Intentional carbimazole overdose (disorder),Positive,Confirmed,No laterality
female digestive-genital tract fistula {p chronic primary visceral pain} deep stab wound,762589002 | Chronic primary visceral pain (disorder),Positive,Confirmed,No laterality
cellulitis of spermatic cord {p right dominant coronary system} invasive haemophilus influenzae disease,253728007 | Right dominant coronary system (disorder),Positive,Confirmed,No laterality
intentional fludarabine poisoning {p paracolostomy hernia} cribriform hymen,236049004 | Paracolostomy hernia (disorder),Positive,Confirmed,No laterality
leukemic infiltration of skin {p inferior mesenteric artery embolus} phoneme-grapheme conversion deficit,297140006 | Inferior mesenteric artery embolus (disorder),Positive,Confirmed,No laterality
accidental antileprotic drug poisoning {p alcoholic polyneuropathy} radiation damage to artery,7916009 | Alcoholic polyneuropathy (disorder),Positive,Confirmed,No laterality
"citrullinemia, neonatal type {p rupture of skeletal muscle} long face syndrome",128494003 | Rupture of skeletal muscle (disorder),Positive,Confirmed,No laterality
hydroureteronephrosis {p paranoid-hallucinatory epileptic psychosis} lipomatosis circumscripta,278852008 | Paranoid-hallucinatory epileptic psychosis (disorder),Positive,Confirmed,No laterality
"psychogenic diarrhea {p migraine variants, not intractable} spinocerebellar ataxia type 31","424699007 | Migraine variants, not intractable (disorder)",Positive,Confirmed,No laterality
"major partial trisomy {p degloving injury foot, plantar} idiopathic polyarthritis","210721003 | Degloving injury foot, plantar (disorder)",Positive,Confirmed,No laterality
diagnosis {p benign teratoma of testis},447799001 | Benign teratoma of testis (disorder),Positive,Confirmed,No laterality
problems {p segmental hyalinizing vasculitis},56780006 | Segmental hyalinizing vasculitis (disorder),Positive,Confirmed,No laterality
deficiency of glutathione synthase {p nevus comedonicus} talipes calcaneovarus,35962006 | Nevus comedonicus (disorder),Positive,Confirmed,No laterality
early-onset lafora body disease {p epidermal burn of ear} multiple retinal breaks,9269007 | Epidermal burn of ear (disorder),Positive,Confirmed,No laterality
filgrastim adverse reaction {p localized cutaneous leishmaniasis} congenital diverticulum of trachea,735738004 | Localized cutaneous leishmaniasis (disorder),Positive,Confirmed,No laterality
bent bone dysplasia group {p hemodialysis-associated pseudoporphyria} palmar papilloma of yaws,403732009 | Hemodialysis-associated pseudoporphyria (disorder),Positive,Confirmed,No laterality
eisenmenger's syndrome {p mottling of enamel} thrombosis of aorta,76719002 | Mottling of enamel (disorder),Positive,Confirmed,No laterality
chromhidrosis {p fetal methyl mercury syndrome} estrogen receptor positive tumor,62110005 | Fetal methyl mercury syndrome (disorder),Positive,Confirmed,No laterality
tampon retained in vagina {p gonadotropin releasing factor deficiency} non-infectious anterior uveitis,422240004 | Gonadotropin releasing factor deficiency (disorder),Positive,Confirmed,No laterality
burn of right hand {p uveitis} puncture wound of genitalia,128473001 | Uveitis (disorder),Positive,Confirmed,No laterality
pretibial epidermolysis bullosa {p ganglion of elbow} lateral peroneal compartment syndrome,767183004 | Ganglion of elbow (disorder),Positive,Confirmed,No laterality
impression {p sewing needle in finger},283648001 | Sewing needle in finger (disorder),Positive,Confirmed,No laterality
cerebral amyloid angiopathy {p mild mood disorder} ataxic hemiparesis,36622002 | Mild mood disorder (disorder),Positive,Confirmed,No laterality
poisoning caused by cyclophosphamide {p fungal myocarditis} psoriatic dactylitis,233868005 | Fungal myocarditis (disorder),Positive,Confirmed,No laterality
discoid lupus erythematosus {p solitary cutaneous leiomyoma} disorder of gastrointestinal anastomosis,879956005 | Solitary cutaneous leiomyoma (disorder),Positive,Confirmed,No laterality
residual ovary syndrome {p rubella deafness} dimethindene adverse reaction,186570004 | Rubella deafness (disorder),Positive,Confirmed,No laterality
secondary hemorrhage postprocedure {p aqueduct of sylvius anomaly} ecthyma gangrenosum,25397008 | Aqueduct of Sylvius anomaly (disorder),Positive,Confirmed,No laterality
osteomyelitis of left femur {p environment related disease} varicella transverse myelitis,8504008 | Environment related disease (disorder),Positive,Confirmed,No laterality
ethosuximide overdose {p aseptic peritonitis} benign neoplasm of endocardium,213293008 | Aseptic peritonitis (disorder),Positive,Confirmed,No laterality
disorder of appendix {p lanolin contact dermatitis} oxedrine tartrate adverse reaction,238572001 | Lanolin contact dermatitis (disorder),Positive,Confirmed,No laterality
hemangioma of right choroid {p osteophyte of vertebra} disorder of trachea,316711000119106 | Osteophyte of vertebra (disorder),Positive,Confirmed,No laterality
"pulmonary stenosis, non-rheumatic {p tunga penetrans infestation} transection of carotid artery",64612002 | Tunga penetrans infestation (disorder),Positive,Confirmed,No laterality
ulcer of bile duct {p persistent hypersomnia} delta phalanx of finger,191999000 | Persistent hypersomnia (disorder),Positive,Confirmed,No laterality
laryngomalacia {p iodine acne} gemignani syndrome,201217006 | Iodine acne (disorder),Positive,Confirmed,No laterality
neoplasm of endolymphatic sac {p crushing injury of elbow} perinatal respiratory failure,5450005 | Crushing injury of elbow (disorder),Positive,Confirmed,No laterality
imp {p corticosteroid 11-reductase deficiency},237771009 | Corticosteroid 11-reductase deficiency (disorder),Positive,Confirmed,No laterality
pathological fractures - multiple {p hyperoxaluria} acer rubrum poisoning,367621000119107 | Hyperoxaluria (disorder),Positive,Confirmed,No laterality
congenital retinoschisis {p recurrent hematuria} primary thymic carcinoma,281860005 | Recurrent hematuria (disorder),Positive,Confirmed,No laterality
synthetic cathinone withdrawal {p rubella retinopathy} contusion of bilateral lungs,231985001 | Rubella retinopathy (disorder),Positive,Confirmed,No laterality
microscopic hematuria {p broncholithiasis} toxic amblyopia,69921001 | Broncholithiasis (disorder),Positive,Confirmed,No laterality
deficiency of thetin-homocysteine methyltransferase {p tuberculosis of myocardium} atrophy of nasal turbinates,47292005 | Tuberculosis of myocardium (disorder),Positive,Confirmed,No laterality
impression {p sacral dysgenesis},253189008 | Sacral dysgenesis (disorder),Positive,Confirmed,No laterality
carmustine overdose {p congenital aniridia} oxatomide adverse reaction,69278003 | Congenital aniridia (disorder),Positive,Confirmed,No laterality
pulmonary edema {p mequitazine adverse reaction} listeria abortion,292578005 | Mequitazine adverse reaction (disorder),Positive,Confirmed,No laterality
panhypophysitis {p neonatal transient hypochloremia} chronic right-sided heart failure,16914911000119107 | Neonatal transient hypochloremia (disorder),Positive,Confirmed,No laterality
adrenal cortical adenoma {p drug-induced personality disorder} cannabis overdose,191496002 | Drug-induced personality disorder (disorder),Positive,Confirmed,No laterality
social phobia {p hypoglycemia} corneal graft astigmatism,302866003 | Hypoglycemia (disorder),Positive,Confirmed,No laterality
vitreous hemorrhage {p fish tank granuloma} perinatal intestinal obstruction,240417004 | Fish tank granuloma (disorder),Positive,Confirmed,No laterality
hypothyroxinemia of prematurity {p poisoning caused by psilocybin} factitious lymphedema,81270000 | Poisoning caused by psilocybin (disorder),Positive,Confirmed,No laterality
congenital anomaly of tibia {p tubercular lesion of lung} small cell carcinoma,770674007 | Tubercular lesion of lung (disorder),Positive,Confirmed,No laterality
toxic labyrinthitis {p scab of skin} x-linked creatine deficiency,409589004 | Scab of skin (disorder),Positive,Confirmed,No laterality
granulomatous amebic encephalitis {p cefuroxime adverse reaction} pepsin poisoning,293004005 | Cefuroxime adverse reaction (disorder),Positive,Confirmed,No laterality
congenital atresia of nares {p tilted optic disc} injury of trunk,230504002 | Tilted optic disc (disorder),Positive,Confirmed,No laterality
neoplasm of right kidney {p multiple myeloma in remission} menstrual epilepsy,94704006 | Multiple myeloma in remission (disorder),Positive,Confirmed,No laterality
left atrial abnormality {p furuncle} enanthematous infectious disease,416675009 | Furuncle (disorder),Positive,Confirmed,No laterality
kalmia species poisoning {p post-atrophic hyperplasia of prostate} inflammatory esophagogastric polyp,783151003 | Post-atrophic hyperplasia of prostate (disorder),Positive,Confirmed,No laterality
dx {p disorder of psychological development},192562009 | Disorder of psychological development (disorder),Positive,Confirmed,No laterality
seal finger {p sciatica} myopia of left eye,23056005 | Sciatica (disorder),Positive,Confirmed,No laterality
gastroesophagitis {p hereditary diffuse melanosis} bursitis of right hip,402778009 | Hereditary diffuse melanosis (disorder),Positive,Confirmed,No laterality
sclerosing glomerulonephritis {p laceration of oropharynx} deficiency of l-lactate dehydrogenase,262665008 | Laceration of oropharynx (disorder),Positive,Confirmed,No laterality
compression of transplanted artery {p multiple injuries of ankle} dysplasia of cementum,735900007 | Multiple injuries of ankle (disorder),Positive,Confirmed,No laterality
complement receptor deficiency {p midabdominal abscess} adhesion of abdominal wall,79560005 | Midabdominal abscess (disorder),Positive,Confirmed,No laterality
occupational injury {p illegal abortion with salpingo-oophoritis} stenosis of urinary meatus,8670007 | Illegal abortion with salpingo-oophoritis (disorder),Positive,Confirmed,No laterality
intentional trichloroethylene overdose {p bowenoid papulosis} doxazosin adverse reaction,402913004 | Bowenoid papulosis (disorder),Positive,Confirmed,No laterality
peripheral/cerebral vasodilator poisoning {p permanent vegetative state} betel deposit on teeth,723151005 | Permanent vegetative state (disorder),Positive,Confirmed,No laterality
ataxic cerebral palsy {p idiopathic atrophic hypothyroidism} chronic hepatic failure,83664006 | Idiopathic atrophic hypothyroidism (disorder),Positive,Confirmed,No laterality
dx {p brainstem myoclonus},698738000 | Brainstem myoclonus (disorder),Positive,Confirmed,No laterality
mild depression {p carcinoma of glans penis} disorder of sclera,254904008 | Carcinoma of glans penis (disorder),Positive,Confirmed,No laterality
injury whilst bathing {p accidental estrogen overdose} emotional behavioural difficulties,296906000 | Accidental estrogen overdose (disorder),Positive,Confirmed,No laterality
accidental melphalan poisoning {p boil of upper limb} uncomplicated ptosis,267772007 | Boil of upper limb (disorder),Positive,Confirmed,No laterality
paraquat toxicity {p adhesion of diaphragm} hemopericardium,81445002 | Adhesion of diaphragm (disorder),Positive,Confirmed,No laterality
occipital extradural hematoma {p non-steroidal anti-inflammatory overdose} pentostatin adverse reaction,295217003 | Non-steroidal anti-inflammatory overdose (disorder),Positive,Confirmed,No laterality
"angiodysplasia of small intestine {p candida ureteritis} open injury, subclavian artery",236600007 | Candida ureteritis (disorder),Positive,Confirmed,No laterality
arteritis {p exacerbation of non-infective colitis} infection of cartilage graft,414155001 | Exacerbation of non-infective colitis (disorder),Positive,Confirmed,No laterality
antihypertensive adverse reaction {p o'nyong-nyong fever} complication of transplanted liver,85579005 | O'nyong-nyong fever (disorder),Positive,Confirmed,No laterality
paget's disease-fibula {p infected diverticulum of bladder} carotid artery rupture,275410008 | Infected diverticulum of bladder (disorder),Positive,Confirmed,No laterality
uukuniemi fever {p oral melanoplakia} hypotrichosis following infectious disease,266430000 | Oral melanoplakia (disorder),Positive,Confirmed,No laterality
encephalitis caused by actinomyces {p secondary angle closure} poisoning caused by benzene,1111531000000103 | Secondary angle closure (disorder),Positive,Confirmed,No laterality
longitudinal deficiency of tibia {p complete avulsion of tooth} trifolium subterraneum poisoning,109671008 | Complete avulsion of tooth (disorder),Positive,Confirmed,No laterality
siti {p podophyllotoxin adverse reaction} chancriform pyoderma,292641001 | Podophyllotoxin adverse reaction (disorder),Positive,Confirmed,No laterality
acute follicular conjunctivitis {p agenesis of nasolacrimal duct} brachyphalangia,253219005 | Agenesis of nasolacrimal duct (disorder),Positive,Confirmed,No laterality
epispadias {p multiple premature ventricular complexes} stroke in the puerperium,251176006 | Multiple premature ventricular complexes (disorder),Positive,Confirmed,No laterality
impression {p allopurinol overdose},296480000 | Allopurinol overdose (disorder),Positive,Confirmed,No laterality
acute focal nephritis {p critical illness myopathy} recurrent cutaneous leishmaniasis,443819006 | Critical illness myopathy (disorder),Positive,Confirmed,No laterality
methacholine adverse reaction {p talipes of bilateral feet} transection of urinary conduit,15669721000119100 | Talipes of bilateral feet (disorder),Positive,Confirmed,Bilateral
neoplasm of trapezoid bone {p carcinoma of hard palate} marfan's syndrome affecting skin,254434008 | Carcinoma of hard palate (disorder),Positive,Confirmed,No laterality
problems {p left atrial appendage aneurysm},253358003 | Left atrial appendage aneurysm (disorder),Positive,Confirmed,No laterality
internal hydrocephalus {p traumatic dislocation of joint} rupture of transplanted vein,129156001 | Traumatic dislocation of joint (disorder),Positive,Confirmed,No laterality
non-aneurysmal perimesencephalic subarachnoid hemorrhage {p cefuroxime adverse reaction} deficiency of aspartic proteinase,293004005 | Cefuroxime adverse reaction (disorder),Positive,Confirmed,No laterality
post-atrophic hyperplasia of prostate {p acute disorder of hemodialysis} alfentanil adverse reaction,236538004 | Acute disorder of hemodialysis (disorder),Positive,Confirmed,No laterality
abnormal dark adaptation curve {p irritated basal cell papilloma} refractory ascites,254668006 | Irritated basal cell papilloma (disorder),Positive,Confirmed,No laterality
chronic dentine dental caries {p arisaema triphyllum poisoning} secondary erythromelalgia,32271000 | Arisaema triphyllum poisoning (disorder),Positive,Confirmed,No laterality
postsurgical chorioretinal scar {p familial hyperaldosteronism} congenital thickening of ulna,703231005 | Familial hyperaldosteronism (disorder),Positive,Confirmed,No laterality
uranostaphyloschisis with cleft lip {p animal bite of mouth} acne detergicans,283799003 | Animal bite of mouth (disorder),Positive,Confirmed,No laterality
spheroid body myopathy {p dissociative disorder in remission} dermoid cyst of cornea,698952009 | Dissociative disorder in remission (disorder),Positive,Confirmed,No laterality
human bite - wound {p idiopathic syringomyelia} intentional thiouracil overdose,725001004 | Idiopathic syringomyelia (disorder),Positive,Confirmed,No laterality
bursitis of upper limb {p laser-induced dyspigmentation} zopiclone poisoning,403697005 | Laser-induced dyspigmentation (disorder),Positive,Confirmed,No laterality
congenital fistula of lip {p disorder of palatine bone} contusion of mandibular vestibule,128226005 | Disorder of palatine bone (disorder),Positive,Confirmed,No laterality
dent disease type 1 {p secondary diabetes mellitus} velopharyngeal incompetence,8801005 | Secondary diabetes mellitus (disorder),Positive,Confirmed,No laterality
deposit in bilateral corneas {p intentional zuclopenthixol poisoning} deicer causing toxic effect,291221000 | Intentional zuclopenthixol poisoning (disorder),Positive,Confirmed,No laterality
tuberculosis verrucosa cutis {p myosin storage myopathy} scoliosis of thoracic spine,699267007 | Myosin storage myopathy (disorder),Positive,Confirmed,No laterality
alpha-beta thalassemia {p perioperative hematoma} intentional pethidine poisoning,762958007 | Perioperative hematoma (disorder),Positive,Confirmed,No laterality
desmiognathus {p hereditary angioedema} pedunculated conjunctival papilloma,82966003 | Hereditary angioedema (disorder),Positive,Confirmed,No laterality
radiational injury to conjunctiva {p invasive streptococcus pneumoniae disease} noma neonatorum,406617004 | Invasive Streptococcus pneumoniae disease (disorder),Positive,Confirmed,No laterality
imp {p plane basal cell papilloma},403862005 | Plane basal cell papilloma (disorder),Positive,Confirmed,No laterality
callosity {p deep mammalian bite wound} intentional diphenylpyraline overdose,262569007 | Deep mammalian bite wound (disorder),Positive,Confirmed,No laterality
overdose of analgesic drug {p ataxia telangiectasia variant} neoplasm of sacroiliac joint,763065008 | Ataxia telangiectasia variant (disorder),Positive,Confirmed,No laterality
nevus sanguineous {p glycinuria} lupinus digitatus poisoning,236477004 | Glycinuria (disorder),Positive,Confirmed,No laterality
thyroglossal duct anomaly {p chronic salpingo-oophoritis} monoclonal gammopathy,198142001 | Chronic salpingo-oophoritis (disorder),Positive,Confirmed,No laterality
obstructed umbilical hernia {p peripheral motor neuropathy} triclosan adverse reaction,95663000 | Peripheral motor neuropathy (disorder),Positive,Confirmed,No laterality
sporotrichosis {p chronic granular pharyngitis} dysembryoplastic neuroepithelial tumor,2365002 | Chronic granular pharyngitis (disorder),Positive,Confirmed,No laterality
tuberculous ulceration of vulva {p esophagitis grade iv} neoplasm of mesentery,413228005 | Esophagitis grade IV (disorder),Positive,Confirmed,No laterality
carcinoma of anal canal {p autosomal recessive brachyolmia} neoplasm of adenoid,783789002 | Autosomal recessive brachyolmia (disorder),Positive,Confirmed,No laterality
pseudoxanthoma elasticum {p deficiency of glucosamine-6-phosphate isomerase} acquired coagulation factor deficiency,124670000 | Deficiency of glucosamine-6-phosphate isomerase (disorder),Positive,Confirmed,No laterality
"mucopolysaccharidosis iv-a {p degloving injury hand, dorsum} colostomy and enterostomy malfunction","210573000 | Degloving injury hand, dorsum (disorder)",Positive,Confirmed,No laterality
mucopolysaccharidosis type vii {p injury of mandible} epstein syndrome,427782005 | Injury of mandible (disorder),Positive,Confirmed,No laterality
adverse reaction to glycol {p colostomy prolapse} accidental poisoning from shellfish,297189001 | Colostomy prolapse (disorder),Positive,Confirmed,No laterality
infection caused by hypodereum {p craniopagus} dislocation of shoulder joint,74516008 | Craniopagus (disorder),Positive,Confirmed,No laterality
uveitis due to leptospirosis {p congenital obstructive azoospermia} intraoperative floppy iris syndrome,236807008 | Congenital obstructive azoospermia (disorder),Positive,Confirmed,No laterality
rosaceal flushing {p chronic diffuse mucocutaneous candidiasis} chondrosarcoma of vertebral column,240719002 | Chronic diffuse mucocutaneous candidiasis (disorder),Positive,Confirmed,No laterality
