text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
{p neuroleptic-induced acute dystonia} recovered,83465002 | Neuroleptic-induced acute dystonia (disorder),Historic,Confirmed,No laterality
several {p hepatitis in yellow fever},197342009 | Hepatitis in yellow fever (disorder),Historic,Confirmed,No laterality
{p pancarditis} when age 20,62185008 | Pancarditis (disorder),Historic,Confirmed,No laterality
prev {p paroxysmal ocular dyskinesia},77436004 | Paroxysmal ocular dyskinesia (disorder),Historic,Confirmed,No laterality
freq {p acute lymphangitis of finger},10630511000119108 | Acute lymphangitis of finger (disorder),Historic,Confirmed,No laterality
{p transient visual loss} in the past,36994005 | Transient visual loss (disorder),Historic,Confirmed,No laterality
1 prev {p acute nervous system disorder},127341005 | Acute nervous system disorder (disorder),Historic,Confirmed,No laterality
not had {p anomaly of placenta},33552005 | Anomaly of placenta (disorder),Historic,Negated,No laterality
{p small intestinal stasis syndrome} in the past,62198004 | Small intestinal stasis syndrome (disorder),Historic,Confirmed,No laterality
{p edema of lower eyelid} last 6 months,700327003 | Edema of lower eyelid (disorder),Historic,Confirmed,No laterality
3 prev {p diarrhea-negative hemolytic uremic syndrome},373422007 | Diarrhea-negative hemolytic uremic syndrome (disorder),Historic,Confirmed,No laterality
personal history {p alstrom syndrome},63702009 | Alstrom syndrome (disorder),Historic,Confirmed,No laterality
3 previous {p tendinitis of bilateral hips},15674961000119103 | Tendinitis of bilateral hips (disorder),Historic,Confirmed,Bilateral
1 prev {p severe acute respiratory infection},707224005 | Severe acute respiratory infection (disorder),Historic,Confirmed,No laterality
{p acute-on-chronic hypercapnic respiratory failure} recovered,7361000175106 | Acute-on-chronic hypercapnic respiratory failure (disorder),Historic,Confirmed,No laterality
{p excessive sexual drive} in the past,268724009 | Excessive sexual drive (disorder),Historic,Confirmed,No laterality
prev hx of {p acute hematoma of pinna},302906000 | Acute hematoma of pinna (disorder),Historic,Confirmed,No laterality
{p acute cholangiohepatitis} recovered,370490006 | Acute cholangiohepatitis (disorder),Historic,Confirmed,No laterality
not had {p madarosis of eyelid},34887006 | Madarosis of eyelid (disorder),Historic,Negated,No laterality
no ph of {p superficial injury of genitalia},283038004 | Superficial injury of genitalia (disorder),Historic,Negated,No laterality
several {p acute congestive heart failure},10633002 | Acute congestive heart failure (disorder),Historic,Confirmed,No laterality
{p familial expansile osteolysis} few yr previously,254153009 | Familial expansile osteolysis (disorder),Historic,Confirmed,No laterality
never had {p pustular acne},59172008 | Pustular acne (disorder),Historic,Negated,No laterality
{p developmental motor speech disorder} at aged 8,229700007 | Developmental motor speech disorder (disorder),Historic,Confirmed,No laterality
{p deltoid tendinitis} recovered,300947009 | Deltoid tendinitis (disorder),Historic,Confirmed,No laterality
no pmh of {p nephronophthisis type 6},447335007 | Nephronophthisis type 6 (disorder),Historic,Negated,No laterality
{p disorder of endocrine gonad} last 5 mths,127345001 | Disorder of endocrine gonad (disorder),Historic,Confirmed,No laterality
{p q fever aseptic meningitis} from 13 yr o,409555000 | Q fever aseptic meningitis (disorder),Historic,Confirmed,No laterality
{p abuse of synthetic cathinone} few years back,762504005 | Abuse of synthetic cathinone (disorder),Historic,Confirmed,No laterality
{p injury of rectum} some time back,125635006 | Injury of rectum (disorder),Historic,Confirmed,No laterality
no past hx of {p disorder of orbit proper},371436007 | Disorder of orbit proper (disorder),Historic,Negated,No laterality
not had {p hematoma of trachea},282456003 | Hematoma of trachea (disorder),Historic,Negated,No laterality
3 previous {p cushing ulcer of esophagus},738792004 | Cushing ulcer of esophagus (disorder),Historic,Confirmed,No laterality
3 previous {p acute widespread myocardial infarction},233835003 | Acute widespread myocardial infarction (disorder),Historic,Confirmed,No laterality
personal hist {p cricoarytenoid joint arthritis},307500008 | Cricoarytenoid joint arthritis (disorder),Historic,Confirmed,No laterality
no pers hx {p hypophosphatemia},4996001 | Hypophosphatemia (disorder),Historic,Negated,No laterality
4 previous {p fulminant amebic colitis},235748008 | Fulminant amebic colitis (disorder),Historic,Confirmed,No laterality
{p peptic ulcer with obstruction} previously,786068005 | Peptic ulcer with obstruction (disorder),Historic,Confirmed,No laterality
{p acute lymphadenitis} prev,41174002 | Acute lymphadenitis (disorder),Historic,Confirmed,No laterality
{p psychogenic urticaria} in the past,63990000 | Psychogenic urticaria (disorder),Historic,Confirmed,No laterality
no pers hist {p intentional primaquine overdose},296563001 | Intentional primaquine overdose (disorder),Historic,Negated,No laterality
{p transitory deafness} recovered,878795009 | Transitory deafness (disorder),Historic,Confirmed,No laterality
previous hx {p furuncle of left hand},10627591000119102 | Furuncle of left hand (disorder),Historic,Confirmed,Left
{p wood splinter under fingernail} last 9 mths,283295005 | Wood splinter under fingernail (disorder),Historic,Confirmed,No laterality
previous {p penetrating wound of lung},282726006 | Penetrating wound of lung (disorder),Historic,Confirmed,No laterality
{p pregnancy-related factor viii deficiency} prev,307517001 | Pregnancy-related factor VIII deficiency (disorder),Historic,Confirmed,No laterality
{p holiday heart syndrome} some time ago,959281000000105 | Holiday heart syndrome (disorder),Historic,Confirmed,No laterality
no prev hx {p intentional oxyphenbutazone poisoning},290290002 | Intentional oxyphenbutazone poisoning (disorder),Historic,Negated,No laterality
no hist of {p postpartum psychosis in remission},60401000119104 | Postpartum psychosis in remission (disorder),Historic,Negated,No laterality
never had {p necrobiotic xanthogranuloma},404164003 | Necrobiotic xanthogranuloma (disorder),Historic,Negated,No laterality
{p keratitis caused by infection} last 8 mths,733312003 | Keratitis caused by infection (disorder),Historic,Confirmed,No laterality
previously {p acute postoperative renal failure},438783006 | Acute postoperative renal failure (disorder),Historic,Confirmed,No laterality
past medical hist of {p furuncle of hand},10453005 | Furuncle of hand (disorder),Historic,Confirmed,No laterality
prev hist {p maccallum's patch},83014000 | MacCallum's patch (disorder),Historic,Confirmed,No laterality
1 previous {p acute contact otitis externa},18953001 | Acute contact otitis externa (disorder),Historic,Confirmed,No laterality
{p congenital hypoplasia of fibula} last 1 months,93256009 | Congenital hypoplasia of fibula (disorder),Historic,Confirmed,No laterality
no pmh of {p tetrasomy 21},764690001 | Tetrasomy 21 (disorder),Historic,Negated,No laterality
{p disease caused by orthoreovirus} while 32 yrs of age,414016004 | Disease caused by Orthoreovirus (disorder),Historic,Confirmed,No laterality
no past hx {p gossypium species poisoning},39248001 | Gossypium species poisoning (disorder),Historic,Negated,No laterality
{p pallidonigrospinal degeneration} few years ago,89576007 | Pallidonigrospinal degeneration (disorder),Historic,Confirmed,No laterality
prev hx {p congenital hypoplasia of lung},80825009 | Congenital hypoplasia of lung (disorder),Historic,Confirmed,No laterality
{p retromammary breast abscess} at aged 16,198107000 | Retromammary breast abscess (disorder),Historic,Confirmed,No laterality
previously {p acute lymphangitis of head},128281003 | Acute lymphangitis of head (disorder),Historic,Confirmed,No laterality
previously {p acute diastolic heart failure},443343001 | Acute diastolic heart failure (disorder),Historic,Confirmed,No laterality
previous hx {p abscess of left eyelid},347691000119102 | Abscess of left eyelid (disorder),Historic,Confirmed,Left
{p cervical myelocystocele} while 10 yr old,203996001 | Cervical myelocystocele (disorder),Historic,Confirmed,No laterality
{p oculocutaneous albinism type 6} some time ago,722058005 | Oculocutaneous albinism type 6 (disorder),Historic,Confirmed,No laterality
{p duodenal hematoma} few years back,262843005 | Duodenal hematoma (disorder),Historic,Confirmed,No laterality
{p localized cutaneous erysipeloid} recovered,240395005 | Localized cutaneous erysipeloid (disorder),Historic,Confirmed,No laterality
{p longitudinal melanonychia} a few years previously,707196007 | Longitudinal melanonychia (disorder),Historic,Confirmed,No laterality
{p deep laceration of ankle} when aged 38,446360001 | Deep laceration of ankle (disorder),Historic,Confirmed,No laterality
not had {p foramen of magendie atresia},204061006 | Foramen of Magendie atresia (disorder),Historic,Negated,No laterality
no pmh of {p drug-induced tic},230334008 | Drug-induced tic (disorder),Historic,Negated,No laterality
1 prev {p acute suppurative thyroiditis},25476006 | Acute suppurative thyroiditis (disorder),Historic,Confirmed,No laterality
{p atrophic senile gingivitis} prev,91949000 | Atrophic senile gingivitis (disorder),Historic,Confirmed,No laterality
{p oligomeganephronic hypoplasia of kidney} from aged 9,18417009 | Oligomeganephronic hypoplasia of kidney (disorder),Historic,Confirmed,No laterality
{p neoplasm of vulva} previously,126922007 | Neoplasm of vulva (disorder),Historic,Confirmed,No laterality
pers hx {p acute sciatica},307176005 | Acute sciatica (disorder),Historic,Confirmed,No laterality
{p ventricular hypertrophy} last 4 months,266249003 | Ventricular hypertrophy (disorder),Historic,Confirmed,No laterality
previous {p acute lymphangitis of umbilicus},3038009 | Acute lymphangitis of umbilicus (disorder),Historic,Confirmed,No laterality
no history {p post-surgical hypoinsulinemia},190437000 | Post-surgical hypoinsulinemia (disorder),Historic,Negated,No laterality
past medical hist {p injury of uterine vein},64042000 | Injury of uterine vein (disorder),Historic,Confirmed,No laterality
{p wound of toenail} some time previously,275461003 | Wound of toenail (disorder),Historic,Confirmed,No laterality
not had {p thogoto virus disease},51638003 | Thogoto virus disease (disorder),Historic,Negated,No laterality
personal hx of {p closed subluxation atlantoaxial joint},209137004 | Closed subluxation atlantoaxial joint (disorder),Historic,Confirmed,No laterality
2 prev {p acute posterior myocardial infarction},233838001 | Acute posterior myocardial infarction (disorder),Historic,Confirmed,No laterality
{p cutaneous pseudolymphoma} last 8 mths,128862000 | Cutaneous pseudolymphoma (disorder),Historic,Confirmed,No laterality
no past hist {p human immunodeficiency virus encephalitis},398329009 | Human immunodeficiency virus encephalitis (disorder),Historic,Negated,No laterality
{p wood splinter in elbow} last 9 mth,283286002 | Wood splinter in elbow (disorder),Historic,Confirmed,No laterality
4 previous {p acute osteomyelitis of metatarsal},203177001 | Acute osteomyelitis of metatarsal (disorder),Historic,Confirmed,No laterality
{p tendinitis of right forearm} recovered,12241231000119104 | Tendinitis of right forearm (disorder),Historic,Confirmed,Right
{p xiphoid cartilage sprain} at 53 y of age,209808000 | Xiphoid cartilage sprain (disorder),Historic,Confirmed,No laterality
"{p abrasion, shoulder area} while age 66","211189001 | Abrasion, shoulder area (disorder)",Historic,Confirmed,No laterality
no past history {p mucopolysaccharidosis type i},75610003 | Mucopolysaccharidosis type I (disorder),Historic,Negated,No laterality
{p acute amebiasis} recovered,39224005 | Acute amebiasis (disorder),Historic,Confirmed,No laterality
pers history of {p distal monosomy 10p},719686003 | Distal monosomy 10p (disorder),Historic,Confirmed,No laterality
not had {p cholelithiasis with obstruction},77528005 | Cholelithiasis with obstruction (disorder),Historic,Negated,No laterality
no previous history {p congenital stricture of artery},60091004 | Congenital stricture of artery (disorder),Historic,Negated,No laterality
3 prev {p acute viral bronchitis},233601004 | Acute viral bronchitis (disorder),Historic,Confirmed,No laterality
{p blind right eye} prev,274572000 | Blind right eye (disorder),Historic,Confirmed,No laterality
{p partial frontal lobe epilepsy} previously,14401000119109 | Partial frontal lobe epilepsy (disorder),Historic,Confirmed,No laterality
{p diazepam dependence} prev,231474005 | Diazepam dependence (disorder),Historic,Confirmed,No laterality
several {p acute ulcerative rectosigmoiditis},453720571000119100 | Acute ulcerative rectosigmoiditis (disorder),Historic,Confirmed,No laterality
{p nipple discharge present} until aged 63,162166009 | Nipple discharge present (disorder),Historic,Confirmed,No laterality
no ph of {p infection caused by strigea},80277008 | Infection caused by Strigea (disorder),Historic,Negated,No laterality
{p accidental carbenoxolone overdose} previously,295381009 | Accidental carbenoxolone overdose (disorder),Historic,Confirmed,No laterality
4 previous {p acute appendicitis},85189001 | Acute appendicitis (disorder),Historic,Confirmed,No laterality
no past hx {p loculation syndrome},24956004 | Loculation syndrome (disorder),Historic,Negated,No laterality
{p arbovirus hemorrhagic fever} recovered,16766000 | Arbovirus hemorrhagic fever (disorder),Historic,Confirmed,No laterality
no ph of {p procarbazine adverse reaction},292240009 | Procarbazine adverse reaction (disorder),Historic,Negated,No laterality
no ph of {p indian zoonotic cutaneous leishmaniasis},240643008 | Indian zoonotic cutaneous leishmaniasis (disorder),Historic,Negated,No laterality
{p lupus erythematosus chronicus} at 26 yr o,200937007 | Lupus erythematosus chronicus (disorder),Historic,Confirmed,No laterality
no pmh of {p glutathionemia},47906008 | Glutathionemia (disorder),Historic,Negated,No laterality
{p myotonia acquisita} upto aged 10,85034001 | Myotonia acquisita (disorder),Historic,Confirmed,No laterality
had {p localized slight acute periodontitis},715843008 | Localized slight acute periodontitis (disorder),Historic,Confirmed,No laterality
{p choroidal effusion} when age 47,232000008 | Choroidal effusion (disorder),Historic,Confirmed,No laterality
no history {p cellulitis of left knee},10633271000119108 | Cellulitis of left knee (disorder),Historic,Negated,Left
{p tendinitis} recovered,34840004 | Tendinitis (disorder),Historic,Confirmed,No laterality
prev {p sweet's disease following infection},403216007 | Sweet's disease following infection (disorder),Historic,Confirmed,No laterality
no prev hx {p bell's palsy},193093009 | Bell's palsy (disorder),Historic,Negated,No laterality
past medical hist {p fracture of maxillary tuberosity},263160009 | Fracture of maxillary tuberosity (disorder),Historic,Confirmed,No laterality
4 previous {p stokes-adams attack},271547004 | Stokes-Adams attack (disorder),Historic,Confirmed,No laterality
{p pruritus of pregnancy} at aged 31,239102001 | Pruritus of pregnancy (disorder),Historic,Confirmed,No laterality
{p esophageal bleeding} upto 39 y o,15238002 | Esophageal bleeding (disorder),Historic,Confirmed,No laterality
{p candidal otitis externa} from age 33,16681000 | Candidal otitis externa (disorder),Historic,Confirmed,No laterality
no pmh of {p laceration of left forearm},10960321000119104 | Laceration of left forearm (disorder),Historic,Negated,Left
past medical history {p abscess of appendix},62224002 | Abscess of appendix (disorder),Historic,Confirmed,No laterality
{p acute lymphangitis of thigh} recovered,3059002 | Acute lymphangitis of thigh (disorder),Historic,Confirmed,No laterality
{p injury of submandibular ganglion} upto age 35,282801005 | Injury of submandibular ganglion (disorder),Historic,Confirmed,No laterality
prev hx {p finger wrinkling},238532005 | Finger wrinkling (disorder),Historic,Confirmed,No laterality
no personal hist {p parkinsonism following infection},722558002 | Parkinsonism following infection (disorder),Historic,Negated,No laterality
{p sporadic porphyria cutanea tarda} last 10 mth,402479002 | Sporadic porphyria cutanea tarda (disorder),Historic,Confirmed,No laterality
pers hx of {p mucocele of maxillary sinus},14110001000004108 | Mucocele of maxillary sinus (disorder),Historic,Confirmed,No laterality
no past hx {p mastitis of mumps},237443002 | Mastitis of mumps (disorder),Historic,Negated,No laterality
{p acute viral tonsillitis} recovered,195676005 | Acute viral tonsillitis (disorder),Historic,Confirmed,No laterality
pers hist of {p gas gangrene of neck},186414001 | Gas gangrene of neck (disorder),Historic,Confirmed,No laterality
2 prev {p acute serositis},702691009 | Acute serositis (disorder),Historic,Confirmed,No laterality
{p dog bite of elbow} some time ago,283751003 | Dog bite of elbow (disorder),Historic,Confirmed,No laterality
no past hx {p hypocupremia},19577007 | Hypocupremia (disorder),Historic,Negated,No laterality
1 prev {p tendinitis of bilateral feet},15675401000119105 | Tendinitis of bilateral feet (disorder),Historic,Confirmed,Bilateral
{p pulmonary capillary hemangiomatosis} last 9 mths,233949008 | Pulmonary capillary hemangiomatosis (disorder),Historic,Confirmed,No laterality
"{p ventricular tachycardia, monomorphic} at age 70","251158004 | Ventricular tachycardia, monomorphic (disorder)",Historic,Confirmed,No laterality
{p inula graveolens poisoning} when 9 years old,39652006 | Inula graveolens poisoning (disorder),Historic,Confirmed,No laterality
{p trace effusion in knee} at age 44,250120006 | Trace effusion in knee (disorder),Historic,Confirmed,No laterality
{p acute myocarditis} recovered,46701001 | Acute myocarditis (disorder),Historic,Confirmed,No laterality
past history of {p duodenal ulcer with perforation},88968005 | Duodenal ulcer with perforation (disorder),Historic,Confirmed,No laterality
no previous hx {p lymecycline adverse reaction},293050008 | Lymecycline adverse reaction (disorder),Historic,Negated,No laterality
no personal hist {p cricoarytenoid joint fixation},307499004 | Cricoarytenoid joint fixation (disorder),Historic,Negated,No laterality
no pmh {p hematoma of right orbit},10860991000119107 | Hematoma of right orbit (disorder),Historic,Negated,Right
2 prev {p acute laryngitis},6655004 | Acute laryngitis (disorder),Historic,Confirmed,No laterality
prev hx {p retinal flecking},247138002 | Retinal flecking (disorder),Historic,Confirmed,No laterality
no pmh {p choroiditis of bilateral eyes},346871000119101 | Choroiditis of bilateral eyes (disorder),Historic,Negated,Bilateral
{p basilar artery embolism} last 3 months,111296006 | Basilar artery embolism (disorder),Historic,Confirmed,No laterality
no ph of {p accidental vitamin a poisoning},291922003 | Accidental vitamin A poisoning (disorder),Historic,Negated,No laterality
{p astragalus species poisoning} a few years ago,90143008 | Astragalus species poisoning (disorder),Historic,Confirmed,No laterality
frequent {p transient somatotropin deficiency},22306000 | Transient somatotropin deficiency (disorder),Historic,Confirmed,No laterality
pers history {p diagnostic agent overdose},295313001 | Diagnostic agent overdose (disorder),Historic,Confirmed,No laterality
{p accidental overdose by codeine} last 11 mth,295171003 | Accidental overdose by codeine (disorder),Historic,Confirmed,No laterality
no pmh of {p paroxysmal tachycardia},12026006 | Paroxysmal tachycardia (disorder),Historic,Negated,No laterality
recurrent {p timorian filarial fever},240832002 | Timorian filarial fever (disorder),Historic,Confirmed,No laterality
{p acute gonococcal cervicitis} recovered,20943002 | Acute gonococcal cervicitis (disorder),Historic,Confirmed,No laterality
{p enteritis caused by astrovirus} previously,1082731000119103 | Enteritis caused by Astrovirus (disorder),Historic,Confirmed,No laterality
{p color vision deficiency} last 3 mths,367469000 | Color vision deficiency (disorder),Historic,Confirmed,No laterality
no pers hist of {p ring dermoid of cornea},723499000 | Ring dermoid of cornea (disorder),Historic,Negated,No laterality
{p ingrowing fingernail (excluding thumb)} prev,201112007 | Ingrowing fingernail (excluding thumb) (disorder),Historic,Confirmed,No laterality
{p cholecystoduodenal fistula} last 12 mth,39170005 | Cholecystoduodenal fistula (disorder),Historic,Confirmed,No laterality
previously {p acute transmural myocardial infarction},1089471000000109 | Acute transmural myocardial infarction (disorder),Historic,Confirmed,No laterality
{p angiokeratoma circumscriptum} from age 24,21848000 | Angiokeratoma circumscriptum (disorder),Historic,Confirmed,No laterality
{p intentional tolmetin overdose} while 31 yrs o,295309008 | Intentional tolmetin overdose (disorder),Historic,Confirmed,No laterality
prev {p acute disease of orbit},128483002 | Acute disease of orbit (disorder),Historic,Confirmed,No laterality
no pmh of {p intentional diethyl ether overdose},1149412008 | Intentional diethyl ether overdose (disorder),Historic,Negated,No laterality
{p infection caused by spirometra} a few years prev,721827005 | Infection caused by Spirometra (disorder),Historic,Confirmed,No laterality
2 prev {p supraspinatus tendinitis},202841003 | Supraspinatus tendinitis (disorder),Historic,Confirmed,No laterality
no prev hist {p genetically determined myasthenia},230669004 | Genetically determined myasthenia (disorder),Historic,Negated,No laterality
prev {p idiopathic paroxysmal cold hemoglobinuria},62871001 | Idiopathic paroxysmal cold hemoglobinuria (disorder),Historic,Confirmed,No laterality
recurrent {p rapidly progressive glomerulonephritis},236392004 | Rapidly progressive glomerulonephritis (disorder),Historic,Confirmed,No laterality
{p ulcerated angiomatous nevus} while 45 yrs of age,403958000 | Ulcerated angiomatous nevus (disorder),Historic,Confirmed,No laterality
{p myxoid leiomyosarcoma of skin} a few years previously,404046008 | Myxoid leiomyosarcoma of skin (disorder),Historic,Confirmed,No laterality
{p laceration of right buttock} last 3 month,10904511000119107 | Laceration of right buttock (disorder),Historic,Confirmed,Right
recurrent {p acute recurrent cystitis},274109003 | Acute recurrent cystitis (disorder),Historic,Confirmed,No laterality
{p subacute arthropathy} when 68 years o,66822008 | Subacute arthropathy (disorder),Historic,Confirmed,No laterality
frequent {p maternal transfer neutropenia},80255009 | Maternal transfer neutropenia (disorder),Historic,Confirmed,No laterality
{p burn of wrist} last 1 months,3480002 | Burn of wrist (disorder),Historic,Confirmed,No laterality
{p neonatal infective mastitis} in the past,3468005 | Neonatal infective mastitis (disorder),Historic,Confirmed,No laterality
{p chronic pulpitis} prev,75037000 | Chronic pulpitis (disorder),Historic,Confirmed,No laterality
no ph of {p liquid paraffin adverse reaction},292786007 | Liquid paraffin adverse reaction (disorder),Historic,Negated,No laterality
past medical hist {p cocaine dependence in remission},191833002 | Cocaine dependence in remission (disorder),Historic,Confirmed,No laterality
no ph of {p disorder of transplanted heart},429257001 | Disorder of transplanted heart (disorder),Historic,Negated,No laterality
{p congenital iris ectropion} upto age 20,400965007 | Congenital iris ectropion (disorder),Historic,Confirmed,No laterality
{p acute on chronic sialoadenitis} recovered,702714007 | Acute on chronic sialoadenitis (disorder),Historic,Confirmed,No laterality
no hx {p eyelid nystagmus},733335000 | Eyelid nystagmus (disorder),Historic,Negated,No laterality
{p nonfatal submersion} until age 7,87970004 | Nonfatal submersion (disorder),Historic,Confirmed,No laterality
{p transient neonatal hypertyrosinemia} recovered,75387001 | Transient neonatal hypertyrosinemia (disorder),Historic,Confirmed,No laterality
{p acquired complex renal cyst} last 6 mths,98371000119102 | Acquired complex renal cyst (disorder),Historic,Confirmed,No laterality
had {p acute radiation proctitis},235761008 | Acute radiation proctitis (disorder),Historic,Confirmed,No laterality
1 prev {p acute zinc deficiency},16917007 | Acute zinc deficiency (disorder),Historic,Confirmed,No laterality
{p eggshell nail} when age 66,201117001 | Eggshell nail (disorder),Historic,Confirmed,No laterality
never had {p respiratory alkalosis},111378004 | Respiratory alkalosis (disorder),Historic,Negated,No laterality
{p hematoma of skin} upto aged 55,279420009 | Hematoma of skin (disorder),Historic,Confirmed,No laterality
no previous hx {p single umbilical artery},204470001 | Single umbilical artery (disorder),Historic,Negated,No laterality
no ph of {p factor v adverse reaction},770705004 | Factor V adverse reaction (disorder),Historic,Negated,No laterality
no history {p lipid keratopathy},231908001 | Lipid keratopathy (disorder),Historic,Negated,No laterality
{p lipoprotein glomerulopathy} last 5 mth,446923008 | Lipoprotein glomerulopathy (disorder),Historic,Confirmed,No laterality
no pmh of {p glossodynia},30731004 | Glossodynia (disorder),Historic,Negated,No laterality
no prev hx {p thyroglobulin synthesis defect},63127008 | Thyroglobulin synthesis defect (disorder),Historic,Negated,No laterality
{p keratoconjunctivitis of left eye} at aged 57,340191000119106 | Keratoconjunctivitis of left eye (disorder),Historic,Confirmed,Left
never had {p retroflexed uterus},41121007 | Retroflexed uterus (disorder),Historic,Negated,No laterality
"{p abrasion, interscapular} previously","211038003 | Abrasion, interscapular (disorder)",Historic,Confirmed,No laterality
{p secondary diastolic hypertension} previously,74451002 | Secondary diastolic hypertension (disorder),Historic,Confirmed,No laterality
no prev hist of {p drug-induced coagulation inhibitor disorder},16773005 | Drug-induced coagulation inhibitor disorder (disorder),Historic,Negated,No laterality
{p contusion of esophagus} last 11 mth,262791003 | Contusion of esophagus (disorder),Historic,Confirmed,No laterality
3 previous {p acute postoperative renal failure},438783006 | Acute postoperative renal failure (disorder),Historic,Confirmed,No laterality
{p phenothiazine adverse reaction} until 55 yr o,292386009 | Phenothiazine adverse reaction (disorder),Historic,Confirmed,No laterality
4 previous {p acute mediastinitis},233734006 | Acute mediastinitis (disorder),Historic,Confirmed,No laterality
2 previous {p impending infarction},25106000 | Impending infarction (disorder),Historic,Confirmed,No laterality
{p infantile cortical hyperostosis} while 23 years old,24752008 | Infantile cortical hyperostosis (disorder),Historic,Confirmed,No laterality
{p postaxial polydactyly of toe} in the past,205133005 | Postaxial polydactyly of toe (disorder),Historic,Confirmed,No laterality
recurrent {p acute drug-induced tubulointerstitial nephritis},32093003 | Acute drug-induced tubulointerstitial nephritis (disorder),Historic,Confirmed,No laterality
{p benign neoplasm of glottis} few yr prev,92123007 | Benign neoplasm of glottis (disorder),Historic,Confirmed,No laterality
{p methotrexate poisoning} prev,290680001 | Methotrexate poisoning (disorder),Historic,Confirmed,No laterality
{p avulsion of mandible} last 8 month,110082000 | Avulsion of mandible (disorder),Historic,Confirmed,No laterality
4 prev {p acute viral encephalitis},230161000 | Acute viral encephalitis (disorder),Historic,Confirmed,No laterality
{p superficial injury of heel} few yrs ago,283047007 | Superficial injury of heel (disorder),Historic,Confirmed,No laterality
{p chronic ulcerative proctitis} from 60 y old,52231000 | Chronic ulcerative proctitis (disorder),Historic,Confirmed,No laterality
