text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
partner feels {p small cell carcinoma carcinomatosis},424052001 | Small cell carcinoma carcinomatosis (disorder),Irrelevant,Confirmed,No laterality
friend {p intentional ceftizoxime poisoning},291604004 | Intentional ceftizoxime poisoning (disorder),Irrelevant,Confirmed,No laterality
family history of {p chronic bursitis},109299008 | Chronic bursitis (disorder),Irrelevant,Confirmed,No laterality
explained about {p burn of genitalia},284220000 | Burn of genitalia (disorder),Irrelevant,Confirmed,No laterality
family hist {p gastrointestinal and digestive injury},282007005 | Gastrointestinal and digestive injury (disorder),Irrelevant,Confirmed,No laterality
husbands has {p superficial injury of neck},274182009 | Superficial injury of neck (disorder),Irrelevant,Confirmed,No laterality
grandmother suffers from {p intentional triethylene thiophosphoramide poisoning},290592006 | Intentional triethylene thiophosphoramide poisoning (disorder),Irrelevant,Confirmed,No laterality
worried {p exostosis of right calcaneus},16028711000119100 | Exostosis of right calcaneus (disorder),Irrelevant,Confirmed,Right
cousin had {p subpial siderosis},76896001 | Subpial siderosis (disorder),Irrelevant,Confirmed,No laterality
husbands {p gastrothoracopagus},78728005 | Gastrothoracopagus (disorder),Irrelevant,Confirmed,No laterality
brother has {p allergic contact dermatitis},238575004 | Allergic contact dermatitis (disorder),Irrelevant,Confirmed,No laterality
explained about {p lordoscoliosis},111268000 | Lordoscoliosis (disorder),Irrelevant,Confirmed,No laterality
cousin feels {p abnormal palmar creases},205557000 | Abnormal palmar creases (disorder),Irrelevant,Confirmed,No laterality
dad has {p closed subluxation cervical spine},209134006 | Closed subluxation cervical spine (disorder),Irrelevant,Confirmed,No laterality
discussed {p bone cyst of femur},767848001 | Bone cyst of femur (disorder),Irrelevant,Confirmed,No laterality
dept of {p complication associated with device},473023007 | Complication associated with device (disorder),Irrelevant,Confirmed,No laterality
brothers suffers from {p alcohol dependence in pregnancy},10741871000119101 | Alcohol dependence in pregnancy (disorder),Irrelevant,Confirmed,No laterality
family has {p histo spot},416994002 | Histo spot (disorder),Irrelevant,Confirmed,No laterality
uncle suffers from {p infection of ventriculoperitoneal shunt},432616009 | Infection of ventriculoperitoneal shunt (disorder),Irrelevant,Confirmed,No laterality
differentialexplain {p preauricular fistula},204272007 | Preauricular fistula (disorder),Irrelevant,Confirmed,No laterality
worried {p psoriasis diffusa},200964008 | Psoriasis diffusa (disorder),Irrelevant,Confirmed,No laterality
family hist {p traumatic hemorrhage},110149000 | Traumatic hemorrhage (disorder),Irrelevant,Confirmed,No laterality
spouse has {p calcified lymph nodes},191394000 | Calcified lymph nodes (disorder),Irrelevant,Confirmed,No laterality
partner {p benign multirecurrent endothelioleukocytal meningitis},81981006 | Benign multirecurrent endothelioleukocytal meningitis (disorder),Irrelevant,Confirmed,No laterality
{p hypertrophy of dermal papillae} risk score,111025007 | Hypertrophy of dermal papillae (disorder),Irrelevant,Confirmed,No laterality
explained about {p accidental nabilone poisoning},290413004 | Accidental nabilone poisoning (disorder),Irrelevant,Confirmed,No laterality
fhx {p serotonin syndrome},371089000 | Serotonin syndrome (disorder),Irrelevant,Confirmed,No laterality
differentialexplain {p chronic leukemia in remission},92811003 | Chronic leukemia in remission (disorder),Irrelevant,Confirmed,No laterality
wife had {p intentional nandrolone overdose},296885000 | Intentional nandrolone overdose (disorder),Irrelevant,Confirmed,No laterality
discussed {p hallucinogen-induced organic mental disorder},53050002 | Hallucinogen-induced organic mental disorder (disorder),Irrelevant,Confirmed,No laterality
grandfather feels {p metipranolol adverse reaction},292433005 | Metipranolol adverse reaction (disorder),Irrelevant,Confirmed,No laterality
sister suffers from {p pigmentary incontinence},238702000 | Pigmentary incontinence (disorder),Irrelevant,Confirmed,No laterality
mother feels {p intentional phenelzine poisoning},290862007 | Intentional phenelzine poisoning (disorder),Irrelevant,Confirmed,No laterality
worried {p multiple system atrophy},230297002 | Multiple system atrophy (disorder),Irrelevant,Confirmed,No laterality
partner {p beta species poisoning},82913001 | Beta species poisoning (disorder),Irrelevant,Confirmed,No laterality
wife {p cardiac edema},89555002 | Cardiac edema (disorder),Irrelevant,Confirmed,No laterality
concerned about {p cocaine-induced mood disorder},10327003 | Cocaine-induced mood disorder (disorder),Irrelevant,Confirmed,No laterality
fear of {p jarisch herxheimer reaction},10803007 | Jarisch Herxheimer reaction (disorder),Irrelevant,Confirmed,No laterality
son {p anterior pituitary hormone deficiency},2851000119101 | Anterior pituitary hormone deficiency (disorder),Irrelevant,Confirmed,No laterality
grandparent suffers from {p major laceration of spleen},721300003 | Major laceration of spleen (disorder),Irrelevant,Confirmed,No laterality
husbands has {p rachitic dwarf},13109008 | Rachitic dwarf (disorder),Irrelevant,Confirmed,No laterality
grandfather has {p secondary pulmonary hypoplasia},277485007 | Secondary pulmonary hypoplasia (disorder),Irrelevant,Confirmed,No laterality
grandparent feels {p intentional amoxapine overdose},295841009 | Intentional amoxapine overdose (disorder),Irrelevant,Confirmed,No laterality
friend suffers from {p xanthine overdose},296437009 | Xanthine overdose (disorder),Irrelevant,Confirmed,No laterality
family hist {p gestational edema with proteinuria},199141002 | Gestational edema with proteinuria (disorder),Irrelevant,Confirmed,No laterality
{p hexachlorobenzene poisoning} risk score,407147006 | Hexachlorobenzene poisoning (disorder),Irrelevant,Confirmed,No laterality
friend suffers from {p hallucinogenic fish poisoning},416748006 | Hallucinogenic fish poisoning (disorder),Irrelevant,Confirmed,No laterality
fhx {p armanni-ebstein kidney},792925006 | Armanni-Ebstein kidney (disorder),Irrelevant,Confirmed,No laterality
worried {p recurrent basal cell carcinoma},402538000 | Recurrent basal cell carcinoma (disorder),Irrelevant,Confirmed,No laterality
aunt has {p disseminated idiopathic skeletal hyperostosis},31487001 | Disseminated idiopathic skeletal hyperostosis (disorder),Irrelevant,Confirmed,No laterality
daughter had {p perinatal intraventricular hemorrhage},70611002 | Perinatal intraventricular hemorrhage (disorder),Irrelevant,Confirmed,No laterality
son {p hwa-byung},81812009 | Hwa-byung (disorder),Irrelevant,Confirmed,No laterality
husbands suffers from {p poisoning caused by benzothiadiazine},715066008 | Poisoning caused by benzothiadiazine (disorder),Irrelevant,Confirmed,No laterality
family hist {p lumbar post-laminectomy syndrome},202725007 | Lumbar post-laminectomy syndrome (disorder),Irrelevant,Confirmed,No laterality
fhx {p rudimentary tracheal bronchus},76280006 | Rudimentary tracheal bronchus (disorder),Irrelevant,Confirmed,No laterality
son had {p excoriated eczema},123703002 | Excoriated eczema (disorder),Irrelevant,Confirmed,No laterality
partner {p xerocytosis},87994004 | Xerocytosis (disorder),Irrelevant,Confirmed,No laterality
explained about {p left inguinal hernia},236022004 | Left inguinal hernia (disorder),Irrelevant,Confirmed,Left
grandfather {p primary combined hyperlipidemia},238088006 | Primary combined hyperlipidemia (disorder),Irrelevant,Confirmed,No laterality
friend {p armanni-ebstein kidney},792925006 | Armanni-Ebstein kidney (disorder),Irrelevant,Confirmed,No laterality
"department of {p nondependent cannabis abuse, episodic}","191894006 | Nondependent cannabis abuse, episodic (disorder)",Irrelevant,Confirmed,No laterality
cousin suffers from {p precerebral arterial occlusion},266253001 | Precerebral arterial occlusion (disorder),Irrelevant,Confirmed,No laterality
discussion about {p acrorenal syndrome},720458005 | Acrorenal syndrome (disorder),Irrelevant,Confirmed,No laterality
relative {p migratory osteolysis},3261002 | Migratory osteolysis (disorder),Irrelevant,Confirmed,No laterality
dad {p retinal angiomatous proliferation},792908009 | Retinal angiomatous proliferation (disorder),Irrelevant,Confirmed,No laterality
{p cerebral hemisphere hemorrhage} risk score,73020009 | Cerebral hemisphere hemorrhage (disorder),Irrelevant,Confirmed,No laterality
friend had {p burn of foot},11980003 | Burn of foot (disorder),Irrelevant,Confirmed,No laterality
ddx {p bosley salih alorainy syndrome},720567008 | Bosley Salih Alorainy syndrome (disorder),Irrelevant,Confirmed,No laterality
discussed {p central hearing loss},68467004 | Central hearing loss (disorder),Irrelevant,Confirmed,No laterality
relation feels {p malignant tumor of gum},363382005 | Malignant tumor of gum (disorder),Irrelevant,Confirmed,No laterality
family history of {p chronic constipation},236069009 | Chronic constipation (disorder),Irrelevant,Confirmed,No laterality
worried about {p pathological demand avoidance},712884004 | Pathological demand avoidance (disorder),Irrelevant,Confirmed,No laterality
spouse had {p brainstem pyogenic abscess},230210001 | Brainstem pyogenic abscess (disorder),Irrelevant,Confirmed,No laterality
wifes has {p absence of sex chromosome},254259001 | Absence of sex chromosome (disorder),Irrelevant,Confirmed,No laterality
family history of {p imperforate left ventriculoarterial valve},449511008 | Imperforate left ventriculoarterial valve (disorder),Irrelevant,Confirmed,No laterality
discussed {p disorder of episclera},421866006 | Disorder of episclera (disorder),Irrelevant,Confirmed,No laterality
explained about {p moclobemide poisoning},290876008 | Moclobemide poisoning (disorder),Irrelevant,Confirmed,No laterality
"friend {p acne rosacea, papular type}","75867005 | Acne rosacea, papular type (disorder)",Irrelevant,Confirmed,No laterality
differentialexplain {p tick bite},95898004 | Tick bite (disorder),Irrelevant,Confirmed,No laterality
worried {p injection site urticaria},95394008 | Injection site urticaria (disorder),Irrelevant,Confirmed,No laterality
dept of {p interface dermatitis},58398000 | Interface dermatitis (disorder),Irrelevant,Confirmed,No laterality
concerned about {p tranylcypromine adverse reaction},292297006 | Tranylcypromine adverse reaction (disorder),Irrelevant,Confirmed,No laterality
grandparent had {p dermoid cyst of cornea},830023006 | Dermoid cyst of cornea (disorder),Irrelevant,Confirmed,No laterality
relative had {p impetigo neonatorum},200706004 | Impetigo neonatorum (disorder),Irrelevant,Confirmed,No laterality
worried about {p open division pelvic ligament},209715001 | Open division pelvic ligament (disorder),Irrelevant,Confirmed,No laterality
sister suffers from {p accidental saluretic poisoning},291966001 | Accidental saluretic poisoning (disorder),Irrelevant,Confirmed,No laterality
differentialexplain {p pregnancy with mental disorders},267320004 | Pregnancy with mental disorders (disorder),Irrelevant,Confirmed,No laterality
friend feels {p anonychia},23610003 | Anonychia (disorder),Irrelevant,Confirmed,No laterality
family history of {p perinatal jaundice from bleeding},206448001 | Perinatal jaundice from bleeding (disorder),Irrelevant,Confirmed,No laterality
family history of {p intestinal autonomic neuropathy},45299002 | Intestinal autonomic neuropathy (disorder),Irrelevant,Confirmed,No laterality
dept of {p burn of female genitalia},89720001 | Burn of female genitalia (disorder),Irrelevant,Confirmed,No laterality
dept of {p kick mark},297961003 | Kick mark (disorder),Irrelevant,Confirmed,No laterality
concerned about {p transcobalamin ii deficiency},237934001 | Transcobalamin II deficiency (disorder),Irrelevant,Confirmed,No laterality
ddx {p acute osteomyelitis of radius},203165006 | Acute osteomyelitis of radius (disorder),Irrelevant,Confirmed,No laterality
relative suffers from {p effects of hunger},212966005 | Effects of hunger (disorder),Irrelevant,Confirmed,No laterality
{p alcohol-induced acute pancreatitis} precautions,235942001 | Alcohol-induced acute pancreatitis (disorder),Irrelevant,Confirmed,No laterality
relation {p sepsis-associated lung injury},233812001 | Sepsis-associated lung injury (disorder),Irrelevant,Confirmed,No laterality
family hist {p newborn renal dysfunction},276583007 | Newborn renal dysfunction (disorder),Irrelevant,Confirmed,No laterality
{p cholecystitis without calculus} precautions,19968009 | Cholecystitis without calculus (disorder),Irrelevant,Confirmed,No laterality
relation suffers from {p carcinoma of sigmoid colon},285312008 | Carcinoma of sigmoid colon (disorder),Irrelevant,Confirmed,No laterality
uncle had {p partial failure replanted thumb},213171008 | Partial failure replanted thumb (disorder),Irrelevant,Confirmed,No laterality
{p umbilical polyp} risk assessment,21827002 | Umbilical polyp (disorder),Irrelevant,Confirmed,No laterality
department of {p abdominal varicosities},402844009 | Abdominal varicosities (disorder),Irrelevant,Confirmed,No laterality
department of {p viral epidemic vertigo},301848005 | Viral epidemic vertigo (disorder),Irrelevant,Confirmed,No laterality
friend has {p presenile dementia with paranoia},191454001 | Presenile dementia with paranoia (disorder),Irrelevant,Confirmed,No laterality
worried about {p chymotrypsin adverse reaction},293579009 | Chymotrypsin adverse reaction (disorder),Irrelevant,Confirmed,No laterality
cousin suffers from {p ulcerogenic deformed duodenum},413213005 | Ulcerogenic deformed duodenum (disorder),Irrelevant,Confirmed,No laterality
uncle feels {p infective epididymitis},312224002 | Infective epididymitis (disorder),Irrelevant,Confirmed,No laterality
{p ectopic oral gastrointestinal cyst} risk assessment,109554004 | Ectopic oral gastrointestinal cyst (disorder),Irrelevant,Confirmed,No laterality
fhx {p superior pancreatic lymphadenopathy},127139002 | Superior pancreatic lymphadenopathy (disorder),Irrelevant,Confirmed,No laterality
husband {p drug-induced pericarditis},23842007 | Drug-induced pericarditis (disorder),Irrelevant,Confirmed,No laterality
discussion about {p parkinsonism following infection},722558002 | Parkinsonism following infection (disorder),Irrelevant,Confirmed,No laterality
husbands suffers from {p acute fulminating appendicitis},84534001 | Acute fulminating appendicitis (disorder),Irrelevant,Confirmed,No laterality
ddx {p lymphedema of eyelid},403382002 | Lymphedema of eyelid (disorder),Irrelevant,Confirmed,No laterality
friend {p chronic recurrent sinusitis},427909005 | Chronic recurrent sinusitis (disorder),Irrelevant,Confirmed,No laterality
differentialexplain {p complication of transplanted liver},33167004 | Complication of transplanted liver (disorder),Irrelevant,Confirmed,No laterality
explained about {p intentional chlordiazepoxide poisoning},291059004 | Intentional chlordiazepoxide poisoning (disorder),Irrelevant,Confirmed,No laterality
wife {p glucagon deficiency},61998001 | Glucagon deficiency (disorder),Irrelevant,Confirmed,No laterality
explained about {p cryptococcal meningitis},14232007 | Cryptococcal meningitis (disorder),Irrelevant,Confirmed,No laterality
worried {p actinobacillus infection},16140007 | Actinobacillus infection (disorder),Irrelevant,Confirmed,No laterality
{p crisantaspase adverse reaction} risk assessment,292242001 | Crisantaspase adverse reaction (disorder),Irrelevant,Confirmed,No laterality
family {p disorder of rotator cuff},414033006 | Disorder of rotator cuff (disorder),Irrelevant,Confirmed,No laterality
dad has {p porocephaliasis},8107007 | Porocephaliasis (disorder),Irrelevant,Confirmed,No laterality
{p 14q22q23 microdeletion syndrome} risk score,771439009 | 14q22q23 microdeletion syndrome (disorder),Irrelevant,Confirmed,No laterality
explained about {p neuromuscular kyphoscoliosis},281375006 | Neuromuscular kyphoscoliosis (disorder),Irrelevant,Confirmed,No laterality
dept of {p aspergillus otomycosis},302905001 | Aspergillus otomycosis (disorder),Irrelevant,Confirmed,No laterality
brothers {p injury of shoulder region},125594001 | Injury of shoulder region (disorder),Irrelevant,Confirmed,No laterality
worried {p lymphedema},234097001 | Lymphedema (disorder),Irrelevant,Confirmed,No laterality
department of {p isthmic spondylolisthesis},203683004 | Isthmic spondylolisthesis (disorder),Irrelevant,Confirmed,No laterality
family history of {p alcoholic disinfectant adverse reaction},292879009 | Alcoholic disinfectant adverse reaction (disorder),Irrelevant,Confirmed,No laterality
risk of {p cervical incompetence - delivered},199482005 | Cervical incompetence - delivered (disorder),Irrelevant,Confirmed,No laterality
{p fistula of pericardium} risk assessment,60254004 | Fistula of pericardium (disorder),Irrelevant,Confirmed,No laterality
worried {p elephantiasis of upper eyelid},700337008 | Elephantiasis of upper eyelid (disorder),Irrelevant,Confirmed,No laterality
spouse has {p centrilobular hepatic necrosis},13923006 | Centrilobular hepatic necrosis (disorder),Irrelevant,Confirmed,No laterality
grandfather feels {p chromosome 11p13 deletion syndrome},715215007 | Chromosome 11p13 deletion syndrome (disorder),Irrelevant,Confirmed,No laterality
friend feels {p infiltrative cardiomyopathy},871646007 | Infiltrative cardiomyopathy (disorder),Irrelevant,Confirmed,No laterality
worried {p malposition of uterus},198328003 | Malposition of uterus (disorder),Irrelevant,Confirmed,No laterality
family history of {p infective sialoadenitis},196489000 | Infective sialoadenitis (disorder),Irrelevant,Confirmed,No laterality
aunt suffers from {p fetal primidone syndrome},254253000 | Fetal primidone syndrome (disorder),Irrelevant,Confirmed,No laterality
{p syphilitic chorioretinitis} precautions,312934004 | Syphilitic chorioretinitis (disorder),Irrelevant,Confirmed,No laterality
grandmother feels {p cyprus facial neuromusculoskeletal syndrome},732261005 | Cyprus facial neuromusculoskeletal syndrome (disorder),Irrelevant,Confirmed,No laterality
wife suffers from {p bacterial sinusitis},703470001 | Bacterial sinusitis (disorder),Irrelevant,Confirmed,No laterality
family history of {p oncocytoma of kidney},254922006 | Oncocytoma of kidney (disorder),Irrelevant,Confirmed,No laterality
explained about {p pseudo-cushing's syndrome},237737000 | Pseudo-Cushing's syndrome (disorder),Irrelevant,Confirmed,No laterality
daughter {p intentional cephalexin poisoning},291563000 | Intentional cephalexin poisoning (disorder),Irrelevant,Confirmed,No laterality
husbands {p sunstroke},18615009 | Sunstroke (disorder),Irrelevant,Confirmed,No laterality
discussed {p emphysematous vaginitis},8628002 | Emphysematous vaginitis (disorder),Irrelevant,Confirmed,No laterality
explained about {p dentinogenesis imperfecta},196286005 | Dentinogenesis imperfecta (disorder),Irrelevant,Confirmed,No laterality
family hist {p dermal nerve sheath myxoma},404034009 | Dermal nerve sheath myxoma (disorder),Irrelevant,Confirmed,No laterality
wife suffers from {p cornual pregnancy},87605005 | Cornual pregnancy (disorder),Irrelevant,Confirmed,No laterality
friend suffers from {p protozoan infection},95896000 | Protozoan infection (disorder),Irrelevant,Confirmed,No laterality
worried about {p hamartoma of brain},277369003 | Hamartoma of brain (disorder),Irrelevant,Confirmed,No laterality
wifes {p hereditary acrodermatitis enteropathica},37702000 | Hereditary acrodermatitis enteropathica (disorder),Irrelevant,Confirmed,No laterality
differentialexplain {p focal membranoproliferative glomerulonephritis},197626007 | Focal membranoproliferative glomerulonephritis (disorder),Irrelevant,Confirmed,No laterality
father suffers from {p congenital fistula of urachus},50986000 | Congenital fistula of urachus (disorder),Irrelevant,Confirmed,No laterality
family history of {p haidinger brushes},420791006 | Haidinger brushes (disorder),Irrelevant,Confirmed,No laterality
father {p intentional diazoxide poisoning},292005000 | Intentional diazoxide poisoning (disorder),Irrelevant,Confirmed,No laterality
{p secondary syphilis of synovium} risk score,1142099009 | Secondary syphilis of synovium (disorder),Irrelevant,Confirmed,No laterality
grandmother suffers from {p scrofuloderma},82796002 | Scrofuloderma (disorder),Irrelevant,Confirmed,No laterality
{p therapeutic abortion} risk score,53638009 | Therapeutic abortion (disorder),Irrelevant,Confirmed,No laterality
department of {p right atrioventricular valve stenosis},253462008 | Right atrioventricular valve stenosis (disorder),Irrelevant,Confirmed,No laterality
{p pellet wound of hand} risk score,283566002 | Pellet wound of hand (disorder),Irrelevant,Confirmed,No laterality
differentialexplain {p traumatic synovitis},281359008 | Traumatic synovitis (disorder),Irrelevant,Confirmed,No laterality
brother suffers from {p benign neoplasm of foot},92110000 | Benign neoplasm of foot (disorder),Irrelevant,Confirmed,No laterality
{p disorder of mastoid} precautions,55996006 | Disorder of mastoid (disorder),Irrelevant,Confirmed,No laterality
son {p disorder of iridocorneal angle},762415003 | Disorder of iridocorneal angle (disorder),Irrelevant,Confirmed,No laterality
sister {p burn of ankle},40993007 | Burn of ankle (disorder),Irrelevant,Confirmed,No laterality
uncle has {p accidental tryptophan poisoning},290881004 | Accidental tryptophan poisoning (disorder),Irrelevant,Confirmed,No laterality
concerned about {p type 1 lissencephaly},253147000 | Type 1 lissencephaly (disorder),Irrelevant,Confirmed,No laterality
ddx {p book syndrome},722296002 | Book syndrome (disorder),Irrelevant,Confirmed,No laterality
dad feels {p cephalic version},84235001 | Cephalic version (disorder),Irrelevant,Confirmed,No laterality
ddx {p erythrocytosis},127062003 | Erythrocytosis (disorder),Irrelevant,Confirmed,No laterality
