text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
{p bilateral superior vena cava} not present,253311006 | Bilateral superior vena cava (disorder),Present,Negated,No laterality
no evidence of {p tritan defect},51886007 | Tritan defect (disorder),Present,Negated,No laterality
{p conversion dysphonia} no,90483007 | Conversion dysphonia (disorder),Present,Negated,No laterality
absence of {p erythromycin poisoning},212503009 | Erythromycin poisoning (disorder),Present,Negated,No laterality
absent {p disorder related to transplantation},429054002 | Disorder related to transplantation (disorder),Present,Negated,No laterality
{p neuromuscular subluxation of joint} ruled out,239750008 | Neuromuscular subluxation of joint (disorder),Present,Negated,No laterality
{p bilateral calcaneal apophysitis} no,15638811000119102 | Bilateral calcaneal apophysitis (disorder),Present,Negated,Bilateral
no {p facial lymphadenopathy},127081006 | Facial lymphadenopathy (disorder),Present,Negated,No laterality
denies {p benign mucous membrane pemphigoid},34250006 | Benign mucous membrane pemphigoid (disorder),Present,Negated,No laterality
absent {p cervical spine ankylosis},202814008 | Cervical spine ankylosis (disorder),Present,Negated,No laterality
never {p intentional docusate overdose},295471006 | Intentional docusate overdose (disorder),Present,Negated,No laterality
{p goldberg shprintzen megacolon syndrome} no,717822006 | Goldberg Shprintzen megacolon syndrome (disorder),Present,Negated,No laterality
{p cruveilhier-baumgarten syndrome} none,45256007 | Cruveilhier-Baumgarten syndrome (disorder),Present,Negated,No laterality
absent {p cutis laxa following urticaria-angioedema},403398009 | Cutis laxa following urticaria-angioedema (disorder),Present,Negated,No laterality
{p pronator syndrome} not present,230628008 | Pronator syndrome (disorder),Present,Negated,No laterality
{p injury of fibula} neg,428095009 | Injury of fibula (disorder),Present,Negated,No laterality
{p giant cell epulis} none,89722009 | Giant cell epulis (disorder),Present,Negated,No laterality
no {p cyst of face},723094002 | Cyst of face (disorder),Present,Negated,No laterality
didnt {p adductor canal syndrome},449897004 | Adductor canal syndrome (disorder),Present,Negated,No laterality
{p fibrous histiocytoma of orbit} not detected,414250001 | Fibrous histiocytoma of orbit (disorder),Present,Negated,No laterality
denied {p neonatal candidiasis of perineum},206356004 | Neonatal candidiasis of perineum (disorder),Present,Negated,No laterality
without {p solanum incanum poisoning},50034006 | Solanum incanum poisoning (disorder),Present,Negated,No laterality
no evidence of {p gestational diabetes mellitus},11687002 | Gestational diabetes mellitus (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p hyperimmunoglobulin m syndrome},82286005 | Hyperimmunoglobulin M syndrome (disorder),Present,Negated,No laterality
{p intentional fluvoxamine poisoning} absent,290912003 | Intentional fluvoxamine poisoning (disorder),Present,Negated,No laterality
{p multiple injuries of pelvis} excluded,735798001 | Multiple injuries of pelvis (disorder),Present,Negated,No laterality
without {p dipipanone adverse reaction},292051004 | Dipipanone adverse reaction (disorder),Present,Negated,No laterality
{p dog bite of perineum} none,283764002 | Dog bite of perineum (disorder),Present,Negated,No laterality
"denied {p deficiency of protocatechuate 3,4-dioxygenase}","124205002 | Deficiency of protocatechuate 3,4-dioxygenase (disorder)",Present,Negated,No laterality
lack of {p bronchopneumonia caused by streptococcus},10625671000119106 | Bronchopneumonia caused by Streptococcus (disorder),Present,Negated,No laterality
no {p psychogenic constipation},191973007 | Psychogenic constipation (disorder),Present,Negated,No laterality
{p cyclosporin poisoning} absent,290774001 | Cyclosporin poisoning (disorder),Present,Negated,No laterality
{p decreased anogenital distance} negative,93421008 | Decreased anogenital distance (disorder),Present,Negated,No laterality
{p roseolar erythema} not detected,402419007 | Roseolar erythema (disorder),Present,Negated,No laterality
{p partial edentulism class ii} no,90101000119106 | Partial edentulism class II (disorder),Present,Negated,No laterality
never {p intentional acemetacin overdose},295220006 | Intentional acemetacin overdose (disorder),Present,Negated,No laterality
unlikely {p ulcer of genital labium},427788009 | Ulcer of genital labium (disorder),Present,Negated,No laterality
{p infantile neuronal ceroid lipofuscinosis} none,58258004 | Infantile neuronal ceroid lipofuscinosis (disorder),Present,Negated,No laterality
{p viral epiglottitis} ruled out,70976000 | Viral epiglottitis (disorder),Present,Negated,No laterality
"{p open tarsal fractures, multiple} negative","208704000 | Open tarsal fractures, multiple (disorder)",Present,Negated,No laterality
{p van bogaert's sclerosing leukoencephalitis} ruled out,359686005 | Van Bogaert's sclerosing leukoencephalitis (disorder),Present,Negated,No laterality
{p generalized hyperhidrosis} none,274673004 | Generalized hyperhidrosis (disorder),Present,Negated,No laterality
no {p asperger's disorder},23560001 | Asperger's disorder (disorder),Present,Negated,No laterality
without {p effusion of subtalar joint},202384006 | Effusion of subtalar joint (disorder),Present,Negated,No laterality
{p heterozygous prothrombin g20210a mutation} ruled out,441421001 | Heterozygous prothrombin G20210A mutation (disorder),Present,Negated,No laterality
without {p psychogenic syncope},386572005 | Psychogenic syncope (disorder),Present,Negated,No laterality
neg {p sprain of knee},54888009 | Sprain of knee (disorder),Present,Negated,No laterality
{p hazy vision} ruled out,246636008 | Hazy vision (disorder),Present,Negated,No laterality
absent {p collagenous gastritis},711499009 | Collagenous gastritis (disorder),Present,Negated,No laterality
{p autosomal recessive pseudoxanthoma elasticum} negative,403812000 | Autosomal recessive pseudoxanthoma elasticum (disorder),Present,Negated,No laterality
{p etoposide adverse reaction} none,292235001 | Etoposide adverse reaction (disorder),Present,Negated,No laterality
{p congenital arteriovenous fistula rupture} not detected,234156005 | Congenital arteriovenous fistula rupture (disorder),Present,Negated,No laterality
denied {p contusion of eye},367423000 | Contusion of eye (disorder),Present,Negated,No laterality
{p tolbutamide adverse reaction} negative,293201007 | Tolbutamide adverse reaction (disorder),Present,Negated,No laterality
absence of {p pagets disease - hip},301027009 | Pagets disease - hip (disorder),Present,Negated,No laterality
no {p mononeuropathy},128189008 | Mononeuropathy (disorder),Present,Negated,No laterality
unlikely {p osteoarthritis deformans},254779008 | Osteoarthritis deformans (disorder),Present,Negated,No laterality
{p tongueworm cyst} no,240911006 | Tongueworm cyst (disorder),Present,Negated,No laterality
{p stress ulceration of esophagus} no,235614000 | Stress ulceration of esophagus (disorder),Present,Negated,No laterality
absence of {p fibroma of tendon sheath},403992002 | Fibroma of tendon sheath (disorder),Present,Negated,No laterality
didnt {p rolling of gingival margin},109609006 | Rolling of gingival margin (disorder),Present,Negated,No laterality
lack of {p alopecia senilis},201135005 | Alopecia senilis (disorder),Present,Negated,No laterality
{p gliomatosis cerebri} excluded,1156413005 | Gliomatosis cerebri (disorder),Present,Negated,No laterality
absence of {p vibration white finger},234034005 | Vibration white finger (disorder),Present,Negated,No laterality
absent {p tendon rupture - hip},288218006 | Tendon rupture - hip (disorder),Present,Negated,No laterality
{p secondary and recurrent hemorrhage} no,212373009 | Secondary and recurrent hemorrhage (disorder),Present,Negated,No laterality
{p noninfectious jejunitis} not detected,242004 | Noninfectious jejunitis (disorder),Present,Negated,No laterality
{p abscess of scalp} not present,31399009 | Abscess of scalp (disorder),Present,Negated,No laterality
{p stroke co-occurrent with migraine} neg,724429004 | Stroke co-occurrent with migraine (disorder),Present,Negated,No laterality
{p deficiency of transhydroxymethylase} no,124372000 | Deficiency of transhydroxymethylase (disorder),Present,Negated,No laterality
no evidence of {p intentional vitamin d poisoning},291926000 | Intentional vitamin D poisoning (disorder),Present,Negated,No laterality
{p 16q24.3 microdeletion syndrome} negative,719580004 | 16q24.3 microdeletion syndrome (disorder),Present,Negated,No laterality
{p accidental cyclophosphamide overdose} negative,295621002 | Accidental cyclophosphamide overdose (disorder),Present,Negated,No laterality
absence of {p hyperoxia},238158000 | Hyperoxia (disorder),Present,Negated,No laterality
no {p involutional paranoid state},278506006 | Involutional paranoid state (disorder),Present,Negated,No laterality
{p crotalaria dura poisoning} no,54205001 | Crotalaria dura poisoning (disorder),Present,Negated,No laterality
absent {p mixed gonadal dysgenesis},83579008 | Mixed gonadal dysgenesis (disorder),Present,Negated,No laterality
{p excessive secretin secretion} negative,237582003 | Excessive secretin secretion (disorder),Present,Negated,No laterality
{p fulminant enterocolitis} not present,20335001 | Fulminant enterocolitis (disorder),Present,Negated,No laterality
{p post-traumatic syrinx} absent,372477008 | Post-traumatic syrinx (disorder),Present,Negated,No laterality
didnt {p postoperative tethered cord syndrome},438481007 | Postoperative tethered cord syndrome (disorder),Present,Negated,No laterality
{p dysfibrinogenemia} none,111589005 | Dysfibrinogenemia (disorder),Present,Negated,No laterality
{p skin graft disorder} absent,239180007 | Skin graft disorder (disorder),Present,Negated,No laterality
{p symptomatic reversible pulpitis} ruled out,711641004 | Symptomatic reversible pulpitis (disorder),Present,Negated,No laterality
{p gallbladder mass} no,138561000119104 | Gallbladder mass (disorder),Present,Negated,No laterality
without {p hematopyometra},237124006 | Hematopyometra (disorder),Present,Negated,No laterality
{p idiopathic recurrent pericarditis} no,766704005 | Idiopathic recurrent pericarditis (disorder),Present,Negated,No laterality
no {p superficial dog bite wound},262556008 | Superficial dog bite wound (disorder),Present,Negated,No laterality
{p bronchopneumonia} neg,396285007 | Bronchopneumonia (disorder),Present,Negated,No laterality
{p brachymelia of lower limb} no,717850006 | Brachymelia of lower limb (disorder),Present,Negated,No laterality
{p acute relapsing multiple sclerosis} neg,230372003 | Acute relapsing multiple sclerosis (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p dysplasia of large intestine},399391008 | Dysplasia of large intestine (disorder),Present,Negated,No laterality
neg {p enophthalmos due to surgery},14858001 | Enophthalmos due to surgery (disorder),Present,Negated,No laterality
absent {p anterior horn cell disease},85672005 | Anterior horn cell disease (disorder),Present,Negated,No laterality
{p leaking abdominal aortic aneurysm} absent,195268001 | Leaking abdominal aortic aneurysm (disorder),Present,Negated,No laterality
{p infection caused by catatropis} ruled out,33583009 | Infection caused by Catatropis (disorder),Present,Negated,No laterality
{p ectasia of sclera} not present,870397000 | Ectasia of sclera (disorder),Present,Negated,No laterality
{p tendinitis of left hand} not present,15630691000119109 | Tendinitis of left hand (disorder),Present,Negated,Left
{p chlorothiazide overdose} not detected,297012003 | Chlorothiazide overdose (disorder),Present,Negated,No laterality
{p pyruvate dehydrogenase phosphatase deficiency} excluded,1003847003 | Pyruvate dehydrogenase phosphatase deficiency (disorder),Present,Negated,No laterality
unlikely {p muscle abscess of thigh},203027001 | Muscle abscess of thigh (disorder),Present,Negated,No laterality
absent {p comminuted fracture of patella},307178006 | Comminuted fracture of patella (disorder),Present,Negated,No laterality
denied {p viral keratitis},314020001 | Viral keratitis (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p cardiac tamponade},35304003 | Cardiac tamponade (disorder),Present,Negated,No laterality
{p open subluxation c4/c5} ruled out,209157000 | Open subluxation C4/C5 (disorder),Present,Negated,No laterality
absent {p diaphragmatic cyst},35893006 | Diaphragmatic cyst (disorder),Present,Negated,No laterality
neg {p drowsiness of the newborn},95631006 | Drowsiness of the newborn (disorder),Present,Negated,No laterality
{p secondary hemorrhage} not detected,262938004 | Secondary hemorrhage (disorder),Present,Negated,No laterality
{p osteoradionecrosis of jaw} not detected,63810002 | Osteoradionecrosis of jaw (disorder),Present,Negated,No laterality
{p broncholithiasis} none,69921001 | Broncholithiasis (disorder),Present,Negated,No laterality
absence of {p supragingival dental plaque},65164000 | Supragingival dental plaque (disorder),Present,Negated,No laterality
no evidence of {p molar incisor hypomineralization},698053001 | Molar incisor hypomineralization (disorder),Present,Negated,No laterality
{p listeria conjunctivitis} neg,29786001 | Listeria conjunctivitis (disorder),Present,Negated,No laterality
didnt {p prepyloric ulcer},22620000 | Prepyloric ulcer (disorder),Present,Negated,No laterality
absence of {p bilateral renal dysplasia},204950001 | Bilateral renal dysplasia (disorder),Present,Negated,Bilateral
{p resorption of lumbar disc} negative,202754001 | Resorption of lumbar disc (disorder),Present,Negated,No laterality
didnt {p drug-induced paranoid state},191485005 | Drug-induced paranoid state (disorder),Present,Negated,No laterality
{p patch test artifact} negative,403585004 | Patch test artifact (disorder),Present,Negated,No laterality
absence of {p type 3 lissencephaly},1003444000 | Type 3 lissencephaly (disorder),Present,Negated,No laterality
negative {p postoperative acute tubular necrosis},236426006 | Postoperative acute tubular necrosis (disorder),Present,Negated,No laterality
not {p refractive amblyopia},90927000 | Refractive amblyopia (disorder),Present,Negated,No laterality
{p downbeat nystagmus} not detected,307676006 | Downbeat nystagmus (disorder),Present,Negated,No laterality
{p ancylostomiasis} none,63479002 | Ancylostomiasis (disorder),Present,Negated,No laterality
no {p cholesterol ester storage disease},57218003 | Cholesterol ester storage disease (disorder),Present,Negated,No laterality
never {p pancreatic duct stricture},235972007 | Pancreatic duct stricture (disorder),Present,Negated,No laterality
{p motor epilepsy} no,307356008 | Motor epilepsy (disorder),Present,Negated,No laterality
{p platelet secretory disorder} negative,51448009 | Platelet secretory disorder (disorder),Present,Negated,No laterality
absence of {p fishing hook in face},283148000 | Fishing hook in face (disorder),Present,Negated,No laterality
{p papillary muscle atrophy} no,195141007 | Papillary muscle atrophy (disorder),Present,Negated,No laterality
no evidence of {p acute atrophic spinal paralysis},171822009 | Acute atrophic spinal paralysis (disorder),Present,Negated,No laterality
no {p occipitalization of atlas},724616009 | Occipitalization of atlas (disorder),Present,Negated,No laterality
{p genetic recurrent myoglobinuria} excluded,716721003 | Genetic recurrent myoglobinuria (disorder),Present,Negated,No laterality
{p macrognathia} negative,235081004 | Macrognathia (disorder),Present,Negated,No laterality
no {p acute gastritis},25458004 | Acute gastritis (disorder),Present,Negated,No laterality
absent {p accidental thioridazine poisoning},291191000 | Accidental thioridazine poisoning (disorder),Present,Negated,No laterality
lack of {p primary dystonia type 2},715777007 | Primary dystonia type 2 (disorder),Present,Negated,No laterality
not {p cyst of iris},37761009 | Cyst of iris (disorder),Present,Negated,No laterality
free from {p abnormal involuntary movement},260912008 | Abnormal involuntary movement (disorder),Present,Negated,No laterality
no {p insect bite granuloma},238452008 | Insect bite granuloma (disorder),Present,Negated,No laterality
without {p antihistamine poisoning},275388009 | Antihistamine poisoning (disorder),Present,Negated,No laterality
{p infection - perineal wound} not present,237339000 | Infection - perineal wound (disorder),Present,Negated,No laterality
{p neurological complication of procedure} neg,363237008 | Neurological complication of procedure (disorder),Present,Negated,No laterality
{p subchondral hematoma of pinna} no,446563000 | Subchondral hematoma of pinna (disorder),Present,Negated,No laterality
denies {p puncture wound of head},283499002 | Puncture wound of head (disorder),Present,Negated,No laterality
{p bardet-biedl syndrome} absent,5619004 | Bardet-Biedl syndrome (disorder),Present,Negated,No laterality
unlikely {p postcholecystectomy syndrome},90782003 | Postcholecystectomy syndrome (disorder),Present,Negated,No laterality
{p absent renal function} none,112066009 | Absent renal function (disorder),Present,Negated,No laterality
negative {p asymptomatic multiple myeloma},440422002 | Asymptomatic multiple myeloma (disorder),Present,Negated,No laterality
{p disease caused by retroviridae} not detected,105635000 | Disease caused by Retroviridae (disorder),Present,Negated,No laterality
absent {p intentional vancomycin poisoning},291520003 | Intentional vancomycin poisoning (disorder),Present,Negated,No laterality
without mention of {p overdose of carbamazepine},295995000 | Overdose of carbamazepine (disorder),Present,Negated,No laterality
no {p accidental cefpodoxime overdose},296730005 | Accidental cefpodoxime overdose (disorder),Present,Negated,No laterality
no evidence of {p rhabdomyoma},302846007 | Rhabdomyoma (disorder),Present,Negated,No laterality
absence of {p tubocurarine adverse reaction},292690001 | Tubocurarine adverse reaction (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p gluthathione peroxidase deficiency},234590006 | Gluthathione peroxidase deficiency (disorder),Present,Negated,No laterality
unlikely {p chemical-induced pulmonary edema},233710001 | Chemical-induced pulmonary edema (disorder),Present,Negated,No laterality
{p uridine monophosphate hydrolase deficiency} ruled out,234407001 | Uridine monophosphate hydrolase deficiency (disorder),Present,Negated,No laterality
{p abscess of corpus callosum} no,735556002 | Abscess of corpus callosum (disorder),Present,Negated,No laterality
{p faun tail syndrome} excluded,26568002 | Faun tail syndrome (disorder),Present,Negated,No laterality
{p aortic stenosis with doming} no,250973007 | Aortic stenosis with doming (disorder),Present,Negated,No laterality
{p hyperleucine-isoleucinemia} negative,7046009 | Hyperleucine-isoleucinemia (disorder),Present,Negated,No laterality
{p hypotonic bladder} none,197871001 | Hypotonic bladder (disorder),Present,Negated,No laterality
{p primary cerebral lymphoma} negative,276836002 | Primary cerebral lymphoma (disorder),Present,Negated,No laterality
{p chronic retention of urine} not detected,236650000 | Chronic retention of urine (disorder),Present,Negated,No laterality
no {p animal bite of finger},283812000 | Animal bite of finger (disorder),Present,Negated,No laterality
lack of {p superior lateral inguinal lymphadenopathy},127204006 | Superior lateral inguinal lymphadenopathy (disorder),Present,Negated,No laterality
absent {p south american hemorrhagic fever},30982007 | South American hemorrhagic fever (disorder),Present,Negated,No laterality
{p familial spontaneous pneumothorax} absent,715219001 | Familial spontaneous pneumothorax (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p cricopharyngeal incoordination},235632000 | Cricopharyngeal incoordination (disorder),Present,Negated,No laterality
negative {p prolonged newborn physiological jaundice},276550000 | Prolonged newborn physiological jaundice (disorder),Present,Negated,No laterality
denied {p poisoning caused by clofibrate},57695009 | Poisoning caused by clofibrate (disorder),Present,Negated,No laterality
no {p hematoma of skin},279420009 | Hematoma of skin (disorder),Present,Negated,No laterality
absence of {p generalized moderate chronic periodontitis},718062006 | Generalized moderate chronic periodontitis (disorder),Present,Negated,No laterality
absence of {p subconjunctival hemorrhage},78768009 | Subconjunctival hemorrhage (disorder),Present,Negated,No laterality
{p primary chondrosarcoma of mandible} no,683121000119103 | Primary chondrosarcoma of mandible (disorder),Present,Negated,No laterality
absent {p injury complicating pregnancy},721177006 | Injury complicating pregnancy (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p puncture wound of calf},283538005 | Puncture wound of calf (disorder),Present,Negated,No laterality
{p microinfarct of heart} negative,42531007 | Microinfarct of heart (disorder),Present,Negated,No laterality
no {p heel injury},282780003 | Heel injury (disorder),Present,Negated,No laterality
{p congenital onychauxis} excluded,88103004 | Congenital onychauxis (disorder),Present,Negated,No laterality
{p congenital coronary artery sclerosis} no,42866003 | Congenital coronary artery sclerosis (disorder),Present,Negated,No laterality
no evidence of {p derangement of shoulder},13091000119107 | Derangement of shoulder (disorder),Present,Negated,No laterality
negative {p infected iliofemoral graft},307398006 | Infected iliofemoral graft (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p intentional amitriptyline overdose},295837005 | Intentional amitriptyline overdose (disorder),Present,Negated,No laterality
absence of {p accidental prazepam poisoning},291081009 | Accidental prazepam poisoning (disorder),Present,Negated,No laterality
absence of {p injury of achilles tendon},735856007 | Injury of Achilles tendon (disorder),Present,Negated,No laterality
no {p double aortic valve},77696009 | Double aortic valve (disorder),Present,Negated,No laterality
without mention of {p corrosive gastritis},196740009 | Corrosive gastritis (disorder),Present,Negated,No laterality
free from {p b-cell chronic lymphocytic leukemia},277473004 | B-cell chronic lymphocytic leukemia (disorder),Present,Negated,No laterality
absent {p urethral ulcer},8041002 | Urethral ulcer (disorder),Present,Negated,No laterality
{p stab wound of scalp} no,283448009 | Stab wound of scalp (disorder),Present,Negated,No laterality
{p 18q partial trisomy syndrome} negative,66985009 | 18q partial trisomy syndrome (disorder),Present,Negated,No laterality
no evidence of {p neoplasm of biliary tract},126853008 | Neoplasm of biliary tract (disorder),Present,Negated,No laterality
{p ulcerative sarcoidosis} excluded,402370004 | Ulcerative sarcoidosis (disorder),Present,Negated,No laterality
no evidence of {p distal arthrogryposis type 6},720515009 | Distal arthrogryposis type 6 (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p neonatal sebaceous gland hyperplasia},403852003 | Neonatal sebaceous gland hyperplasia (disorder),Present,Negated,No laterality
{p open fracture finger metacarpal} not detected,208418006 | Open fracture finger metacarpal (disorder),Present,Negated,No laterality
{p desbuquois syndrome} excluded,254099008 | Desbuquois syndrome (disorder),Present,Negated,No laterality
{p metabolic alkalemia} neg,190888006 | Metabolic alkalemia (disorder),Present,Negated,No laterality
no {p camptodactyly},29271008 | Camptodactyly (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p contusion of ovary},283956001 | Contusion of ovary (disorder),Present,Negated,No laterality
{p orbital mucormycosis} none,397562003 | Orbital mucormycosis (disorder),Present,Negated,No laterality
didnt {p acrosyndactyly of the fingers},253925001 | Acrosyndactyly of the fingers (disorder),Present,Negated,No laterality
no {p postauricular fistula},43887004 | Postauricular fistula (disorder),Present,Negated,No laterality
{p noninfectious gastroenteritis} not present,12574004 | Noninfectious gastroenteritis (disorder),Present,Negated,No laterality
absence of {p anterior acute poliomyelitis},398327006 | Anterior acute poliomyelitis (disorder),Present,Negated,No laterality
{p waardenburg's syndrome} excluded,47434006 | Waardenburg's syndrome (disorder),Present,Negated,No laterality
absent {p asteatosis cutis},89105000 | Asteatosis cutis (disorder),Present,Negated,No laterality
{p caput succedaneum} excluded,82729001 | Caput succedaneum (disorder),Present,Negated,No laterality
{p macrotia} not present,69056000 | Macrotia (disorder),Present,Negated,No laterality
{p infarction of spinal cord} excluded,432249006 | Infarction of spinal cord (disorder),Present,Negated,No laterality
absence of signs and symptoms of {p small left colon syndrome},253782006 | Small left colon syndrome (disorder),Present,Negated,No laterality
{p accidental idarubicin poisoning} neg,290669001 | Accidental idarubicin poisoning (disorder),Present,Negated,No laterality
{p chapping of lips} none,402294001 | Chapping of lips (disorder),Present,Negated,No laterality
{p miscarriage with endometritis} ruled out,30806007 | Miscarriage with endometritis (disorder),Present,Negated,No laterality
{p epidemic diarrhea} not present,86615009 | Epidemic diarrhea (disorder),Present,Negated,No laterality
free from {p acute suppurative pancreatitis},197460005 | Acute suppurative pancreatitis (disorder),Present,Negated,No laterality
