text,p,p_meta_relevance,p_meta_confirmed,p_meta_laterality
pos {p infection caused by cylicostephanus},111929003 | Infection caused by Cylicostephanus (disorder),Present,Suspected,No laterality
probable {p gamolenic acid adverse reaction},292664004 | Gamolenic acid adverse reaction (disorder),Present,Suspected,No laterality
poss {p open wound of abdomen},733371004 | Open wound of abdomen (disorder),Present,Suspected,No laterality
query {p polyneuritis},76886005 | Polyneuritis (disorder),Present,Suspected,No laterality
may {p midline apex of heart},446909006 | Midline apex of heart (disorder),Present,Suspected,No laterality
possible {p anterior corneal pigmentation},18377001 | Anterior corneal pigmentation (disorder),Present,Suspected,No laterality
possibly {p ulcer of spermatic cord},38673002 | Ulcer of spermatic cord (disorder),Present,Suspected,No laterality
suspicion of {p subserous leiomyoma of uterus},95280005 | Subserous leiomyoma of uterus (disorder),Present,Suspected,No laterality
{p subacute tubotympanic catarrh} suspected,89145009 | Subacute tubotympanic catarrh (disorder),Present,Suspected,No laterality
may {p vascular disease of abdomen},128052008 | Vascular disease of abdomen (disorder),Present,Suspected,No laterality
exclude {p drug-induced lymphocytic vasculitis},403616000 | Drug-induced lymphocytic vasculitis (disorder),Present,Suspected,No laterality
"possibly {p serous conjunctivitis, except viral}","9824006 | Serous conjunctivitis, except viral (disorder)",Present,Suspected,No laterality
quer {p juvenile xanthogranuloma of iris},255013004 | Juvenile xanthogranuloma of iris (disorder),Present,Suspected,No laterality
may {p ventricular septal aneurysm},253577002 | Ventricular septal aneurysm (disorder),Present,Suspected,No laterality
pos {p esophoria},62176008 | Esophoria (disorder),Present,Suspected,No laterality
may {p acneiform drug eruption},238995004 | Acneiform drug eruption (disorder),Present,Suspected,No laterality
could be {p sex-linked thrombocytopenia},37492005 | Sex-linked thrombocytopenia (disorder),Present,Suspected,No laterality
suspected {p old myocardial infarction},1755008 | Old myocardial infarction (disorder),Present,Suspected,No laterality
sus {p accidental kanamycin overdose},296590005 | Accidental kanamycin overdose (disorder),Present,Suspected,No laterality
query {p paroxysmal atrial fibrillation},282825002 | Paroxysmal atrial fibrillation (disorder),Present,Suspected,No laterality
quer {p accidental 5-hydroxytryptamine-3-receptor antagonist overdose},295428002 | Accidental 5-hydroxytryptamine-3-receptor antagonist overdose (disorder),Present,Suspected,No laterality
{p chloroform poisoning} suspected,25555003 | Chloroform poisoning (disorder),Present,Suspected,No laterality
poss {p pseudotuberculosis},36753006 | Pseudotuberculosis (disorder),Present,Suspected,No laterality
? {p mechanical complication of gastrostomy},147881000119108 | Mechanical complication of gastrostomy (disorder),Present,Suspected,No laterality
suspicious {p disease caused by endamoebidae},105637008 | Disease caused by Endamoebidae (disorder),Present,Suspected,No laterality
susp {p drug-induced hyponatremia},237844003 | Drug-induced hyponatremia (disorder),Present,Suspected,No laterality
likely {p gastroduodenal disorder},3411000119107 | Gastroduodenal disorder (disorder),Present,Suspected,No laterality
sus {p subacute infectious disease},17098006 | Subacute infectious disease (disorder),Present,Suspected,No laterality
possible {p blepharospasm of right eyelid},15631251000119109 | Blepharospasm of right eyelid (disorder),Present,Suspected,Right
{p respiratory arrest} suspected,87317003 | Respiratory arrest (disorder),Present,Suspected,No laterality
may {p pica},14077003 | Pica (disorder),Present,Suspected,No laterality
suspected {p accidental cannabis poisoning},291246000 | Accidental cannabis poisoning (disorder),Present,Suspected,No laterality
likely {p congenital diaphragmatic hernia},17190001 | Congenital diaphragmatic hernia (disorder),Present,Suspected,No laterality
sus {p matted hair},67712001 | Matted hair (disorder),Present,Suspected,No laterality
exclude {p congenital hypoplasia of ilium},93266001 | Congenital hypoplasia of ilium (disorder),Present,Suspected,No laterality
could be {p talc peritonitis},235988007 | Talc peritonitis (disorder),Present,Suspected,No laterality
possible {p serositis},370469003 | Serositis (disorder),Present,Suspected,No laterality
sus {p contusion of right eyelid},11848621000119101 | Contusion of right eyelid (disorder),Present,Suspected,Right
query {p appendix hematoma},262858002 | Appendix hematoma (disorder),Present,Suspected,No laterality
possible {p endometriosis of ovary},266589005 | Endometriosis of ovary (disorder),Present,Suspected,No laterality
possibly {p jogger's toe},238482002 | Jogger's toe (disorder),Present,Suspected,No laterality
could have {p postmature abnormal placenta},8076000 | Postmature abnormal placenta (disorder),Present,Suspected,No laterality
prob {p townes-brocks syndrome},523411000000105 | Townes-Brocks syndrome (disorder),Present,Suspected,No laterality
suspected {p detached products of conception},109891004 | Detached products of conception (disorder),Present,Suspected,No laterality
{p infection caused by microspora} suspected,65883009 | Infection caused by Microspora (disorder),Present,Suspected,No laterality
may be {p giacci familial neurogenic acroosteolysis},389275009 | Giacci familial neurogenic acroosteolysis (disorder),Present,Suspected,No laterality
query {p atlanto-occipital joint sprain},209561004 | Atlanto-occipital joint sprain (disorder),Present,Suspected,No laterality
suspected {p pericholangitis},111373008 | Pericholangitis (disorder),Present,Suspected,No laterality
may {p traumatic amputation of thumb},210611002 | Traumatic amputation of thumb (disorder),Present,Suspected,No laterality
query {p round atelectasis},448370006 | Round atelectasis (disorder),Present,Suspected,No laterality
susp {p sharp tooth},34589004 | Sharp tooth (disorder),Present,Suspected,No laterality
poss {p malignant tumor of heart},363435002 | Malignant tumor of heart (disorder),Present,Suspected,No laterality
query {p meibomian gland dysfunction},397549002 | Meibomian gland dysfunction (disorder),Present,Suspected,No laterality
quer {p accidental papaverine overdose},296505005 | Accidental papaverine overdose (disorder),Present,Suspected,No laterality
pos {p postoperative atelectasis},196143003 | Postoperative atelectasis (disorder),Present,Suspected,No laterality
sus {p sensorineural hearing loss},60700002 | Sensorineural hearing loss (disorder),Present,Suspected,No laterality
likely {p disseminated atypical mycobacterial infection},240413000 | Disseminated atypical mycobacterial infection (disorder),Present,Suspected,No laterality
quer {p tension hydrothorax},441724008 | Tension hydrothorax (disorder),Present,Suspected,No laterality
susp {p hemorrhage in globus pallidus},451037005 | Hemorrhage in globus pallidus (disorder),Present,Suspected,No laterality
suspected {p non-neoplastic nevus},195381005 | Non-neoplastic nevus (disorder),Present,Suspected,No laterality
could be {p ameloonychohypohidrotic syndrome},715404000 | Ameloonychohypohidrotic syndrome (disorder),Present,Suspected,No laterality
poss {p benign scapuloperoneal muscular dystrophy},240076008 | Benign scapuloperoneal muscular dystrophy (disorder),Present,Suspected,No laterality
sus {p subluxation of symphysis pubis},263038009 | Subluxation of symphysis pubis (disorder),Present,Suspected,No laterality
could be {p acquired deformity of nose},18283000 | Acquired deformity of nose (disorder),Present,Suspected,No laterality
{p seizure disorder} suspected,128613002 | Seizure disorder (disorder),Present,Suspected,No laterality
susp {p renovascular hypertension},123799005 | Renovascular hypertension (disorder),Present,Suspected,No laterality
pos {p pityriasis alba},402296004 | Pityriasis alba (disorder),Present,Suspected,No laterality
possible {p congenital atresia of glottis},52879001 | Congenital atresia of glottis (disorder),Present,Suspected,No laterality
maybe {p cut of lower limb},283430000 | Cut of lower limb (disorder),Present,Suspected,No laterality
probable {p congenital dilatation of bladder},93052002 | Congenital dilatation of bladder (disorder),Present,Suspected,No laterality
poss {p allergic angioedema},402387002 | Allergic angioedema (disorder),Present,Suspected,No laterality
{p ring chromosome 20 syndrome} suspected,23686004 | Ring chromosome 20 syndrome (disorder),Present,Suspected,No laterality
could have {p spinopontine degeneration},27873005 | Spinopontine degeneration (disorder),Present,Suspected,No laterality
could have {p infection of puncture wound},446568009 | Infection of puncture wound (disorder),Present,Suspected,No laterality
suspicion of {p multicentric infantile myofibromatosis},403410004 | Multicentric infantile myofibromatosis (disorder),Present,Suspected,No laterality
{p aortic tunnel} suspected,253649001 | Aortic tunnel (disorder),Present,Suspected,No laterality
suspicious {p familial eosinophilia},79336007 | Familial eosinophilia (disorder),Present,Suspected,No laterality
possibly {p disease caused by hexamitidae},105644004 | Disease caused by Hexamitidae (disorder),Present,Suspected,No laterality
pos {p abscess of thigh},3507004 | Abscess of thigh (disorder),Present,Suspected,No laterality
suspected {p supernumerary bone of foot},1155640009 | Supernumerary bone of foot (disorder),Present,Suspected,No laterality
poss {p multiple pelvic fractures},263222005 | Multiple pelvic fractures (disorder),Present,Suspected,No laterality
{p fetus papyraceous} suspected,90127001 | Fetus papyraceous (disorder),Present,Suspected,No laterality
exclude {p neonatal dysrhythmia},276513001 | Neonatal dysrhythmia (disorder),Present,Suspected,No laterality
could have {p moderate steroid 21-hydroxylase deficiency},60045007 | Moderate steroid 21-hydroxylase deficiency (disorder),Present,Suspected,No laterality
exclude {p tarsal coalitions},27173008 | Tarsal coalitions (disorder),Present,Suspected,No laterality
susp {p infection associated with wound},813341000000105 | Infection associated with wound (disorder),Present,Suspected,No laterality
query {p deficiency of bisphosphoglycerate mutase},124678007 | Deficiency of bisphosphoglycerate mutase (disorder),Present,Suspected,No laterality
suspected {p intentional acetylcholine overdose},296366008 | Intentional acetylcholine overdose (disorder),Present,Suspected,No laterality
quer {p rubella},36653000 | Rubella (disorder),Present,Suspected,No laterality
exclude {p antithyroid agent overdose},296830004 | Antithyroid agent overdose (disorder),Present,Suspected,No laterality
{p reactive monocytosis} suspected,38064006 | Reactive monocytosis (disorder),Present,Suspected,No laterality
possibly {p congenital capillary hemangioma},703197004 | Congenital capillary hemangioma (disorder),Present,Suspected,No laterality
suspected {p suppurative osteomyelitis of jaw},84224006 | Suppurative osteomyelitis of jaw (disorder),Present,Suspected,No laterality
may be {p atypical childhood psychoses},191696005 | Atypical childhood psychoses (disorder),Present,Suspected,No laterality
{p lichen myxedematosus} suspected,111197009 | Lichen myxedematosus (disorder),Present,Suspected,No laterality
suspect {p venous thoracic outlet syndrome},25981000119102 | Venous thoracic outlet syndrome (disorder),Present,Suspected,No laterality
? {p congenital deviation of ureter},31915006 | Congenital deviation of ureter (disorder),Present,Suspected,No laterality
may be {p malabsorption - iron},197495008 | Malabsorption - iron (disorder),Present,Suspected,No laterality
{p disease caused by hymenolepididae} suspected,105682007 | Disease caused by Hymenolepididae (disorder),Present,Suspected,No laterality
suspect {p incomplete left cleft lip},763754008 | Incomplete left cleft lip (disorder),Present,Suspected,Left
susp {p complement component 3 deficiency},771443008 | Complement component 3 deficiency (disorder),Present,Suspected,No laterality
probable {p dissection of renal artery},713036004 | Dissection of renal artery (disorder),Present,Suspected,No laterality
"{p bulimia nervosa, nonpurging type} suspected","59645001 | Bulimia nervosa, nonpurging type (disorder)",Present,Suspected,No laterality
sus {p gastrointestinal candidiasis},84679006 | Gastrointestinal candidiasis (disorder),Present,Suspected,No laterality
could have {p nodular lymphoma of spleen},95193005 | Nodular lymphoma of spleen (disorder),Present,Suspected,No laterality
susp {p intentional vitamin a poisoning},291923008 | Intentional vitamin A poisoning (disorder),Present,Suspected,No laterality
{p mastitis - obstetric} suspected,274131006 | Mastitis - obstetric (disorder),Present,Suspected,No laterality
possibly {p traveler's diarrhea},11840006 | Traveler's diarrhea (disorder),Present,Suspected,No laterality
possible {p lipidemia retinalis},95692001 | Lipidemia retinalis (disorder),Present,Suspected,No laterality
query {p gastrointestinal mucormycosis},187101004 | Gastrointestinal mucormycosis (disorder),Present,Suspected,No laterality
sus {p amyloid cardiomyopathy},847041000000109 | Amyloid cardiomyopathy (disorder),Present,Suspected,No laterality
maybe {p glass in upper limb},283243002 | Glass in upper limb (disorder),Present,Suspected,No laterality
"probably {p propionic acidemia, type ii}","399149003 | Propionic acidemia, type II (disorder)",Present,Suspected,No laterality
could be {p paroxysmal extreme pain disorder},699190008 | Paroxysmal extreme pain disorder (disorder),Present,Suspected,No laterality
may {p caffeine-induced organic mental disorder},309279000 | Caffeine-induced organic mental disorder (disorder),Present,Suspected,No laterality
possibly {p cornea plana},204145006 | Cornea plana (disorder),Present,Suspected,No laterality
{p disorder of placenta} suspected,125586008 | Disorder of placenta (disorder),Present,Suspected,No laterality
query {p amelogenesis imperfecta},78494001 | Amelogenesis imperfecta (disorder),Present,Suspected,No laterality
suspicious {p jugular lymphatic obstruction sequence},74650009 | Jugular lymphatic obstruction sequence (disorder),Present,Suspected,No laterality
could have {p frusemide overdose},297017009 | Frusemide overdose (disorder),Present,Suspected,No laterality
? {p intentional thiethylperazine overdose},296223003 | Intentional thiethylperazine overdose (disorder),Present,Suspected,No laterality
"could have {p behcet's syndrome, intestinal type}","54034003 | Behcet's syndrome, intestinal type (disorder)",Present,Suspected,No laterality
possible {p scoliotic angulation of ribs},73671007 | Scoliotic angulation of ribs (disorder),Present,Suspected,No laterality
suspicious {p multiple supernumerary eye muscles},204216001 | Multiple supernumerary eye muscles (disorder),Present,Suspected,No laterality
suspicious {p phonological disorder},229719002 | Phonological disorder (disorder),Present,Suspected,No laterality
likely {p infection of lip},737187008 | Infection of lip (disorder),Present,Suspected,No laterality
{p intentional levorphanol poisoning} suspected,290218005 | Intentional levorphanol poisoning (disorder),Present,Suspected,No laterality
could have {p moon's molar teeth},109436001 | Moon's molar teeth (disorder),Present,Suspected,No laterality
pos {p asymptomatic bacteriuria in pregnancy},31563000 | Asymptomatic bacteriuria in pregnancy (disorder),Present,Suspected,No laterality
suspected {p phenylbutazone adverse reaction},292086002 | Phenylbutazone adverse reaction (disorder),Present,Suspected,No laterality
likely {p neurovascular corn},229813008 | Neurovascular corn (disorder),Present,Suspected,No laterality
sus {p grn-related frontotemporal dementia},702426001 | GRN-related frontotemporal dementia (disorder),Present,Suspected,No laterality
could have {p abnormal pupillary function},72124005 | Abnormal pupillary function (disorder),Present,Suspected,No laterality
suspicion of {p acute paraplegia},698291007 | Acute paraplegia (disorder),Present,Suspected,No laterality
sus {p chronic progressive non-hereditary chorea},3456001 | Chronic progressive non-hereditary chorea (disorder),Present,Suspected,No laterality
suspect {p meningeal irritation},70784009 | Meningeal irritation (disorder),Present,Suspected,No laterality
possible {p noninfectious gastroenteritis},12574004 | Noninfectious gastroenteritis (disorder),Present,Suspected,No laterality
quer {p congenital conductive hearing loss},737344003 | Congenital conductive hearing loss (disorder),Present,Suspected,No laterality
suspicious {p pseudoptyalism},3376008 | Pseudoptyalism (disorder),Present,Suspected,No laterality
{p progressive diaphyseal dysplasia} suspected,318761000119105 | Progressive diaphyseal dysplasia (disorder),Present,Suspected,No laterality
susp {p injury of tibia},428881005 | Injury of tibia (disorder),Present,Suspected,No laterality
poss {p aphakia of right eye},336381000119109 | Aphakia of right eye (disorder),Present,Suspected,Right
probable {p hypertrophy of gingiva},441787004 | Hypertrophy of gingiva (disorder),Present,Suspected,No laterality
could be {p cushing phenomenon},608826000 | Cushing phenomenon (disorder),Present,Suspected,No laterality
likely {p strain of subscapularis muscle},86319008 | Strain of subscapularis muscle (disorder),Present,Suspected,No laterality
suspicious {p abscess of sphenoid bone},109330008 | Abscess of sphenoid bone (disorder),Present,Suspected,No laterality
quer {p crushing injury of ear},67070005 | Crushing injury of ear (disorder),Present,Suspected,No laterality
suspect {p obstetrical complication of anesthesia},65409004 | Obstetrical complication of anesthesia (disorder),Present,Suspected,No laterality
pos {p acute ulcerative colitis},128600008 | Acute ulcerative colitis (disorder),Present,Suspected,No laterality
may {p agminated lentiginosis},1052318003 | Agminated lentiginosis (disorder),Present,Suspected,No laterality
likely {p lecherism},46432001 | Lecherism (disorder),Present,Suspected,No laterality
could have {p disorder of lymph node},76616003 | Disorder of lymph node (disorder),Present,Suspected,No laterality
pos {p phosphoenolpyruvate carboxykinase deficiency},5335002 | Phosphoenolpyruvate carboxykinase deficiency (disorder),Present,Suspected,No laterality
probably {p congenital cyst of larynx},765763007 | Congenital cyst of larynx (disorder),Present,Suspected,No laterality
probable {p ehlers-danlos syndrome musculocontractural type},720860004 | Ehlers-Danlos syndrome musculocontractural type (disorder),Present,Suspected,No laterality
suspicion of {p pretibial epidermolysis bullosa},67653003 | Pretibial epidermolysis bullosa (disorder),Present,Suspected,No laterality
suspicion of {p combined phagocytic defect},234591005 | Combined phagocytic defect (disorder),Present,Suspected,No laterality
suspicious {p tyrosinase-positive oculocutaneous albinism},26336006 | Tyrosinase-positive oculocutaneous albinism (disorder),Present,Suspected,No laterality
may be {p trichomoniasis affecting skin},402143001 | Trichomoniasis affecting skin (disorder),Present,Suspected,No laterality
exclude {p disorder of vascular graft},234190001 | Disorder of vascular graft (disorder),Present,Suspected,No laterality
suspect {p glucocorticoid deficiency with achalasia},45414006 | Glucocorticoid deficiency with achalasia (disorder),Present,Suspected,No laterality
may {p gabapentin overdose},295973004 | Gabapentin overdose (disorder),Present,Suspected,No laterality
could be {p neoplasm of femur},126583006 | Neoplasm of femur (disorder),Present,Suspected,No laterality
likely {p corneal leukoma},704272003 | Corneal leukoma (disorder),Present,Suspected,No laterality
? {p congenital anomaly of tibia},123563003 | Congenital anomaly of tibia (disorder),Present,Suspected,No laterality
prob {p contusion of bile duct},262815001 | Contusion of bile duct (disorder),Present,Suspected,No laterality
may {p silent coronary vasospastic disease},703214003 | Silent coronary vasospastic disease (disorder),Present,Suspected,No laterality
may {p benign neoplasm of femur},92105004 | Benign neoplasm of femur (disorder),Present,Suspected,No laterality
sus {p hypotonic cerebral palsy},192958009 | Hypotonic cerebral palsy (disorder),Present,Suspected,No laterality
may be {p inferior lumbar hernia},236045005 | Inferior lumbar hernia (disorder),Present,Suspected,No laterality
{p neoplasm of fallopian tube} suspected,126916003 | Neoplasm of fallopian tube (disorder),Present,Suspected,No laterality
{p vestibular nerve disorder} suspected,264693006 | Vestibular nerve disorder (disorder),Present,Suspected,No laterality
probable {p accidental testosterone poisoning},291839002 | Accidental testosterone poisoning (disorder),Present,Suspected,No laterality
possible {p traumatic aortocaval fistula},405580006 | Traumatic aortocaval fistula (disorder),Present,Suspected,No laterality
suspicion of {p tonsillar aspergillosis},187084006 | Tonsillar aspergillosis (disorder),Present,Suspected,No laterality
suspicion of {p accidental ceftibuten poisoning},291624000 | Accidental ceftibuten poisoning (disorder),Present,Suspected,No laterality
probably {p proctitis},3951002 | Proctitis (disorder),Present,Suspected,No laterality
{p ankylosis of spine} suspected,47049007 | Ankylosis of spine (disorder),Present,Suspected,No laterality
may be {p acute syphilitic pericarditis},194907008 | Acute syphilitic pericarditis (disorder),Present,Suspected,No laterality
suspected {p hyposmolality},277547006 | Hyposmolality (disorder),Present,Suspected,No laterality
quer {p accidental pericyazine poisoning},291170008 | Accidental pericyazine poisoning (disorder),Present,Suspected,No laterality
could be {p xanthorrhoea species poisoning},64805008 | Xanthorrhoea species poisoning (disorder),Present,Suspected,No laterality
possible {p overdose of temazepam},296125001 | Overdose of temazepam (disorder),Present,Suspected,No laterality
maybe {p chronic deafness},232325008 | Chronic deafness (disorder),Present,Suspected,No laterality
suspected {p translocation down syndrome},371045000 | Translocation Down syndrome (disorder),Present,Suspected,No laterality
could be {p asymptomatic prostatitis},1144976006 | Asymptomatic prostatitis (disorder),Present,Suspected,No laterality
may {p acute sarcoid polymyositis},234529004 | Acute sarcoid polymyositis (disorder),Present,Suspected,No laterality
{p primary bacterial peritonitis} suspected,11836002 | Primary bacterial peritonitis (disorder),Present,Suspected,No laterality
sus {p longitudinal melanonychia},707196007 | Longitudinal melanonychia (disorder),Present,Suspected,No laterality
possibly {p phyllanthus abnormis poisoning},61806008 | Phyllanthus abnormis poisoning (disorder),Present,Suspected,No laterality
could have {p postlingual non-syndromic genetic deafness},764097002 | Postlingual non-syndromic genetic deafness (disorder),Present,Suspected,No laterality
quer {p cytokine-associated toxicity},710027002 | Cytokine-associated toxicity (disorder),Present,Suspected,No laterality
pos {p juvenile portal cirrhosis},266471006 | Juvenile portal cirrhosis (disorder),Present,Suspected,No laterality
may {p secondary tubal infertility},198453001 | Secondary tubal infertility (disorder),Present,Suspected,No laterality
possibly {p xanthorrhoea species poisoning},64805008 | Xanthorrhoea species poisoning (disorder),Present,Suspected,No laterality
suspicion of {p sleep starts},277181009 | Sleep starts (disorder),Present,Suspected,No laterality
quer {p sperm granuloma of epididymis},236769002 | Sperm granuloma of epididymis (disorder),Present,Suspected,No laterality
may {p deficiency of hydrolase},124407008 | Deficiency of hydrolase (disorder),Present,Suspected,No laterality
exclude {p cutis laxa},58588007 | Cutis laxa (disorder),Present,Suspected,No laterality
could be {p superficial folliculitis},267812007 | Superficial folliculitis (disorder),Present,Suspected,No laterality
susp {p presentation of cord},237305004 | Presentation of cord (disorder),Present,Suspected,No laterality
pos {p disorder of vitamin c},386065001 | Disorder of vitamin C (disorder),Present,Suspected,No laterality
exclude {p closed dislocation thoracic spine},209075002 | Closed dislocation thoracic spine (disorder),Present,Suspected,No laterality
? {p fundus coloboma},39302008 | Fundus coloboma (disorder),Present,Suspected,No laterality
exclude {p desert sore},238423005 | Desert sore (disorder),Present,Suspected,No laterality
could be {p closed subluxation c4/c5},209140004 | Closed subluxation C4/C5 (disorder),Present,Suspected,No laterality
suspicion of {p lyme disease},23502006 | Lyme disease (disorder),Present,Suspected,No laterality
probable {p 5p13 microduplication syndrome},770793002 | 5p13 microduplication syndrome (disorder),Present,Suspected,No laterality
{p parasitic infection causing colitis} suspected,721685001 | Parasitic infection causing colitis (disorder),Present,Suspected,No laterality
may be {p hemorrhagic bronchopneumonia},181007 | Hemorrhagic bronchopneumonia (disorder),Present,Suspected,No laterality
poss {p tuberculosis of bladder},32268008 | Tuberculosis of bladder (disorder),Present,Suspected,No laterality
suspected {p accidental insulin poisoning},291802003 | Accidental insulin poisoning (disorder),Present,Suspected,No laterality
query {p laceration of mesentery},262884008 | Laceration of mesentery (disorder),Present,Suspected,No laterality
could be {p peripheral snowflake retinal degeneration},247183001 | Peripheral snowflake retinal degeneration (disorder),Present,Suspected,No laterality
quer {p monaural diplacusis},277431007 | Monaural diplacusis (disorder),Present,Suspected,No laterality
{p gangrenous disorder} suspected,372070002 | Gangrenous disorder (disorder),Present,Suspected,No laterality
probable {p focal segmental glomerulosclerosis},236403004 | Focal segmental glomerulosclerosis (disorder),Present,Suspected,No laterality
suspicious {p gabapentin poisoning},290943005 | Gabapentin poisoning (disorder),Present,Suspected,No laterality
quer {p miliaria crystallina},44279002 | Miliaria crystallina (disorder),Present,Suspected,No laterality
may {p stitch infection},135850005 | Stitch infection (disorder),Present,Suspected,No laterality
{p intentional vigabatrin overdose} suspected,296001007 | Intentional vigabatrin overdose (disorder),Present,Suspected,No laterality
prob {p malaria},61462000 | Malaria (disorder),Present,Suspected,No laterality
exclude {p dicephalus dipus tribrachius},7763004 | Dicephalus dipus tribrachius (disorder),Present,Suspected,No laterality
exclude {p compound nevus of eyelid},840514002 | Compound nevus of eyelid (disorder),Present,Suspected,No laterality
exclude {p piretanide adverse reaction},293466002 | Piretanide adverse reaction (disorder),Present,Suspected,No laterality
suspicious {p post-radiation stricture of intestine},235809001 | Post-radiation stricture of intestine (disorder),Present,Suspected,No laterality
query {p macrophage activation syndrome},430478003 | Macrophage activation syndrome (disorder),Present,Suspected,No laterality
probable {p neonatal facial petechiae},276619008 | Neonatal facial petechiae (disorder),Present,Suspected,No laterality
{p taenia saginata infection} suspected,69163003 | Taenia saginata infection (disorder),Present,Suspected,No laterality
suspected {p thiourea overdose},296831000 | Thiourea overdose (disorder),Present,Suspected,No laterality
maybe {p hereditary hemoglobin s},416417002 | Hereditary hemoglobin S (disorder),Present,Suspected,No laterality
may {p subacute perisalpingitis},198138004 | Subacute perisalpingitis (disorder),Present,Suspected,No laterality
poss {p pre-eclampsia},398254007 | Pre-eclampsia (disorder),Present,Suspected,No laterality
may {p contracture of cervix},20768006 | Contracture of cervix (disorder),Present,Suspected,No laterality
query {p inferior inguinal lymphadenopathy},127205007 | Inferior inguinal lymphadenopathy (disorder),Present,Suspected,No laterality
pos {p osmolality disturbance},52600004 | Osmolality disturbance (disorder),Present,Suspected,No laterality
? {p vascular insufficiency of kidney},4611000119106 | Vascular insufficiency of kidney (disorder),Present,Suspected,No laterality
suspicion of {p lumbar lymphadenopathy},127142008 | Lumbar lymphadenopathy (disorder),Present,Suspected,No laterality
probable {p seal finger},238455005 | Seal finger (disorder),Present,Suspected,No laterality
